$ LITTLE GOOSE_OUTFLOW.npt based on $//LITTLE GOOSE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1018.000000,658.227
1019.000000,640.549
1020.000000,607.72
1021.000000,579.189
1022.000000,604.235
1023.000000,638.158
1024.000000,532.814
1025.000000,410.504
1026.000000,639.543
1027.000000,552.404
1028.000000,548.143
1029.000000,478.329
1030.000000,446.643
1031.000000,377.936
1032.000000,457.429
1033.000000,440.653
1034.000000,375.728
1035.000000,484.907
1036.000000,506.954
1037.000000,453.153
1038.000000,417.754
1039.000000,480.174
1040.000000,473.515
1041.000000,495.363
1042.000000,589.562
1043.000000,575.728
1044.000000,559.019
1045.000000,495.078
1046.000000,456.291
1047.000000,509.52
1048.000000,570.797
1049.000000,588.56
1050.000000,548.917
1051.000000,563.664
1052.000000,547.552
1053.000000,519.991
1054.000000,463.501
1055.000000,505.723
1056.000000,593.897
1057.000000,630.983
1058.000000,613.341
1059.000000,535.467
1060.000000,437.469
1061.000000,413.317
1062.000000,521.732
1063.000000,492.45
1064.000000,461.552
1065.000000,489.791
1066.000000,504.767
1067.000000,546.296
1068.000000,733.855
1069.000000,828.788
1070.000000,761.473
1071.000000,632.874
1072.000000,711.14
1073.000000,600.269
1074.000000,511.921
1075.000000,662.193
1076.000000,615.914
1077.000000,552.059
1078.000000,532.243
1079.000000,467.619
1080.000000,432.438
1081.000000,381.161
1082.000000,485.705
1083.000000,630.606
1084.000000,631.718
1085.000000,553.389
1086.000000,519.155
1087.000000,572.542
1088.000000,534.436
1089.000000,483.23
1090.000000,482.787
1091.000000,519.267
1092.000000,552.844
1093.000000,569.023
1094.000000,556.102
1095.000000,491.226
1096.000000,510.849
1097.000000,585.868
1098.000000,526.593
1099.000000,518.611
1100.000000,482.84
1101.000000,560.736
1102.000000,596.219
1103.000000,474.493
1104.000000,569.099
1105.000000,597.458
1106.000000,567.178
1107.000000,551.755
1108.000000,552.777
1109.000000,555.216
1110.000000,517.312
1111.000000,610.529
1112.000000,625.905
1113.000000,551.333
1114.000000,566.407
1115.000000,604.76
1116.000000,602.315
1117.000000,518.093
1118.000000,518.587
1119.000000,534.054
1120.000000,503.912
1121.000000,528.061
1122.000000,559.989
1123.000000,502.932
1124.000000,523.495
1125.000000,430.141
1126.000000,463.393
1127.000000,477.114
1128.000000,486.544
1129.000000,511.544
1130.000000,512.528
1131.000000,508.269
1132.000000,513.158
1133.000000,563.516
1134.000000,439.079
1135.000000,657.299
1136.000000,594.2
1137.000000,513.04
1138.000000,570.893
1139.000000,516.204
1140.000000,656.246
1141.000000,764.067
1142.000000,760.236
1143.000000,928.249
1144.000000,1024.463
1145.000000,921.851
1146.000000,886.119
1147.000000,1037.121
1148.000000,892.632
1149.000000,821.158
1150.000000,737.624
1151.000000,786.236
1152.000000,921.332
1153.000000,984.305
1154.000000,860.004
1155.000000,824.547
1156.000000,906.766
1157.000000,1074.716
1158.000000,1080.186
1159.000000,1298.674
1160.000000,1508.392
1161.000000,1848.975
1162.000000,2369.178
1163.000000,2791.788
1164.000000,2638.128
1165.000000,2565.354
1166.000000,3080.506
1167.000000,3282.779
1168.000000,3104.903
1169.000000,2648.468
1170.000000,2076.109
1171.000000,2065.573
1172.000000,2095.051
1173.000000,2048.1
1174.000000,1929.264
1175.000000,1994.945
1176.000000,1973.758
1177.000000,1631.149
1178.000000,1734.852
1179.000000,1477.469
1180.000000,1517.977
1181.000000,1457.148
1182.000000,1293.753
1183.000000,1602.796
1184.000000,1815.204
1185.000000,2182.472
1186.000000,2332.256
1187.000000,2301.505
1188.000000,1907.435
1189.000000,1856.511
1190.000000,1901.096
1191.000000,1899.03
1192.000000,1982.102
1193.000000,1993.184
1194.000000,2058.54
1195.000000,1992.16
1196.000000,2110.501
1197.000000,2229.048
1198.000000,2329.663
1199.000000,2393.734
1200.000000,2315.802
1201.000000,2372.423
1202.000000,2212.513
1203.000000,2078.674
1204.000000,2015.909
1205.000000,2094.864
1206.000000,2170.709
1207.000000,2097.748
1208.000000,2060.245
1209.000000,2131.456
1210.000000,2229.165
1211.000000,2141.48
1212.000000,2262.011
1213.000000,2328.247
1214.000000,2170.457
1215.000000,1807.12
1216.000000,2001.014
1217.000000,1866.929
1218.000000,2101.198
1219.000000,2008.56
1220.000000,2279.163
1221.000000,2608.234
1222.000000,2836.412
1223.000000,2847.947
1224.000000,2664.319
1225.000000,2466.081
1226.000000,2357.814
1227.000000,2401.222
1228.000000,2268.842
1229.000000,2175.089
1230.000000,2010.26
1231.000000,1876.97
1232.000000,1972.128
1233.000000,2258.878
1234.000000,2794.246
1235.000000,3096.139
1236.000000,3268.58
1237.000000,3352.777
1238.000000,2996.747
1239.000000,3014.258
1240.000000,3293.747
1241.000000,3798.946
1242.000000,3932.548
1243.000000,3954.667
1244.000000,3822.262
1245.000000,3769.566
1246.000000,3660.596
1247.000000,3574.306
1248.000000,3458.348
1249.000000,3291.713
1250.000000,3285.734
1251.000000,3211.526
1252.000000,3147.391
1253.000000,3151.356
1254.000000,3162.903
1255.000000,2963.544
1256.000000,2857.01
1257.000000,2847.61
1258.000000,2695.175
1259.000000,2624.191
1260.000000,2607.792
1261.000000,2391.96
1262.000000,2349.488
1263.000000,2121.988
1264.000000,1901.264
1265.000000,1878.49
1266.000000,2011.451
1267.000000,1871.422
1268.000000,1871.892
1269.000000,1747.759
1270.000000,1831.954
1271.000000,1957.725
1272.000000,1900.641
1273.000000,1761.049
1274.000000,1803.729
1275.000000,1841.648
1276.000000,1864.63
1277.000000,1971.637
1278.000000,2077.314
1279.000000,1898.839
1280.000000,1824.668
1281.000000,1804.935
1282.000000,1762.705
1283.000000,1686.132
1284.000000,1570.824
1285.000000,1530.898
1286.000000,1518.239
1287.000000,1537.983
1288.000000,1436.984
1289.000000,1398.077
1290.000000,1348.289
1291.000000,1391.406
1292.000000,1347.032
1293.000000,1289.125
1294.000000,1103.211
1295.000000,1137.885
1296.000000,989.271
1297.000000,1101.589
1298.000000,1052.836
1299.000000,1083.109
1300.000000,1056.359
1301.000000,981.532
1302.000000,943.083
1303.000000,902.077
1304.000000,793.127
1305.000000,892.741
1306.000000,974.178
1307.000000,903.67
1308.000000,1019.163
1309.000000,966.371
1310.000000,902.093
1311.000000,878.531
1312.000000,908.192
1313.000000,879.017
1314.000000,797.813
1315.000000,780.599
1316.000000,734.613
1317.000000,767.778
1318.000000,753.677
1319.000000,830.51
1320.000000,805.826
1321.000000,838.913
1322.000000,825.868
1323.000000,882.933
1324.000000,801.645
1325.000000,899.783
1326.000000,750.744
1327.000000,703.059
1328.000000,703.319
1329.000000,675.125
1330.000000,643
1331.000000,639.968
1332.000000,686.236
1333.000000,674.622
1334.000000,672.117
1335.000000,796.309
1336.000000,717.158
1337.000000,660.222
1338.000000,693.052
1339.000000,684.133
1340.000000,699.653
1341.000000,663.348
1342.000000,582.245
1343.000000,693.609
1344.000000,582.426
1345.000000,553.366
1346.000000,569.323
1347.000000,541.921
1348.000000,629.613
1349.000000,641.968
1350.000000,719.874
1351.000000,621.74
1352.000000,590.705
1353.000000,723.191
1354.000000,695.886
1355.000000,756.406
1356.000000,666.826
1357.000000,500.208
1358.000000,455.958
1359.000000,527.804
1360.000000,583.954
1361.000000,521.963
1362.000000,432.872
1363.000000,430.058
1364.000000,536.797
1365.000000,698.046
1366.000000,527.228
1367.000000,333.372
1368.000000,412.729
1369.000000,429.005
1370.000000,440.057
1371.000000,422.158
1372.000000,460.249
1373.000000,489.009
1374.000000,445.33
1375.000000,482.134
1376.000000,457.759
1377.000000,520.804
1378.000000,582.784
1379.000000,504.426
1380.000000,558.995
1381.000000,603.152
1382.000000,453.059
1383.000000,373.693
1384.000000,511.096
1385.000000,481.857
1386.000000,442.336
