$ QGT_LMN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LMN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER MONUMENTAL_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41141, 41921, 42296 that are  3, 4, 14 days long
"JDAY","POW","SPB1","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8.RSW","MISC"
298.000000,677.449,0,0,0,0,0,0,0,0,23.032
299.000000,699.375,0,0,0,0,0,0,0,0,20.29
300.000000,706.745,0,0,0,0,0,0,0,0,20.495
301.000000,696.087,0,0,0,0,0,0,0,0,31.421
302.000000,741.677,0,0,0,0,0,0,0,0,18.427
303.000000,519.682,0,0,0,0,0,0,0,0,15.141
304.000000,603.99,0,0,0,0,0,0,0,0,15.731
305.000000,729.302,0,0,0,0,0,0,0,0,25.783
306.000000,665.639,0,0,0,0,0,0,0,0,14.343
307.000000,694.44,0,0,0,0,0,0,0,0,30.766
308.000000,684.942,0,0,0,0,0,0,0,0,21.438
309.000000,597.168,0,0,0,0,0,0,0,0,16.092
310.000000,609.185,0,0,0,0,0,0,0,0,14.453
311.000000,699.088,0,0,0,0,0,0,0,0,24.779
312.000000,705.736,0,0,0,0,0,0,0,0,24.133
313.000000,682.771,0,0,0,0,0,0,0,0,17.378
314.000000,554.551,0,0,0,0,0,0,0,0,20.715
315.000000,734.001,0,0,0,0,0,0,0,0,23.813
316.000000,635.099,0,0,0,0,0,0,0,0,27.015
317.000000,560.539,0,0,0,0,0,0,0,0,23.04
318.000000,495.159,0,0,0,0,0,0,0,0,12.37
319.000000,570.679,0,0,0,0,0,0,0,0,18.018
320.000000,665.237,0,0,0,0,0,0,0,0,17.414
321.000000,725.94,0,0,0,0,0,0,0,0,33.226
322.000000,703.991,0,0,0,0,0,0,0,0,21.794
323.000000,541.669,0,0,0,0,0,0,0,0,14.595
324.000000,523.981,0,0,0,0,0,0,0,0,15.161
325.000000,645.965,0,0,0,0,0,0,0,0,24.155
326.000000,765.771,0,0,0,0,0,0,0,0,26.199
327.000000,662.987,0,0,0,0,0,0,0,0,17.622
328.000000,616.408,0,0,0,0,0,0,0,0,19.087
329.000000,790.299,0,0,0,0,0,0,0,0,25.882
330.000000,723.628,0,0,0,0,0,0,0,0,25.986
331.000000,678.375,0,0,0,0,0,0,0,0,18.52
332.000000,423.714,0,0,5.805,0,0,5.411,0,0,12.818
333.000000,526.776,0,0,0,0,0,0,0,0,21.658
334.000000,705.448,0,0,0,0,0,0,0,0,23.14
335.000000,598.732,0,0,0,0,0,0,0,0,19.622
336.000000,476.834,0,0,0,0,0,0,0,0,17.452
337.000000,611.756,0,0,0,0,0,0,0,0,24.975
338.000000,622.939,0,0,0,0,0,0,0,0,21.556
339.000000,494.736,0,0,0,0,0,0,0,0,11.128
340.000000,534.42,0,0,0,0,0,0,0,0,14.635
341.000000,614.786,0,0,0,0,0,0,0,0,19.574
342.000000,704.916,0,0,0,0,0,0,0,0,22.657
343.000000,748.199,0,0,0,0,0,0,0,0,18.364
344.000000,622.056,0,0,0,0,0,0,0,0,19.21
345.000000,721.412,0,0,0,0,0,0,0,0,55.47
346.000000,559.818,0,0,0,0,0,0,0,0,15.26
347.000000,366.27,0,0,0,0,0,0,0,0,7.783
348.000000,572.784,0,0,0,0,0,0,0,0,37.575
349.000000,842.578,0,0,0,0,0,0,0,0,41.341
350.000000,681.708,0,0,0,0,0,0,0,0,24.97
351.000000,402.205,0,0,0,0,0,0,0,0,12.391
352.000000,429.107,0,0,0,0,0,0,0,0,11.284
353.000000,560.252,0,0,0,0,0,0,0,0,16.601
354.000000,703.266,0,0,0,0,0,0,0,0,28.621
355.000000,613.786,0,0,0,0,0,0,0,0,14.638
356.000000,627.484,0,0,0,0,0,0,0,0,22.879
357.000000,592.451,0,0,0,0,0,0,0,0,16.471
358.000000,728.796,0,0,0,0,0,0,0,0,22.046
359.000000,593.781,0,0,0,0,0,0,0,0,16.6
360.000000,612.43,0,0,0,0,0,0,0,0,20.989
361.000000,652.465,0,0,0,0,0,0,0,0,16.641
362.000000,624.944,0,0,0,0,0,0,0,0,19.224
363.000000,700.93,0,0,0,0,0,0,0,0,14.72
364.000000,895.732,0,0,0,0,0,0,0,0,19.942
365.000000,969.468,0,0,0,0,0,0,0,0,18.357
366.000000,1104.334,0,0,0,0,0,0,0,0,24.106
367.000000,980.403,0,0,0,0,0,0,0,0,21.573
368.000000,832.581,0,0,0,0,0,0,0,0,17.395
369.000000,755.336,0,0,0,0,0,0,0,0,4.898
370.000000,894.97,0,0,0,0,0,0,0,0,7.797
371.000000,849.985,0,0,0,0,0,0,0,0,3.193
372.000000,781.832,0,0,0,0,0,0,0,0,7.801
373.000000,879.688,0,0,0,0,0,0,0,0,13.217
374.000000,677.712,0,0,0,0,0,0,0,0,2.592
375.000000,559.368,0,0,0,0,0,0,0,0,5.118
376.000000,663.538,0,0,0,0,0,0,0,0,4.029
