$ LOWER MONUMENTAL-POOLELEV.npt based on $//LOWER MONUMENTAL-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41730,165.351
41731,165.058
41732,165.098
41733,164.991
41734,164.824
41735,164.854
41736,164.784
41737,164.866
41738,164.839
41739,164.811
41740,164.86
41741,164.854
41742,164.821
41743,164.872
41744,164.83
41745,164.808
41746,164.827
41747,164.885
41748,164.848
41749,164.857
41750,164.833
41751,164.839
41752,164.839
41753,164.815
41754,164.827
41755,164.818
41756,164.86
41757,164.818
41758,164.891
41759,164.888
41760,164.815
41761,164.836
41762,164.824
41763,164.842
41764,164.799
41765,164.836
41766,164.851
41767,164.796
41768,164.833
41769,164.805
41770,164.833
41771,164.851
41772,164.818
41773,164.827
41774,164.824
41775,164.891
41776,164.848
41777,164.854
41778,164.815
41779,164.833
41780,164.824
41781,164.854
41782,164.799
41783,164.827
41784,164.821
41785,164.839
41786,164.833
41787,164.891
41788,164.845
41789,164.848
41790,164.793
41791,164.83
41792,164.836
41793,164.857
41794,164.863
41795,164.827
41796,164.787
41797,164.787
41798,164.836
41799,164.833
41800,164.815
41801,164.869
41802,164.848
41803,164.784
41804,164.836
41805,164.787
41806,164.805
41807,164.836
41808,164.857
41809,164.83
41810,164.818
41811,164.824
41812,164.842
41813,164.86
41814,164.833
41815,164.827
41816,164.86
41817,164.802
41818,164.839
41819,164.821
41820,164.833
41821,164.775
41822,164.815
41823,164.839
41824,164.83
41825,164.824
41826,164.784
41827,164.796
41828,164.824
41829,164.808
41830,164.815
41831,164.793
41832,164.802
41833,164.802
41834,164.866
41835,164.787
41836,164.76
41837,164.842
41838,164.845
41839,164.875
41840,164.836
41841,164.885
41842,164.866
41843,164.848
41844,164.851
41845,164.845
41846,164.866
41847,164.818
41848,164.848
41849,164.848
41850,164.882
41851,164.83
41852,164.833
41853,164.885
41854,164.875
41855,164.802
41856,164.821
41857,164.79
41858,164.799
41859,164.879
41860,164.802
41861,164.815
41862,164.827
41863,164.818
41864,164.857
41865,164.815
41866,164.818
41867,164.821
41868,164.775
41869,164.781
41870,164.836
41871,164.784
41872,164.744
41873,164.784
41874,164.83
41875,164.842
41876,164.769
41877,164.778
41878,164.882
41879,164.799
41880,164.854
41881,164.875
41882,164.854
41883,164.848
41884,164.845
41885,164.882
41886,165.317
41887,165.415
41888,165.458
41889,165.467
41890,165.363
41891,165.372
41892,165.43
41893,165.397
41894,165.305
41895,165.281
41896,165.253
41897,165.266
41898,165.333
41899,165.278
41900,165.162
41901,165.177
41902,165.153
41903,165.095
41904,164.973
41905,165.061
41906,165.199
41907,165.241
41908,164.927
41909,164.811
41910,164.879
41911,164.994
41912,165.019
41913,165.034
41914,165.089
41915,165.135
41916,165.189
41917,165.177
41918,165.238
41919,165.324
41920,165.317
41921,165.305
41922,165.32
41923,165.348
41924,165.36
41925,165.357
41926,165.336
41927,165.302
41928,165.305
41929,165.339
41930,165.363
41931,165.296
41932,165.299
41933,165.32
41934,165.287
41935,165.284
41936,165.299
41937,165.302
41938,165.278
41939,165.199
41940,165.272
41941,165.192
41942,165.241
41943,165.314
41944,165.287
41945,165.305
41946,165.345
41947,165.365
41948,165.357
41949,165.325
41950,165.285
41951,165.295
41952,165.325
41953,165.327
41954,165.286
41955,165.287
41956,165.299
41957,165.36
41958,165.302
41959,165.261
41960,165.239
41961,165.373
41962,165.375
41963,165.32
41964,165.332
41965,165.266
41966,165.154
41967,165.267
41968,165.219
41969,165.235
41970,165.34
41971,165.336
41972,165.28
41973,165.222
41974,165.328
41975,165.35
41976,165.284
41977,165.278
41978,165.348
41979,165.299
41980,165.139
41981,165.07
41982,165.237
41983,165.256
41984,165.388
41985,165.353
41986,165.322
41987,165.285
41988,165.295
41989,165.308
41990,165.288
41991,165.398
41992,165.362
41993,165.287
41994,165.351
41995,165.328
41996,165.327
41997,165.312
41998,165.335
41999,165.377
42000,165.384
42001,165.434
42002,165.375
42003,165.323
42004,165.239
42005,165.349
42006,165.313
42007,165.381
42008,165.335
42009,165.236
42010,165.331
42011,165.35
42012,165.377
42013,165.378
42014,165.378
42015,165.273
42016,165.315
42017,165.274
42018,165.272
42019,165.371
42020,165.355
42021,165.313
42022,165.282
42023,165.342
42024,165.363
42025,165.416
42026,165.441
42027,165.387
42028,165.364
42029,165.413
42030,165.398
42031,165.379
42032,165.34
42033,165.298
42034,165.32
42035,165.268
42036,165.382
42037,165.379
42038,165.39
42039,165.35
42040,165.257
42041,165.239
42042,165.282
42043,165.334
42044,165.26
42045,165.347
42046,165.228
42047,165.442
42048,165.387
42049,165.452
42050,165.37
42051,165.369
42052,165.299
42053,165.174
42054,165.244
42055,165.309
42056,165.218
42057,164.898
42058,165.001
42059,165.15
42060,165.384
42061,165.268
42062,165.236
42063,165.273
42064,165.321
42065,165.227
42066,165.238
42067,165.317
42068,165.385
42069,165.312
