$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
41104.96,982.83
41105.00,982.83
41105.96,982.87
41106.00,982.87
41106.96,982.90
41107.00,982.90
41107.96,982.90
41108.00,982.90
41108.96,981.85
41109.00,981.85
41109.96,981.10
41110.00,981.10
41110.96,981.95
41111.00,981.95
41111.96,982.80
41112.00,982.80
41112.96,982.80
41113.00,982.80
41113.96,982.80
41114.00,982.80
41114.96,982.89
41115.00,982.89
41115.96,982.90
41116.00,982.90
41116.96,982.90
41117.00,982.90
41117.96,982.90
41118.00,982.90
41118.96,982.23
41119.00,982.23
41119.96,981.90
41120.00,981.90
41120.96,982.57
41121.00,982.57
41121.96,982.90
41122.00,982.90
41122.96,982.90
41123.00,982.90
41123.96,982.90
41124.00,982.90
41124.96,982.90
41125.00,982.90
41125.96,982.42
41126.00,982.42
41126.96,982.20
41127.00,982.20
41127.96,982.06
41128.00,982.06
41128.96,982.27
41129.00,982.27
41129.96,982.63
41130.00,982.63
41130.96,982.71
41131.00,982.71
41131.96,982.60
41132.00,982.60
41132.96,982.60
41133.00,982.60
41133.96,982.60
41134.00,982.60
41134.96,981.93
41135.00,981.93
41135.96,981.90
41136.00,981.90
41136.96,981.90
41137.00,981.90
41137.96,981.90
41138.00,981.90
41138.96,981.90
41139.00,981.90
41139.96,981.11
41140.00,981.11
41140.96,980.90
41141.00,980.90
41141.96,980.96
41142.00,980.96
41142.96,981.00
41143.00,981.00
41143.96,981.00
41144.00,981.00
41144.96,981.00
41145.00,981.00
41145.96,981.00
41146.00,981.00
41146.96,981.00
41147.00,981.00
41147.96,980.99
41148.00,980.99
41148.96,980.50
41149.00,980.50
41149.96,980.50
41150.00,980.50
41150.96,980.50
41151.00,980.50
41151.96,980.50
41152.00,980.50
41152.96,980.50
41153.00,980.50
41153.96,980.23
41154.00,980.23
41154.96,980.20
41155.00,980.20
41155.96,980.20
41156.00,980.20
41156.96,980.20
41157.00,980.20
41157.96,980.20
41158.00,980.20
41158.96,980.20
41159.00,980.20
41159.96,980.10
41160.00,980.10
41160.96,980.10
41161.00,980.10
41161.96,978.30
41162.00,978.30
41162.96,978.30
41163.00,978.30
41163.96,978.30
41164.00,978.30
41164.96,977.51
41165.00,977.51
41165.96,977.50
41166.00,977.50
41166.96,977.50
41167.00,977.50
41167.96,977.50
41168.00,977.50
41168.96,975.02
41169.00,975.02
41169.96,975.00
41170.00,975.00
41170.96,975.00
41171.00,975.00
41171.96,974.98
41172.00,974.98
41172.96,973.81
41173.00,973.81
41173.96,973.80
41174.00,973.80
41174.96,973.80
41175.00,973.80
41175.96,973.80
41176.00,973.80
41176.96,973.80
41177.00,973.80
41177.96,973.80
41178.00,973.80
41178.96,973.80
41179.00,973.80
41179.96,973.80
41180.00,973.80
41180.96,973.80
41181.00,973.80
41181.96,973.80
41182.00,973.80
41182.96,973.80
41183.00,973.80
41183.96,973.80
41184.00,973.80
41184.96,973.80
41185.00,973.80
41185.96,973.80
41186.00,973.80
41186.96,973.80
41187.00,973.80
41187.96,973.80
41188.00,973.80
41188.96,973.80
41189.00,973.80
41189.96,973.80
41190.00,973.80
41190.96,973.80
41191.00,973.80
41191.96,973.80
41192.00,973.80
41192.96,973.80
41193.00,973.80
41193.96,973.80
41194.00,973.80
41194.96,973.80
41195.00,973.80
41195.96,973.80
41196.00,973.80
41196.96,973.80
41197.00,973.80
41197.96,973.80
41198.00,973.80
41198.96,973.80
41199.00,973.80
41199.96,973.80
41200.00,973.80
41200.96,973.80
41201.00,973.80
41201.96,973.80
41202.00,973.80
41202.96,973.80
41203.00,973.80
41203.96,973.80
41204.00,973.80
41204.96,973.80
41205.00,973.80
41205.96,973.80
41206.00,973.80
41206.96,973.80
41207.00,973.80
41207.96,973.80
41208.00,973.80
41208.96,973.80
41209.00,973.80
41209.96,973.80
41210.00,973.80
41210.96,973.90
41211.00,973.90
41211.96,973.90
41212.00,973.90
41212.96,973.90
41213.00,973.90
41213.96,973.83
41214.00,973.83
41214.96,973.80
41215.00,973.80
41215.96,973.80
41216.00,973.80
41216.96,973.80
41217.00,973.80
41218.00,973.80
41219.00,973.80
41220.00,973.80
41221.00,973.80
41222.00,973.80
41223.00,973.80
41224.00,973.90
41225.00,973.90
41226.00,973.90
41227.00,973.90
41228.00,973.90
41229.00,973.90
41230.00,973.90
41231.00,973.90
41232.00,973.90
41233.00,973.90
41234.00,973.90
41235.00,973.90
41236.00,973.90
41237.00,973.90
41238.00,973.90
41239.00,973.90
41240.00,973.90
41241.00,973.90
41242.00,973.90
41243.00,973.82
41244.00,973.80
41245.00,973.80
41246.00,973.80
41247.00,973.80
41248.00,973.80
41249.00,973.80
41250.00,973.80
41251.00,973.80
41252.00,973.80
41253.00,973.80
41254.00,973.80
41255.00,973.80
41256.00,973.80
41257.00,974.45
41258.00,973.87
41259.00,973.90
41260.00,973.90
41261.00,973.90
41262.00,973.90
41263.00,973.90
41264.00,973.90
41265.00,973.90
41266.00,973.90
41267.00,973.90
41268.00,973.90
41269.00,973.90
41270.00,973.90
41271.00,973.90
41272.00,973.90
41273.00,973.90
41274.00,973.90
41275.00,973.90
41276.00,973.90
41277.00,973.90
41278.00,973.90
41279.00,973.90
41280.00,973.90
41281.00,973.90
41282.00,977.15
41283.00,978.19
41284.00,978.20
41285.00,978.20
41286.00,978.20
41287.00,978.20
41288.00,978.20
41289.00,978.20
41290.00,978.20
41291.00,978.20
41292.00,978.20
41293.00,975.09
41294.00,974.90
41295.00,974.90
41296.00,974.90
41297.00,974.60
41298.00,974.45
41299.00,974.45
41300.00,974.45
41301.00,974.45
41302.00,974.45
