$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
563.000000,9873.064
564.000000,10104.21
565.000000,10207.29
566.000000,8936.896
567.000000,8598.14
568.000000,8740.404
569.000000,9378.202
570.000000,9405.064
571.000000,9699.806
572.000000,9074.688
573.000000,8610.805
574.000000,8442.209
575.000000,8390.065
576.000000,7864.456
577.000000,7617.644
578.000000,7284.835
579.000000,7494.279
580.000000,7255.664
581.000000,6922.932
582.000000,6487.192
583.000000,6402.228
584.000000,6102.848
585.000000,6000.628
586.000000,5871.631
587.000000,5851.551
588.000000,6184.847
589.000000,5604.042
590.000000,5971.439
591.000000,6195.912
592.000000,6401.441
593.000000,5702.911
594.000000,5273.846
595.000000,4962.999
596.000000,5077.709
597.000000,5024.357
598.000000,4994.313
599.000000,5327.347
600.000000,4984.124
601.000000,5267.169
602.000000,5084.688
603.000000,5361.233
604.000000,4995.66
605.000000,4185.238
606.000000,4728.833
607.000000,4296.601
608.000000,4244.725
609.000000,3849.844
610.000000,4255.905
611.000000,4550.273
612.000000,3562.709
613.000000,2908.072
614.000000,3441.385
615.000000,3360.165
616.000000,3380.099
617.000000,3355.68
618.000000,3250.724
619.000000,2628.574
620.000000,2929.439
621.000000,3441.615
622.000000,3662.352
623.000000,2990.106
624.000000,3098.5
625.000000,3285.489
626.000000,2976.472
627.000000,2898.228
628.000000,3549.703
629.000000,3472.982
630.000000,3166.738
631.000000,3231.044
632.000000,2914.959
633.000000,2509.793
634.000000,2659.318
635.000000,2901.357
636.000000,2876.453
637.000000,2841.475
638.000000,2978.784
639.000000,2717.387
640.000000,2368.122
641.000000,1717.943
642.000000,2405.932
643.000000,2787.572
644.000000,2873.608
645.000000,2663.897
646.000000,2395.771
647.000000,2110.479
648.000000,2265.182
649.000000,2799.891
650.000000,2629.026
651.000000,2807.601
