"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate6_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate7_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate7_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate7_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate7_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate7_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate8_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate8_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate8_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate8_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate8_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate9_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate9_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate9_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate9_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate9_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate10_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate10_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate10_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate10_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate10_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate11_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate11_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate11_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate11_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate11_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate12_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate12_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate12_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate12_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate12_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate13_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate13_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate13_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate13_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate13_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate14_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate14_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate14_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate14_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate14_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate15_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate15_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate15_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate15_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate15_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate16_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate16_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate16_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate16_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate16_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate17_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate17_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate17_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate17_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate17_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate18_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate18_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate18_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate18_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate18_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate19_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate19_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate19_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate19_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate19_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate20_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate20_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate20_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate20_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate20_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate21_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate21_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate21_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate21_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate21_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate22_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate22_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate22_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate22_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate22_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate23_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate23_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate23_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate23_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate23_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate24_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate24_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate24_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate24_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate24_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate25_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate25_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate25_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate25_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate25_seg41.opt",    0.041667
