$ QGT_TDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_TDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from THE DALLES_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41558, 41678, 41754, 41769, 41867, 41904, 41958, 42024, 42286, 42296 that are  1009, 2, 2, 3, 2, 2, 2, 2, 3, 2, 29 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB21","SB22","SB23","MISC"
93.000000,8794.715,5.64,20.061,39.293,39.293,39.293,39.293,78.272,78.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.000000,9560.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.000000,10092.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.000000,10952.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.000000,9795.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.000000,8933.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.000000,8436.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.000000,5484.787,456.711,479.408,479.458,479.458,479.487,479.487,479.487,487.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.000000,5523.084,484.756,484.756,484.756,484.756,484.756,484.756,484.756,489.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.000000,5013.253,438.677,438.677,438.677,438.697,438.697,438.697,438.697,444.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.000000,5046.062,437.346,437.346,437.346,437.346,437.346,437.346,437.346,440.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.000000,4834.084,423.695,423.695,423.695,423.695,423.695,423.695,423.695,424.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.000000,4548.227,406.364,406.364,456.558,456.558,456.558,456.558,456.558,456.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.000000,4868.592,401.889,401.889,433.934,433.934,433.934,433.934,433.934,433.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.000000,3886.312,316.462,316.462,360.449,360.449,360.449,360.449,360.449,360.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.000000,4412.364,388.703,388.703,388.703,388.703,388.703,388.703,388.703,388.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.000000,4679.266,409.658,409.658,409.658,409.658,409.658,409.658,409.658,409.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.000000,4468.091,390.089,390.089,390.089,390.089,390.089,390.089,390.089,390.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.000000,4763.662,402.136,417.255,417.255,417.255,417.255,417.255,417.255,417.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.000000,4490.811,381.394,404.614,404.614,404.614,404.614,404.614,404.614,404.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.000000,4731.372,439.908,470.496,470.496,470.496,470.496,470.496,470.496,470.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.000000,4113.284,429.317,450.056,458.547,458.547,458.547,458.547,458.547,458.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.000000,3908.216,393.901,407.807,446.268,446.268,446.268,446.268,446.268,446.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.000000,4549.514,333.488,413.297,413.297,413.297,413.297,413.297,413.297,413.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.000000,4224.635,361.845,374.041,374.976,374.976,374.976,374.976,374.976,374.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.000000,4645.379,370.939,411.553,411.553,411.553,411.553,411.553,411.553,411.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.000000,4578.541,361.063,406.958,406.958,406.958,406.958,406.958,406.958,406.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.000000,4020.176,333.929,377.43,377.43,377.43,377.43,377.43,377.43,377.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.000000,3829.766,326.276,336.214,336.214,336.214,336.214,336.214,336.214,336.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.000000,4626.154,396.375,396.375,396.375,396.375,396.375,396.375,396.375,396.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123.000000,4364.894,372.27,372.27,372.27,372.27,372.27,372.27,372.27,372.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.000000,4627.494,381.677,381.677,381.677,381.677,381.677,381.677,381.677,381.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125.000000,4685.199,368.982,368.982,368.982,368.982,368.982,368.982,368.982,368.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.000000,4636.23,327.394,327.394,327.394,327.394,327.394,327.394,327.394,327.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.000000,4739.054,361.449,361.449,361.449,361.449,361.449,361.449,361.449,361.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.000000,4349.606,341.016,341.016,341.016,341.016,341.016,341.016,341.016,341.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129.000000,4268.12,361.021,361.021,361.021,361.021,361.021,361.021,361.021,361.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.000000,4685.151,398.895,415.871,415.871,415.871,415.871,415.871,415.871,415.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.000000,5227.423,339.41,419.385,495.035,495.035,495.035,495.035,495.035,495.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132.000000,4510.149,363.238,394.342,394.342,394.342,394.342,394.342,394.342,394.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.000000,4955.424,431.814,431.814,431.814,431.814,431.814,431.814,431.814,431.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134.000000,5880.946,490.5,515.02,515.02,515.02,515.02,515.02,515.02,515.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.000000,6080.658,518.024,518.024,518.024,518.024,518.024,518.024,518.024,518.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136.000000,6812.124,547.958,547.958,547.958,547.958,547.958,547.958,547.958,547.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137.000000,7791.851,559.523,576.742,576.742,576.742,576.742,576.742,576.742,576.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138.000000,8269.316,597.052,597.052,597.052,597.052,597.052,597.052,597.052,597.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139.000000,8153.388,644.449,644.449,644.449,644.449,644.449,644.449,644.449,644.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.000000,13086.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141.000000,8057.568,680.96,680.96,680.96,680.96,680.96,680.96,680.96,680.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.000000,8057.312,635.717,635.717,635.717,635.717,635.717,635.717,635.717,635.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.000000,8230.245,683.376,683.376,683.376,683.376,683.376,683.376,683.376,683.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.000000,8377.3,674.533,674.533,674.533,674.533,674.533,674.533,674.533,674.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.000000,8798.566,730.772,730.772,730.772,730.772,730.772,730.772,730.772,730.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146.000000,8514.222,709.53,709.53,709.53,709.53,709.53,709.53,709.53,709.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147.000000,8384.287,695.162,695.162,695.162,695.162,695.162,695.162,695.162,695.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148.000000,8592.149,698.776,698.776,698.776,698.776,698.776,698.776,698.776,698.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.000000,8606.167,714.443,714.443,714.443,714.443,714.443,714.443,714.443,714.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.000000,8521.777,718.897,718.897,718.897,718.897,718.897,718.897,718.897,718.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.000000,8964.599,680.189,680.189,680.189,680.189,680.189,680.189,680.189,680.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.000000,8845.291,673.406,673.406,673.406,673.406,673.406,673.406,673.406,673.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
