FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),scale
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,100.625,98.581,47.117,89.999,145.32,325.535,577.60525,653.8197368,505.5005,326.8969524,109.704,218.673,40.194,0,,33,3533959.977,61314526.17,49708.56939,23.5,77.09973753,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,60.053,98.581,47.117,89.999,128.093,295.736,577.5753182,653.8163947,505.0770909,325.6603571,99.064,207.802,40.194,0,,34,3424411.981,57780566.19,46843.53714,22.5,73.81889764,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,46.725,98.581,0,89.999,110.628,270.515,577.5453864,653.8130526,504.6536818,324.4237619,86.142,194.782,40.194,0,,35,3295125.977,54356154.21,44067.31703,21.5,70.53805774,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,0,0,0,0,89.999,95.662,254.583,577.5154545,653.8097105,504.2302727,323.1871667,77.273,185.283,40.194,0,,36,2861831.748,51061028.23,41395.91095,20.5,67.25721785,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,0,0,0,0,89.999,81.438,238.266,577.4855227,653.8063684,503.8068636,321.9505714,72.681,177.233,0,0,,37,2777724.465,48199196.48,39075.78273,19.5,63.97637795,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,0,0,0,0,89.999,67.725,217.966,577.4555909,653.8030263,503.3834545,320.7139762,68.341,165.599,0,0,,38,2726629.208,45421472.02,36823.8415,18.5,60.69553806,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.999,52.71,181.538,577.4256591,653.7996842,502.9600455,319.477381,65.135,152.544,0,0,,39,2566206.705,42694842.81,34613.32394,17.5,57.41469816,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.999,43.54,149.597,577.3957273,653.7963421,502.5366364,318.2407857,62.524,147.637,0,0,,40,2516454.075,40128636.11,32532.86321,16.5,54.13385827,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.999,43.54,135.905,577.3657955,653.793,502.1132273,317.0041905,59.99,147.637,0,0,,41,2498737.643,37612182.03,30492.73765,15.5,50.85301837,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.204,577.3358636,603.603,501.6898182,315.7675952,57.148,147.637,0,0,,42,2304005.316,35113444.39,28466.97505,14.5,47.57217848,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.284,577.3059318,566.006,501.2664091,314.531,53.823,147.637,0,0,,43,2258000.121,32809439.07,26599.08476,13.5,44.29133858,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.36,577.276,544.25,500.843,283.703,50.358,147.637,0,0,,44,2194303.086,30551438.95,24768.49155,12.5,41.01049869,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.331,554.589,529.676,480.844,266.301,45.899,147.637,0,0,,45,2108139.624,28357135.87,22989.53843,11.5,37.72965879,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.747,525.504,514.829,464.156,249.816,42.371,147.637,0,0,,46,2024875.961,26248996.24,21280.43928,10.5,34.4488189,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.884,491.799,496.44,452.536,229.957,40.796,147.637,0,0,,47,1937861.245,24224120.28,19638.84318,9.5,31.167979,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.514,436.66,474.894,440.909,202.244,39.452,147.637,0,0,,48,1815522.971,22286259.04,18067.79116,8.5,27.88713911,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.323,355.894,451.339,430.717,175.448,37.331,147.637,0,0,,49,1657708.881,20470736.06,16595.92054,7.5,24.60629921,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.384,300.888,421.491,421.743,158.172,36.246,147.637,0,0,,50,1531031.289,18813027.18,15251.99207,6.5,21.32545932,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.256,276.864,395.717,412.867,140.28,36.246,147.637,0,0,,51,1446307.346,17281995.89,14010.76296,5.5,18.04461942,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.573,265.965,383.32,403.942,124.187,36.246,147.637,0,0,,52,1393910.272,15835688.55,12838.22076,4.5,14.76377953,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.621,260.841,375.263,395.15,112.868,36.246,147.637,0,0,,53,1360053.914,14441778.28,11708.15763,3.5,11.48293963,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.823,255.528,368.186,386.75,99.631,36.246,147.637,0,0,,54,1325623.133,13081724.36,10605.54234,2.5,8.202099738,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.137,250.474,362.649,378.357,89.145,36.246,147.637,0,0,,55,1295808.499,11756101.23,9530.840574,1.5,4.921259843,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.36,244.524,356.3,369.243,84.714,36.246,147.637,0,0,,56,1269488.848,10460292.73,8480.309962,0.5,1.640419948,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.156,237.132,348.019,359.737,84.084,36.246,147.637,0,0,,57,1242781.635,9190803.884,7451.11707,-0.5,-1.640419948,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.385,225.624,337.869,350.294,84.084,36.246,147.637,0,0,,58,1210281.747,7948022.248,6443.5761,-1.5,-4.921259843,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.453,212.009,319.865,340.221,84.084,36.246,147.637,0,0,,59,1167151.57,6737740.502,5462.383259,-2.5,-8.202099738,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.808,199.465,294.462,330.316,84.084,36.246,147.637,0,0,,60,1118214.876,5570588.932,4516.156672,-3.5,-11.48293963,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.45,187.971,268.436,320.852,84.084,36.246,147.637,0,0,,61,1070420.108,4452374.055,3609.603768,-4.5,-14.76377953,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.155,176.379,248.101,310.905,84.084,36.246,147.637,0,0,,62,1027739.781,3381953.948,2741.798771,-5.5,-18.04461942,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.476,158.76,234.934,296.73,84.084,36.246,147.637,0,0,,63,982616.4256,2354214.167,1908.595329,-6.5,-21.32545932,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.476,140.14,209.615,277.795,84.084,0,0,0,0,,64,738652.7148,1371597.741,1111.974042,-7.5,-24.60629921,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.476,120.603,161.749,238.28,84.084,0,0,0,0,,65,632945.0266,632945.0266,513.1376484,-8.5,-27.88713911,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,66,0,0,0,-9.5,-31.167979,
