$ MCNARY-POOLELEV.npt based on $//MCNARY-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42122,104.409
42123,104.324
42124,104.296
42125,104.315
42126,104.367
42127,104.275
42128,104.229
42129,104.144
42130,104.144
42131,104.312
42132,104.461
42133,104.357
42134,104.351
42135,104.293
42136,104.175
42137,104.111
42138,104.031
42139,104.05
42140,104.266
42141,104.318
42142,104.394
42143,104.351
42144,104.376
42145,104.364
42146,104.336
42147,104.357
42148,104.318
42149,104.327
42150,104.364
42151,104.354
42152,104.333
42153,104.364
42154,104.376
42155,104.388
42156,104.342
42157,104.22
42158,104.178
42159,104.376
42160,104.482
42161,104.421
42162,104.36
42163,104.138
42164,104.208
42165,104.242
42166,104.092
42167,104.296
42168,104.4
42169,104.409
42170,104.126
42171,104.287
42172,104.242
42173,104.306
42174,104.4
42175,104.251
42176,104.068
42177,104.04
42178,103.94
42179,103.964
42180,104.202
42181,104.452
42182,104.488
42183,104.437
42184,104.412
42185,104.403
42186,104.37
42187,104.357
42188,104.373
42189,104.464
42190,104.47
42191,104.452
42192,104.421
42193,104.467
42194,104.464
42195,104.296
42196,104.321
42197,104.327
42198,104.476
42199,104.409
42200,104.324
42201,104.357
42202,104.254
42203,104.15
42204,104.357
42205,104.473
42206,104.446
42207,104.437
42208,104.418
42209,104.421
42210,104.449
42211,104.504
42212,104.476
42213,104.54
42214,104.458
42215,104.412
42216,104.348
42217,104.376
42218,104.348
42219,104.354
42220,104.373
42221,104.226
42222,104.351
42223,104.257
42224,104.315
42225,104.482
42226,104.467
42227,104.412
42228,104.351
42229,104.336
42230,104.281
42231,104.226
42232,104.153
42233,104.318
42234,104.36
42235,104.351
42236,104.37
42237,104.357
42238,104.269
42239,104.364
42240,104.406
42241,104.488
42242,104.476
42243,104.321
42244,104.29
42245,104.272
42246,104.239
42247,104.367
42248,104.364
42249,104.327
42250,104.269
42251,104.418
42252,104.455
42253,104.394
42254,104.382
42255,104.409
42256,104.434
42257,104.44
42258,104.421
42259,104.409
42260,104.324
42261,104.357
42262,104.458
42263,104.4
42264,104.443
42265,104.421
42266,104.437
42267,104.428
42268,104.504
42269,104.388
42270,104.266
42271,104.406
42272,104.479
42273,104.424
42274,104.409
42275,104.421
42276,104.296
42277,104.339
42278,104.4
42279,104.391
42280,104.37
42281,104.385
42282,104.406
42283,104.434
42284,104.336
42285,104.412
42286,104.4
42287,104.33
42288,104.379
42289,104.379
42290,104.29
42291,104.229
42292,104.327
42293,104.321
42294,104.397
42295,104.446
42296,104.467
42297,104.501
42298,104.37
42299,104.321
42300,104.379
42301,104.403
42302,104.434
42303,104.461
42304,104.458
42305,104.403
42306,104.394
42307,104.33
42308,104.345
42309,104.428
42310,104.443
42311,104.452
42312,104.347
42313,104.442
42314,104.437
42315,104.495
42316,104.495
42317,104.363
42318,104.413
42319,104.401
42320,104.289
42321,104.346
42322,104.284
42323,104.264
42324,104.374
42325,104.405
42326,104.456
42327,104.373
42328,104.381
42329,104.405
42330,104.43
42331,104.392
42332,104.359
42333,104.34
42334,104.368
42335,104.261
42336,104.298
42337,104.364
42338,104.393
42339,104.359
42340,104.389
42341,104.257
42342,104.324
42343,104.333
42344,104.351
42345,104.264
42346,104.4
42347,104.38
42348,104.224
42349,104.217
42350,104.392
42351,104.421
42352,104.334
42353,104.231
42354,104.162
42355,104.142
42356,104.077
42357,104.115
42358,104.052
42359,104.164
42360,104.341
42361,104.339
42362,104.395
42363,104.19
42364,104.245
42365,104.397
42366,104.397
42367,104.33
42368,104.347
42369,104.354
42370,104.305
