$ COLUMBIA+YAKIMAFLOW.npt based on $//COLUMBIA+YAKIMA/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
881.000000,6046.66
882.000000,5584.194
883.000000,5043.758
884.000000,4307.15
885.000000,4478.349
886.000000,5125.617
887.000000,5350.195
888.000000,5510.297
889.000000,5268.763
890.000000,5033.386
891.000000,5080.467
892.000000,5099.565
893.000000,4910.71
894.000000,4484.423
895.000000,4725.808
896.000000,5247.085
897.000000,5110.469
898.000000,4721.84
899.000000,4567.02
900.000000,4802.957
901.000000,4898.68
902.000000,4936.93
903.000000,5049.713
904.000000,5391.228
905.000000,5916.488
906.000000,6010.678
907.000000,6116.588
908.000000,6120.088
909.000000,6124.706
910.000000,6125.077
911.000000,6305.542
912.000000,6554.539
913.000000,7015.006
914.000000,7116.342
915.000000,6685.371
916.000000,6773.467
917.000000,6489.458
918.000000,6282.806
919.000000,6245.053
920.000000,6006.269
921.000000,5703.132
922.000000,5446.622
923.000000,5158.592
924.000000,4804.548
925.000000,4952.506
926.000000,5022.085
927.000000,4916.964
928.000000,4900.914
929.000000,4915.671
930.000000,4661.831
931.000000,4416.759
932.000000,4624.063
933.000000,4664.545
934.000000,4622.356
935.000000,4329.984
936.000000,4008.302
937.000000,3858.651
938.000000,3969.049
939.000000,4405.429
940.000000,4128.969
941.000000,3665.567
942.000000,3624.902
943.000000,3927.41
944.000000,4286.716
945.000000,4276.9
946.000000,4063.45
947.000000,4059.809
948.000000,4071.29
949.000000,3909.87
950.000000,3819.909
951.000000,3803.627
952.000000,3927.446
953.000000,3940.81
954.000000,3551.479
955.000000,3071.691
956.000000,3358.713
957.000000,3764.987
958.000000,3512.818
959.000000,3644.525
960.000000,4027.082
961.000000,3886.505
962.000000,3538.878
963.000000,3438.59
964.000000,3434.492
965.000000,3444.693
966.000000,3420.078
967.000000,3239.537
968.000000,2789.589
969.000000,2433.964
970.000000,2579.583
971.000000,2764.908
972.000000,2741.295
973.000000,2824.128
974.000000,2963.452
975.000000,2898.135
976.000000,2577.152
977.000000,2260.623
978.000000,2278.78
979.000000,2188.329
980.000000,1997.975
981.000000,2152.033
982.000000,2089.202
983.000000,1835.932
984.000000,2055.565
985.000000,2677.617
986.000000,2652.682
987.000000,2453.242
988.000000,2483.407
989.000000,2317.103
990.000000,2102.673
991.000000,2335.589
992.000000,2789.57
993.000000,2398.405
994.000000,2256.976
995.000000,2418.719
996.000000,2156.131
997.000000,1928.372
998.000000,1986.38
999.000000,2265.39
1000.000000,2242.46
1001.000000,2254.662
1002.000000,2257.982
1003.000000,2185.454
1004.000000,2003.86
1005.000000,2113.444
1006.000000,2297.38
1007.000000,2320.237
1008.000000,2172.735
1009.000000,1877
1010.000000,1962.07
1011.000000,1926.79
1012.000000,1866.208
1013.000000,1930.797
1014.000000,1820.947
1015.000000,1750.634
1016.000000,1943.096
1017.000000,2020.933
1018.000000,1678.175
1019.000000,1679.864
1020.000000,2048.38
1021.000000,2362.013
1022.000000,2797.412
1023.000000,2840.823
1024.000000,2662.673
1025.000000,2580.061
1026.000000,2574.654
1027.000000,2634.845
1028.000000,2418.361
1029.000000,2416.385
1030.000000,2502.545
1031.000000,2373.897
1032.000000,2230.194
1033.000000,2381.965
1034.000000,2591.391
1035.000000,2626.705
1036.000000,2468.849
1037.000000,2408.336
1038.000000,2323.978
1039.000000,2162.56
1040.000000,2443.727
1041.000000,2548.944
1042.000000,2513.575
1043.000000,2697.971
1044.000000,2760.533
1045.000000,2746.385
1046.000000,2617.006
1047.000000,2457.834
1048.000000,2378.215
1049.000000,2540.992
1050.000000,2727.756
1051.000000,2462.243
1052.000000,2387.535
1053.000000,2562.11
1054.000000,2821.712
1055.000000,2666.688
1056.000000,2591.796
1057.000000,2904.51
1058.000000,2857.57
1059.000000,2805.386
1060.000000,2717.601
1061.000000,3037.511
1062.000000,3452.063
1063.000000,3347.288
1064.000000,3006.337
1065.000000,2978.609
1066.000000,2921.542
1067.000000,2517.224
1068.000000,2704.481
1069.000000,3218.358
1070.000000,3008.996
1071.000000,2765.143
1072.000000,2917.635
1073.000000,3084.677
1074.000000,3305.115
1075.000000,3297.783
1076.000000,3367.752
1077.000000,3492.259
1078.000000,3376.664
1079.000000,3405.913
1080.000000,3237.743
1081.000000,2545.045
1082.000000,2521.67
1083.000000,2791.411
1084.000000,2592.729
1085.000000,2823.615
1086.000000,3105.293
1087.000000,3049.796
1088.000000,2705.854
1089.000000,2296.262
1090.000000,2178.165
1091.000000,2331.897
1092.000000,2466.635
1093.000000,2475.251
1094.000000,2635.701
1095.000000,2666.073
1096.000000,2813.641
1097.000000,2880.04
1098.000000,2622.076
1099.000000,1812.937
1100.000000,1200.133
1101.000000,2130.324
1102.000000,3345.384
1103.000000,3630.09
1104.000000,3531.068
1105.000000,3617.765
1106.000000,3735.388
1107.000000,3414.471
1108.000000,2932.592
1109.000000,2896.8
1110.000000,2765.028
1111.000000,2518.208
1112.000000,2591.731
1113.000000,2529.844
1114.000000,2586.585
1115.000000,2413.312
1116.000000,2562.892
1117.000000,3351.037
1118.000000,3498.974
1119.000000,3143.324
1120.000000,3337.839
1121.000000,3321.227
1122.000000,2939.38
1123.000000,2575.95
1124.000000,2729.933
1125.000000,3177.558
1126.000000,3369.467
1127.000000,3276.285
1128.000000,3162.572
1129.000000,2835.097
1130.000000,2144.293
1131.000000,2375.549
1132.000000,2454.372
1133.000000,2015.15
1134.000000,2646.75
1135.000000,3509.987
1136.000000,3417.189
1137.000000,2848.884
1138.000000,2280.96
1139.000000,2188.549
1140.000000,2053.295
1141.000000,1864.062
