$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
677.000000,577.169
678.000000,613.032
679.000000,591.807
680.000000,684.189
681.000000,687.916
682.000000,627.306
683.000000,369.044
684.000000,551.77
685.000000,438.138
686.000000,582.578
687.000000,750.419
688.000000,878.718
689.000000,613.451
690.000000,360.353
691.000000,524.215
692.000000,1030.438
693.000000,604.752
694.000000,551.244
695.000000,699.692
696.000000,604.392
697.000000,560.528
698.000000,570.042
699.000000,670.677
700.000000,803.371
701.000000,746.831
702.000000,660.064
703.000000,879.562
704.000000,935.863
705.000000,1055.971
706.000000,1141.662
707.000000,1265.54
708.000000,1123.408
709.000000,1153.613
710.000000,1048.516
711.000000,1110.758
712.000000,712.864
713.000000,1020.096
714.000000,901.762
715.000000,725.351
716.000000,1146.483
717.000000,694.731
718.000000,768.193
719.000000,769.137
720.000000,803.473
721.000000,596.706
722.000000,573.859
723.000000,709.913
724.000000,1098.247
725.000000,640.258
726.000000,654.095
727.000000,658.674
728.000000,766.07
729.000000,708.342
730.000000,852.757
731.000000,890.863
732.000000,555.025
733.000000,897.248
734.000000,533.525
735.000000,808.924
736.000000,769.017
737.000000,853.117
738.000000,595.196
739.000000,523.761
740.000000,480.491
741.000000,825.21
742.000000,811.93
743.000000,718.913
744.000000,776.984
745.000000,1024.38
746.000000,410.583
747.000000,728.284
748.000000,998.732
749.000000,971.592
750.000000,652.55
751.000000,872.354
752.000000,795.077
753.000000,310.602
754.000000,681.269
755.000000,817.301
756.000000,582.514
757.000000,612.046
758.000000,513.332
759.000000,790.496
760.000000,436.409
761.000000,862.101
762.000000,660.711
763.000000,806.69
764.000000,765.184
765.000000,899.805
766.000000,989.424
767.000000,730.486
768.000000,899.297
769.000000,930.447
770.000000,962.427
771.000000,780.607
772.000000,909.458
773.000000,874.627
774.000000,844.043
775.000000,858.836
776.000000,727.696
777.000000,951.196
778.000000,941.19
779.000000,750.058
780.000000,837.619
781.000000,900.217
782.000000,769.305
783.000000,919.489
784.000000,959.086
785.000000,701.268
786.000000,713.205
787.000000,663.347
788.000000,672.251
789.000000,873.257
790.000000,648.003
791.000000,922.669
792.000000,542.957
793.000000,730.709
794.000000,1080.282
795.000000,734.119
796.000000,1162.77
797.000000,1029.378
798.000000,1034.554
799.000000,730.681
800.000000,755.351
801.000000,1027.155
802.000000,681.23
803.000000,706.601
804.000000,880.161
805.000000,1011.623
806.000000,1020.874
