$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
41231,264.9311108,
41232,264.7112946,
41233,264.1502709,
41234,265.849746,
41235,266.2893786,
41236,265.400271,
41237,265.0196935,
41238,264.6489586,
41239,264.9212683,
41240,265.8792736,
41241,265.8989586,
41242,265.1312421,
41243,265.009851,
41244,265.3313733,
41245,265.0787486,
41246,265.2001397,
41247,265.6594573,
41248,265.8202185,
41249,265.3609009,
41250,265.6889849,
41251,265.7808484,
41252,266.0597198,
41253,266.1286174,
41254,266.4895098,
41255,266.5912159,
41256,266.5584075,
41257,266.2893786,
41258,266.0794048,
41259,265.8989586,
41260,265.5315046,
41261,266.3713996,
41262,265.9088012,
41263,265.4297985,
41264,265.9284862,
41265,266.5288799,
41266,266.6994836,
41267,265.8989586,
41268,265.6496148,
41269,265.6889849,
41270,266.240166,
41271,266.1712684,
41272,266.6109009,
41273,266.5715308,
41274,266.8208747,
41275,266.5715308,
41276,266.6404285,
41277,266.7290112,
41278,266.0498773,
41279,265.6102447,
41280,265.7086699,
41281,265.9186437,
41282,266.669956,
41283,267.2506647,
41284,267.3097198,
41285,266.6601135,
41286,266.7815046,
41287,266.7093261,
41288,266.5912159,
41289,265.9612946,
41290,265.4494836,
41291,265.1213996,
41292,265.4986962,
41293,265.6299298,
41294,265.7808484,
41295,265.6299298,
41296,265.9186437,
41297,265.7316358,
41298,265.5085387,
41299,266.3189062,
41300,266.1614258,
41301,265.439641,
41302,266.220481,
41303,265.7414783,
41304,265.7316358,
41305,266.4599823,
41306,266.0006647,
41307,265.4691686,
41308,265.5085387,
41309,265.3510584,
41310,265.5807172,
41311,264.4488274,
41312,264.3602447,
41313,265.1312421,
41314,265.9809796,
41315,266.6994836,
41316,266.8307172,
41317,266.6207434,
41318,266.259851,
41319,265.5708746,
41320,264.9311108,
41321,265.830061,
41322,265.7906909,
41323,265.439641,
41324,264.8490898,
41325,265.0590636,
41326,265.6594573,
41327,265.8891161,
41328,265.4297985,
41329,265.2198248,
41330,264.189641,
41331,264.3799297,
41332,264.1109008,
41333,264.4094573,
41334,263.6384599,
41335,263.349746,
41336,262.631242,
41337,262.5590635,
41338,263.1692998,
41339,263.9402972,
41340,263.8090636,
41341,263.5794048,
41342,264.3110321,
41343,265.009851,
41344,264.9606384,
41345,264.8589324,
41346,264.4914783,
41347,264.0091948,
41348,264.5702184,
41349,265.0590636,
41350,265.3805859,
41351,265.9908222,
41352,266.0892474,
41353,265.810376,
41354,266.2893786,
41355,266.4796673,
41356,265.9711371,
41357,265.8694311,
41358,265.7808484,
41359,265.439641,
41360,264.8490898,
41361,265.111557,
41362,264.7605072,
41363,265.8399035,
41364,266.259851,
41365,266.0990899,
41366,265.1706122,
41367,265.6397723,
41368,265.7906909,
41369,265.5413471,
41370,266.0990899,
41371,266.6601135,
41372,266.9094574,
41373,266.2795361,
41374,267.040691,
41375,267.2506647,
41376,267.5000086,
41377,267.1916096,
41378,266.9816358,
41379,267.1095886,
41380,267.0505335,
41381,266.8405597,
41382,266.548565,
41383,266.3812421,
41384,266.220481,
41385,266.5387224,
41386,266.8011896,
41387,266.4796673,
41388,265.6594573,
41389,265.9284862,
41390,265.810376,
41391,265.9809796,
