                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
     87,     61.000,     0.000,   117.000,     0.400,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     88,     61.000,     0.000,   117.000,     0.800,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     89,     61.000,     0.000,   117.000,     1.200,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     90,     61.000,     0.000,   117.000,     1.600,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     91,     61.000,     0.000,   118.000,     0.000,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     92,     61.000,     0.000,   118.000,     0.400,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     93,     61.000,     0.000,   118.000,     0.800,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     94,     61.000,     0.000,   118.000,     1.200,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     95,     61.000,     0.000,   118.000,     1.600,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     96,     61.000,     0.000,   119.000,     0.000,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     97,     61.000,     0.000,   119.000,     0.400,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     98,     61.000,     0.000,   119.000,     0.800,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     99,     61.000,     0.000,   119.000,     1.200,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    100,     61.000,     0.000,   119.000,     1.600,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    101,     61.000,     0.000,   120.000,     0.000,   765.030,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    102,     61.000,     0.000,   120.000,     0.400,   765.030,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
