TITLE = "PARTICLE INFO for Branch     1"
VARIABLES = "X", "Z", "FSIZE", "FAGE", "WATER", "ISEG", "K"
ZONE T="JDAY   4384.00", I=      1, F=POINT
           0.01      0.01     0.00     0.00  -1   0   0
TEXT X=47, Y=90, F=HELV-BOLD, HU=FRAME, AN=MIDCENTER,C=RED, H=2.5, T="   January  1, 2012     12am    (JDAY4384.000)", ZN=     1
TEXT X=30.0, Y=21.0, F=HELV-BOLD, HU=FRAME,AN=MIDRIGHT, C=BLACK, H=2.1, T="     0", ZN=     1
TEXT X=25.0, Y=25.0, F=HELV-BOLD, HU=FRAME,AN=MIDCENTER, C=BLACK, H=2.1, T="# of Particles"
  
ZONE T="JDAY   4385.00", I=    321, F=POINT
       30115.38    210.14     0.00     1.50   1  61 145
       28476.22    204.39     0.00     1.50   1  58 148
       31362.26    220.41     0.00     1.50   1  64 140
       30503.30    285.56     0.00     1.50   1  62 108
       30007.16    209.55     0.00     1.50   1  61 146
       28611.99    203.83     0.00     1.50   1  58 149
       31072.13    215.59     0.00     1.50   1  63 143
       31398.81    243.20     0.00     1.50   1  64 129
       31499.87    271.52     0.00     1.50   1  64 115
       31286.18    294.30     0.00     1.50   1  64 103
       29503.84    209.73     0.00     1.50   1  60 146
       27650.55    206.11     0.00     1.50   1  56 147
       28285.67    208.49     0.00     1.50   1  58 146
       31393.88    269.46     0.00     1.50   1  64 116
       31315.78    247.74     0.00     1.50   1  64 127
       28412.45    211.49     0.00     1.50   1  58 145
       27825.89    193.87     0.00     1.50   1  57 154
       31408.11    230.39     0.00     1.50   1  64 135
       28831.56    195.03     0.00     1.50   1  59 153
       30150.09    210.60     0.00     1.50   1  61 145
       30857.77    290.47     0.00     1.50   1  63 105
       28735.90    197.71     0.00     1.50   1  59 152
       28598.58    205.15     0.00     1.50   1  58 148
       28073.36    197.74     0.00     1.50   1  57 152
       28558.23    208.44     0.00     1.50   1  58 146
       28673.40    219.78     0.00     1.50   1  58 141
       30664.08    227.62     0.00     1.50   1  62 137
       30076.49    210.65     0.00     1.50   1  61 145
       29338.63    224.49     0.00     1.50   1  60 138
       29331.20    225.98     0.00     1.50   1  60 138
       29230.80    222.41     0.00     1.50   1  60 139
       31357.25    230.77     0.00     1.50   1  64 135
       31176.44    290.89     0.00     1.50   1  63 105
       28037.63    217.84     0.00     1.50   1  57 142
       28057.33    216.16     0.00     1.50   1  57 142
       29406.48    224.48     0.00     1.50   1  60 138
       29402.93    223.82     0.00     1.50   1  60 139
       29143.27    220.04     0.00     1.50   1  59 140
       29943.73    232.41     0.00     1.50   1  61 134
       29740.06    223.74     0.00     1.50   1  61 139
       29175.64    226.03     0.00     1.50   1  59 137
       29013.37    210.73     0.00     1.50   1  59 145
       23834.24    292.55     0.00     1.50   1  49 104
       23567.66    291.58     0.00     1.50   1  48 105
       24173.73    291.98     0.00     1.50   1  50 105
       23782.02    291.89     0.00     1.50   1  49 105
       23812.44    293.62     0.00     1.50   1  49 104
       23907.16    292.89     0.00     1.50   1  49 104
       27649.11    295.09     0.00     1.50   1  56 103
       24171.18    292.73     0.00     1.50   1  50 104
       28448.09    294.15     0.00     1.50   1  58 103
       30088.23    295.65     0.00     1.50   1  61 103
       23969.58    293.15     0.00     1.50   1  49 104
       25373.02    295.23     0.00     1.50   1  52 103
       27313.93    294.52     0.00     1.50   1  56 103
       23832.44    293.59     0.00     1.50   1  49 104
       23975.77    292.38     0.00     1.50   1  49 104
       27688.12    294.20     0.00     1.50   1  57 103
       24515.08    293.70     0.00     1.50   1  50 104
       30979.30    256.81     0.00     1.50   1  63 122
       29064.88    191.26     0.00     1.50   1  59 155
       30370.93    295.67     0.00     1.50   1  62 103
       31000.06    276.13     0.00     1.50   1  63 112
       31256.73    250.66     0.00     1.50   1  64 125
       29360.04    192.92     0.00     1.50   1  60 154
       31352.79    267.63     0.00     1.50   1  64 117
       30569.00    235.05     0.00     1.50   1  62 133
       29284.54    206.95     0.00     1.50   1  60 147
       29295.67    295.20     0.00     1.50   1  60 103
       30164.61    212.47     0.00     1.50   1  61 144
       29948.08    192.51     0.00     1.50   1  61 154
       31348.26    220.83     0.00     1.50   1  64 140
       29291.51    196.58     0.00     1.50   1  60 152
       30613.85    295.56     0.00     1.50   1  62 103
       29935.17    197.83     0.00     1.50   1  61 152
       31385.85    227.51     0.00     1.50   1  64 137
       31347.07    220.69     0.00     1.50   1  64 140
       28377.72    174.39     0.00     1.50   1  58 163
       29945.63    204.49     0.00     1.50   1  61 148
       31594.45    274.71     0.00     1.50   1  64 113
       29728.01    196.65     0.00     1.50   1  61 152
       31277.90    187.34     0.00     1.50   1  64 157
       29577.84    179.04     0.00     1.50   1  60 161
       28361.26    183.81     0.00     1.50   1  58 159
       29572.69    190.72     0.00     1.50   1  60 155
       28718.14    179.75     0.00     1.50   1  59 161
       31561.98    259.98     0.00     1.50   1  64 121
       29916.06    178.87     0.00     1.50   1  61 161
       29202.83    175.06     0.00     1.50   1  60 163
       30013.90    181.62     0.00     1.50   1  61 160
       31473.28    207.13     0.00     1.50   1  64 147
       27574.11    185.54     0.00     1.50   1  56 158
       29245.85    175.91     0.00     1.50   1  60 163
       31176.74    299.00     0.00     1.50   1  63 101
       31105.72    291.07     0.00     1.50   1  63 105
       29769.17    178.40     0.00     1.50   1  61 161
       31480.55    217.17     0.00     1.50   1  64 142
       29715.40    177.95     0.00     1.50   1  61 162
       30206.56    178.79     0.00     1.50   1  62 161
       29032.67    180.73     0.00     1.50   1  59 160
       28734.36    181.79     0.00     1.50   1  59 160
       31629.51    286.43     0.00     1.50   1  64 107
       29447.44    182.19     0.00     1.50   1  60 159
       29651.13    178.25     0.00     1.50   1  60 161
       28323.29    179.93     0.00     1.50   1  58 161
       31349.43    200.35     0.00     1.50   1  64 150
       29840.37    181.35     0.00     1.50   1  61 160
       30012.92    182.36     0.00     1.50   1  61 159
       31398.69    288.23     0.00     1.50   1  64 106
       29788.56    182.45     0.00     1.50   1  61 159
       28317.71    179.01     0.00     1.50   1  58 161
       27373.55    189.96     0.00     1.50   1  56 156
       28549.46    190.40     0.00     1.50   1  58 155
       29101.96    181.40     0.00     1.50   1  59 160
       28141.61    186.88     0.00     1.50   1  57 157
       28328.70    178.91     0.00     1.50   1  58 161
       29599.66    186.94     0.00     1.50   1  60 157
       30054.63    186.92     0.00     1.50   1  61 157
       31586.68    267.00     0.00     1.50   1  64 117
       28188.47    187.32     0.00     1.50   1  58 157
       28462.44    180.90     0.00     1.50   1  58 160
       27862.11    183.76     0.00     1.50   1  57 159
       28102.59    185.86     0.00     1.50   1  57 158
       28209.21    185.19     0.00     1.50   1  58 158
       31331.14    205.04     0.00     1.50   1  64 148
       28048.89    189.76     0.00     1.50   1  57 156
       27907.02    190.24     0.00     1.50   1  57 155
       31436.95    215.38     0.00     1.50   1  64 143
