$ BONNEVILLE-POOLELEV.npt based on $//BONNEVILLE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41624,23.574
41625,23.521
41626,23.588
41627,23.649
41628,23.728
41629,23.615
41630,23.653
41631,23.584
41632,23.469
41633,23.59
41634,23.735
41635,23.635
41636,23.59
41637,23.6
41638,23.698
41639,23.673
41640,23.734
41641,23.748
41642,23.585
41643,23.59
41644,23.73
41645,23.694
41646,23.601
41647,23.644
41648,23.666
41649,23.567
41650,23.652
41651,23.882
41652,23.823
41653,23.82
41654,23.778
41655,23.648
41656,23.876
41657,23.769
41658,23.651
41659,23.739
41660,23.822
41661,23.71
41662,23.604
41663,23.736
41664,23.809
41665,23.708
41666,23.696
41667,23.753
41668,23.584
41669,23.811
41670,23.809
41671,23.928
41672,23.992
41673,24.105
41674,23.983
41675,23.986
41676,23.8
41677,23.622
41678,23.73
41679,23.769
41680,23.626
41681,23.666
41682,23.671
41683,23.698
41684,23.757
41685,23.82
41686,23.992
41687,23.966
41688,23.79
41689,23.715
41690,23.903
41691,23.709
41692,23.666
41693,23.813
41694,23.754
41695,23.793
41696,23.763
41697,23.792
41698,23.761
41699,23.81
41700,23.773
41701,23.676
41702,23.674
41703,23.743
41704,23.505
41705,23.751
41706,23.79
41707,23.763
41708,23.639
41709,23.397
41710,23.391
41711,23.346
41712,23.376
41713,23.167
41714,23.374
41715,23.367
41716,23.241
41717,23.307
41718,23.261
41719,23.162
41720,23.435
41721,23.771
41722,23.691
41723,23.491
41724,23.372
41725,23.517
41726,23.715
41727,23.595
41728,23.578
41729,23.438
41730,23.713
41731,23.55
41732,23.714
41733,23.566
41734,23.517
41735,23.457
41736,23.552
41737,23.445
41738,23.528
41739,23.746
41740,23.767
41741,23.764
41742,23.773
41743,23.661
41744,23.587
41745,23.649
41746,23.745
41747,23.43
41748,23.506
41749,23.6
41750,23.646
41751,23.589
41752,23.529
41753,23.69
41754,23.708
41755,23.679
41756,24.001
41757,23.924
41758,23.649
41759,23.417
41760,23.856
41761,23.586
41762,23.3
41763,23.455
41764,23.516
41765,23.493
41766,23.669
41767,23.863
41768,23.887
41769,23.779
41770,23.813
41771,23.633
41772,23.865
41773,23.746
41774,23.473
41775,23.163
41776,23.247
41777,23.533
41778,23.594
41779,23.742
41780,23.719
41781,23.583
41782,23.689
41783,23.522
41784,23.715
41785,23.513
41786,23.358
41787,23.41
41788,23.517
41789,23.614
41790,23.635
41791,23.589
41792,23.76
41793,23.769
41794,23.611
41795,23.642
41796,23.546
41797,23.636
41798,23.786
41799,23.745
41800,23.513
41801,23.602
41802,23.624
41803,23.612
41804,23.803
41805,23.466
41806,23.566
41807,23.534
41808,23.633
41809,23.577
41810,23.559
41811,23.575
41812,23.459
41813,23.369
41814,23.818
41815,23.779
41816,23.821
41817,23.763
41818,23.757
41819,23.652
41820,23.605
41821,23.595
41822,23.652
41823,23.572
41824,23.555
41825,23.499
41826,23.552
41827,23.59
41828,23.658
41829,23.681
41830,23.715
41831,23.648
41832,23.663
41833,23.728
41834,23.796
41835,23.486
41836,23.51
41837,23.539
41838,23.482
41839,23.507
41840,23.668
41841,23.872
41842,23.882
41843,23.811
41844,23.816
41845,23.804
41846,23.704
41847,23.909
41848,23.933
41849,23.93
41850,23.893
41851,23.761
41852,23.854
41853,23.867
41854,23.922
41855,23.969
41856,23.783
41857,23.635
41858,23.515
41859,23.646
41860,23.71
41861,24.017
41862,23.9
41863,23.586
41864,23.753
41865,23.829
41866,23.586
41867,23.797
41868,23.719
41869,23.557
41870,23.438
41871,23.437
41872,23.411
41873,23.395
41874,23.474
41875,23.43
41876,23.491
41877,23.537
41878,23.58
41879,23.641
41880,23.622
41881,23.653
41882,23.612
41883,23.328
41884,23.4
41885,23.195
41886,23.199
41887,23.465
41888,23.91
41889,23.983
41890,23.976
41891,23.948
41892,24.068
41893,24.112
41894,24.089
41895,24.083
41896,24.232
41897,24.148
41898,24.15
41899,24.117
41900,24.089
41901,24.125
41902,24.126
41903,24.098
41904,23.988
41905,23.992
41906,24.091
41907,24.03
41908,24.101
41909,24.113
41910,24.028
41911,23.989
41912,23.842
41913,23.721
41914,23.802
41915,23.833
41916,23.834
41917,23.905
41918,24.015
41919,23.95
41920,23.774
41921,23.819
41922,23.943
41923,23.858
41924,23.945
41925,23.9
41926,23.887
41927,23.822
41928,23.855
41929,23.915
41930,23.884
41931,23.666
41932,23.475
41933,23.444
41934,23.254
41935,23.138
41936,22.95
41937,22.653
41938,22.989
41939,23.468
41940,23.71
41941,23.764
41942,23.877
41943,24.116
41944,24.058
41945,24.05
41946,23.814
41947,23.706
41948,23.619
41949,23.644
41950,23.656
41951,23.559
41952,23.786
41953,23.632
41954,23.487
41955,23.543
41956,23.266
41957,23.269
41958,23.396
41959,23.388
41960,23.251
41961,23.328
41962,23.517
41963,23.605
41964,23.539
41965,23.469
41966,23.391
41967,23.532
41968,23.711
41969,23.788
41970,23.834
41971,23.558
41972,23.529
41973,23.494
41974,23.637
41975,23.552
41976,23.647
41977,23.561
41978,23.404
41979,23.522
41980,23.736
41981,23.638
41982,23.458
41983,23.36
41984,23.441
41985,23.807
41986,23.509
41987,23.336
41988,23.287
41989,23.307
41990,23.26
41991,23.259
41992,23.167
41993,23.261
41994,23.235
41995,23.352
41996,23.362
41997,23.246
41998,23.237
41999,23.7
42000,23.513
42001,23.402
42002,23.369
42003,23.495
42004,23.355
42005,23.333
42006,23.44
42007,23.426
42008,23.372
42009,23.127
42010,23.363
42011,23.346
42012,23.23
42013,23.363
42014,23.55
42015,23.688
42016,23.582
42017,23.333
42018,23.436
42019,23.706
42020,23.471
42021,23.371
42022,23.467
42023,23.66
42024,23.833
42025,23.78
42026,23.564
42027,23.342
42028,23.289
42029,23.299
42030,23.315
42031,23.428
42032,23.248
42033,23.358
42034,23.404
42035,23.316
42036,23.69
42037,23.504
42038,23.249
42039,23.265
42040,23.443
42041,23.202
42042,23.301
42043,23.475
42044,23.276
42045,23.273
42046,23.351
42047,23.64
42048,23.555
42049,23.402
42050,23.198
42051,23.247
42052,23.343
42053,23.096
42054,22.976
42055,22.913
42056,23.574
42057,23.51
42058,23.599
42059,23.716
42060,23.656
42061,23.609
42062,23.327
42063,23.346
42064,23.572
42065,23.383
42066,23.226
42067,23.256
42068,23.454
42069,23.419
42070,23.746
42071,23.828
42072,23.537
42073,23.381
42074,23.397
42075,23.887
42076,23.784
42077,23.527
42078,23.445
42079,23.6
42080,23.656
42081,23.588
42082,23.557
42083,23.766
42084,23.744
42085,23.629
42086,23.715
42087,23.814
42088,23.499
42089,23.87
42090,24.113
42091,23.895
42092,23.602
42093,23.733
42094,23.638
42095,23.77
42096,23.526
42097,23.39
42098,23.854
42099,24.077
42100,24.058
42101,23.846
42102,23.764
42103,23.804
42104,23.783
42105,23.88
42106,23.56
42107,23.586
42108,23.936
42109,23.888
42110,23.823
42111,23.858
42112,23.806
42113,23.913
42114,23.905
42115,23.652
42116,23.09
42117,22.955
42118,23.106
42119,23.513
42120,23.878
42121,23.974
42122,23.97
42123,23.802
42124,23.853
42125,23.719
42126,23.599
42127,23.744
42128,23.724
42129,23.538
42130,23.197
42131,23.011
42132,23.123
42133,23.253
42134,23.259
42135,23.346
42136,23.369
42137,23.272
42138,23.067
42139,23.063
42140,23.08
