"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate11_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate11_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate11_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate11_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate11_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate12_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate12_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate12_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate12_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate12_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate13_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate13_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate13_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate13_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate13_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate14_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate14_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate14_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate14_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate14_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate15_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate15_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate15_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate15_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate15_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate16_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate16_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate16_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate16_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate16_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate17_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate17_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate17_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate17_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate17_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate18_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate18_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate18_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate18_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate18_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate19_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate19_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate19_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate19_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate19_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate20_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate20_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate20_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate20_seg76.opt",    0.041667
