$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
979.000000,2806.66
980.000000,2505.917
981.000000,2549.665
982.000000,2860.021
983.000000,2445.524
984.000000,2412.216
985.000000,3348.797
986.000000,3997.943
987.000000,3276.052
988.000000,3525.574
989.000000,3097.072
990.000000,2276.881
991.000000,2683.754
992.000000,3644.281
993.000000,2797.563
994.000000,3193.956
995.000000,3178.213
996.000000,2711.606
997.000000,2492.133
998.000000,2915.392
999.000000,2601.692
1000.000000,2969.396
1001.000000,2880.974
1002.000000,2926.13
1003.000000,2901.797
1004.000000,2918.918
1005.000000,2971.224
1006.000000,3521.982
1007.000000,3994.44
1008.000000,3195.88
1009.000000,3238.934
1010.000000,2408.218
1011.000000,2578.174
1012.000000,2349.12
1013.000000,2961.65
1014.000000,2930.704
1015.000000,2953.713
1016.000000,3476.038
1017.000000,3443.336
1018.000000,3358.577
1019.000000,3359.972
1020.000000,3103.847
1021.000000,3208.721
1022.000000,3727.601
1023.000000,3916.372
1024.000000,3197.483
1025.000000,2839.514
1026.000000,3594.099
1027.000000,3410.446
1028.000000,3714.664
1029.000000,3211.649
1030.000000,3223.892
1031.000000,2858.808
1032.000000,2552.479
1033.000000,3159.721
1034.000000,3009.473
1035.000000,2704.93
1036.000000,3000.776
1037.000000,2877.9
1038.000000,2636.11
1039.000000,2608.055
1040.000000,3677.667
1041.000000,3189.185
1042.000000,3662.052
1043.000000,3118.482
1044.000000,3397.356
1045.000000,3602.314
1046.000000,3599.498
1047.000000,3218.853
1048.000000,3088.201
1049.000000,3113.55
1050.000000,3192.612
1051.000000,3253.873
1052.000000,3091.948
1053.000000,2729.844
1054.000000,3023.405
1055.000000,2834.91
1056.000000,3197.792
1057.000000,3577.508
1058.000000,4103.231
1059.000000,3647.101
1060.000000,3347.004
1061.000000,3827.339
1062.000000,3537.771
1063.000000,3842.596
1064.000000,3559.112
1065.000000,3624.087
1066.000000,3277.414
1067.000000,2962.077
1068.000000,2909.116
1069.000000,4002.466
1070.000000,3871.151
1071.000000,3819.147
1072.000000,4424.196
1073.000000,4265.72
1074.000000,3882.876
1075.000000,4113.006
1076.000000,4120.966
1077.000000,4350.165
1078.000000,3513.968
1079.000000,3635.849
1080.000000,3524.266
1081.000000,3321.138
1082.000000,3372.064
1083.000000,3329.34
1084.000000,3505.804
1085.000000,3345.341
1086.000000,3456.156
1087.000000,3493.172
1088.000000,3175.622
1089.000000,3283.976
1090.000000,3368.33
1091.000000,3075.357
1092.000000,3167.392
1093.000000,2959.295
1094.000000,3423.328
1095.000000,3341.808
1096.000000,3390.813
1097.000000,3546.204
1098.000000,3183.282
1099.000000,2820.475
1100.000000,2334.546
1101.000000,2573.368
1102.000000,3322.588
1103.000000,4255.766
1104.000000,4561.535
1105.000000,4405.834
1106.000000,4307.829
1107.000000,4490.239
1108.000000,3092.828
1109.000000,4057.205
1110.000000,3081.791
1111.000000,3277.198
1112.000000,3435.561
1113.000000,3636.537
1114.000000,3415.802
1115.000000,3134.86
1116.000000,3180.349
1117.000000,4046.772
1118.000000,4211.801
1119.000000,4140.425
1120.000000,3725.159
1121.000000,4065.787
1122.000000,3842.107
1123.000000,4266.105
1124.000000,3603.03
1125.000000,3886.554
1126.000000,3187.551
1127.000000,3339.506
1128.000000,3482.241
1129.000000,3443.928
1130.000000,3179.63
1131.000000,3294.299
1132.000000,3314.316
1133.000000,3351.742
1134.000000,3806.873
1135.000000,3915.265
1136.000000,3742.734
1137.000000,3679.479
1138.000000,3722.03
1139.000000,3309.717
1140.000000,2877.036
1141.000000,2385.228
1142.000000,3178.343
1143.000000,4095.976
1144.000000,3355.601
1145.000000,3629.077
1146.000000,4147.906
1147.000000,3561.812
1148.000000,3450.766
1149.000000,3309.095
1150.000000,3893.77
1151.000000,3839.215
1152.000000,3741.554
1153.000000,3777.692
1154.000000,3441.793
1155.000000,3579.794
1156.000000,3374.095
1157.000000,3948.395
1158.000000,4146.657
1159.000000,4723.708
1160.000000,4904.234
1161.000000,4984.951
1162.000000,5554.629
1163.000000,6048.961
1164.000000,6857.333
1165.000000,6822.551
1166.000000,7306.254
1167.000000,7710.036
1168.000000,7993.063
1169.000000,7755.807
1170.000000,6799.826
1171.000000,6846.664
1172.000000,6650.271
1173.000000,6727.095
1174.000000,6779.625
1175.000000,6889.473
1176.000000,7451.355
1177.000000,6992.299
1178.000000,7130.41
1179.000000,6732.134
1180.000000,6287.727
1181.000000,5792.731
1182.000000,6568.869
1183.000000,5916.245
1184.000000,5811.355
1185.000000,6499.794
1186.000000,6637.863
1187.000000,7338.541
1188.000000,6710.84
1189.000000,6302.687
1190.000000,6488.023
1191.000000,6369.362
1192.000000,7044.689
1193.000000,6370.664
1194.000000,6459.802
1195.000000,6242.451
1196.000000,6476.813
1197.000000,7223.766
1198.000000,6858.734
1199.000000,6683.276
1200.000000,6750.844
1201.000000,6533.443
1202.000000,6263.923
1203.000000,7251.475
1204.000000,7026.698
1205.000000,6673.625
1206.000000,7485.547
1207.000000,7720.944
1208.000000,7420.579
1209.000000,7075.363
1210.000000,7908.265
1211.000000,7059.925
1212.000000,7519.913
1213.000000,7447.845
1214.000000,7822.532
1215.000000,7574.863
1216.000000,8036.317
1217.000000,7329.651
1218.000000,7795.885
1219.000000,7418.269
1220.000000,7663.277
1221.000000,8300.695
1222.000000,8536.368
1223.000000,9331.236
1224.000000,8677.553
1225.000000,8600.938
1226.000000,8091.36
1227.000000,7034.024
1228.000000,8130.469
1229.000000,8264.401
1230.000000,8234.881
1231.000000,7340.719
1232.000000,7435.68
1233.000000,7791.541
1234.000000,8957.294
1235.000000,9529.727
1236.000000,9722.197
1237.000000,10322.95
1238.000000,9740.685
1239.000000,9287.42
1240.000000,9714.653
1241.000000,10440.96
1242.000000,10381.38
1243.000000,10353.25
1244.000000,10763.88
1245.000000,10760.88
1246.000000,10440.39
1247.000000,10275.31
1248.000000,9424.11
1249.000000,9357.694
1250.000000,10190.97
1251.000000,9841.542
1252.000000,9989.682
1253.000000,9997.165
1254.000000,10163.74
1255.000000,9015.269
1256.000000,8436.97
1257.000000,8373.975
1258.000000,8674.087
1259.000000,7988.504
1260.000000,7236.173
1261.000000,6647.929
1262.000000,7227.848
1263.000000,6284.249
1264.000000,6128.211
1265.000000,6213.562
1266.000000,7559.869
1267.000000,7372.422
1268.000000,7006.104
1269.000000,7396.264
1270.000000,8408.192
1271.000000,7918.82
1272.000000,7879.748
1273.000000,7952.388
1274.000000,7499.764
1275.000000,7535.424
1276.000000,7402.846
1277.000000,7922.51
1278.000000,9201.118
1279.000000,8555.213
1280.000000,8186.05
1281.000000,7610.696
1282.000000,7609.114
1283.000000,7661.688
1284.000000,6448.651
1285.000000,7338.396
1286.000000,7034.313
1287.000000,6584.812
1288.000000,6548.975
1289.000000,6316.031
1290.000000,7311.496
1291.000000,5698.825
1292.000000,5995.714
1293.000000,5588.277
1294.000000,5836.466
1295.000000,5616.437
1296.000000,5904.481
1297.000000,5447.063
1298.000000,5511.215
1299.000000,5838.831
1300.000000,5453.031
1301.000000,5292.999
1302.000000,5534.996
1303.000000,6573.302
1304.000000,5845.85
1305.000000,5671.069
1306.000000,6083.162
1307.000000,5256.096
1308.000000,5410.506
1309.000000,5400.792
1310.000000,4726.859
1311.000000,4461.821
1312.000000,4157.252
1313.000000,4765.479
1314.000000,4158.452
1315.000000,4358.317
1316.000000,4461.037
1317.000000,4583.661
1318.000000,4667.127
1319.000000,4447.4
1320.000000,4799.333
1321.000000,4341.126
1322.000000,4617.024
1323.000000,4669.423
1324.000000,4051.086
1325.000000,3950.882
1326.000000,3650.296
1327.000000,3766.065
1328.000000,3996.571
