$ LOWER GRANITE-POOLELEV.npt based on $//LOWER GRANITE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41513,225.22
41514,225.223
41515,225.244
41516,225.183
41517,225.15
41518,225.159
41519,225.162
41520,225.229
41521,225.165
41522,225.156
41523,225.281
41524,225.512
41525,225.387
41526,225.421
41527,225.464
41528,225.482
41529,225.43
41530,225.458
41531,225.272
41532,225.448
41533,225.515
41534,225.29
41535,225.323
41536,225.369
41537,225.287
41538,225.317
41539,225.375
41540,225.366
41541,225.403
41542,225.369
41543,225.342
41544,225.464
41545,225.634
41546,225.708
41547,225.72
41548,225.735
41549,225.665
41550,225.485
41551,225.583
41552,225.57
41553,225.589
41554,225.488
41555,225.525
41556,225.61
41557,225.595
41558,225.662
41559,225.714
41560,225.756
41561,225.653
41562,225.607
41563,225.515
41564,225.519
41565,225.357
41566,225.049
41567,224.903
41568,224.961
41569,224.632
41570,224.561
41571,224.54
41572,224.561
41573,224.821
41574,225.171
41575,225.302
41576,225.467
41577,225.701
41578,225.674
41579,225.647
41580,225.637
41581,225.567
41582,225.546
41583,225.719
41584,225.752
41585,225.563
41586,225.485
41587,225.494
41588,225.69
41589,225.704
41590,225.699
41591,225.655
41592,225.629
41593,225.503
41594,225.395
41595,225.466
41596,225.388
41597,225.472
41598,225.601
41599,225.54
41600,225.47
41601,225.455
41602,225.478
41603,225.514
41604,225.451
41605,225.337
41606,225.403
41607,225.549
41608,225.555
41609,225.526
41610,225.481
41611,225.654
41612,225.749
41613,225.803
41614,225.767
41615,225.511
41616,225.369
41617,225.451
41618,225.402
41619,225.344
41620,225.453
41621,225.501
41622,225.658
41623,225.7
41624,225.652
41625,225.676
41626,225.662
41627,225.565
41628,225.573
41629,225.608
41630,225.534
41631,225.548
41632,225.619
41633,225.684
41634,225.727
41635,225.7
41636,225.663
41637,225.612
41638,225.706
41639,225.716
41640,225.661
41641,225.589
41642,225.664
41643,225.715
41644,225.702
41645,225.611
41646,225.595
41647,225.568
41648,225.491
41649,225.447
41650,225.369
41651,225.463
41652,225.627
41653,225.666
41654,225.627
41655,225.634
41656,225.702
41657,225.643
41658,225.617
41659,225.543
41660,225.508
41661,225.524
41662,225.437
41663,225.553
41664,225.555
41665,225.514
41666,225.504
41667,225.585
41668,225.519
41669,225.51
41670,225.571
41671,225.711
41672,225.725
41673,225.705
41674,225.74
41675,225.688
41676,225.596
41677,225.653
41678,225.454
41679,225.507
41680,225.617
41681,225.549
41682,225.566
41683,225.561
41684,225.529
41685,225.548
41686,225.488
41687,225.491
41688,225.491
41689,225.532
41690,225.519
41691,225.618
41692,225.689
41693,225.669
41694,225.636
41695,225.655
41696,225.588
41697,225.67
41698,225.686
41699,225.788
41700,225.717
41701,225.62
41702,225.499
41703,225.515
41704,225.229
41705,225.22
41706,225.123
41707,225.143
41708,225.038
41709,225.113
41710,225.064
41711,224.607
41712,224.628
41713,225.165
41714,225.351
41715,225.256
41716,225.122
41717,225.287
41718,225.171
41719,225.223
41720,225.531
41721,225.153
41722,225.427
41723,225.567
41724,225.732
41725,225.604
41726,225.464
41727,225.29
41728,225.205
41729,225.308
41730,225.15
41731,224.942
41732,224.933
41733,225.028
41734,225.067
41735,225.11
41736,225.052
41737,225.055
41738,225.074
41739,225.009
41740,225.08
41741,225.013
41742,224.885
41743,224.942
41744,224.915
41745,224.939
41746,224.906
41747,225.058
41748,225.055
41749,225.095
