$ SNAKE+ASOTIN CKFLOW.npt based on $//SNAKE+ASOTIN CK/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
665.000000,433.463
666.000000,430.458
667.000000,430.416
668.000000,433.026
669.000000,455.645
670.000000,511.382
671.000000,557.204
672.000000,555.327
673.000000,532.813
674.000000,512.971
675.000000,494.679
676.000000,478.961
677.000000,468.96
678.000000,461.794
679.000000,460.089
680.000000,456.26
681.000000,447.673
682.000000,443.298
683.000000,439.138
684.000000,432.191
685.000000,423.732
686.000000,423.056
687.000000,430.122
688.000000,430.595
689.000000,430.236
690.000000,438.428
691.000000,448.428
692.000000,468.807
693.000000,512.122
694.000000,532.529
695.000000,511.71
696.000000,491.754
697.000000,481.613
698.000000,471.922
699.000000,457.843
700.000000,445.05
701.000000,444.237
702.000000,476.441
703.000000,549.32
704.000000,697.483
705.000000,798.445
706.000000,766.17
707.000000,814.175
708.000000,915.558
709.000000,907.659
710.000000,843.635
711.000000,772.612
712.000000,735.35
713.000000,749.352
714.000000,735.201
715.000000,705.253
716.000000,657.511
717.000000,608.919
718.000000,604.511
719.000000,610.191
720.000000,626.954
721.000000,642.768
722.000000,635.768
723.000000,623.04
724.000000,639.66
725.000000,607.736
726.000000,555.14
727.000000,553.721
728.000000,599.954
729.000000,628.89
730.000000,618.559
731.000000,638.459
732.000000,609.098
733.000000,599.9
734.000000,607.649
735.000000,579.327
736.000000,563.701
737.000000,531.815
738.000000,493.41
739.000000,530.965
740.000000,579.02
741.000000,559.629
742.000000,543.847
743.000000,534.055
744.000000,538.96
745.000000,528.928
746.000000,508.278
747.000000,504.417
748.000000,498.306
749.000000,507.893
750.000000,515.308
751.000000,489.719
752.000000,461.843
753.000000,470.822
754.000000,483.936
755.000000,479.012
756.000000,492.764
757.000000,503.209
758.000000,479.144
759.000000,478.132
760.000000,504.286
761.000000,542.576
762.000000,541.535
763.000000,512.915
764.000000,539.263
765.000000,592.401
766.000000,601.875
767.000000,607.112
768.000000,643.824
769.000000,634.453
770.000000,614.389
771.000000,670.422
772.000000,676.825
773.000000,652.69
774.000000,706.335
775.000000,703.403
776.000000,635.784
777.000000,625.643
778.000000,676.374
779.000000,675.639
780.000000,621.603
781.000000,624.059
782.000000,614.801
783.000000,611.154
784.000000,632.952
785.000000,617.389
786.000000,593.534
787.000000,559.693
788.000000,590.282
789.000000,630.093
790.000000,607.57
791.000000,564.131
792.000000,542.1
793.000000,560.303
794.000000,597.939
795.000000,649.419
796.000000,665.456
797.000000,634.355
798.000000,627.036
799.000000,627.381
800.000000,592.094
801.000000,558.311
802.000000,539.578
803.000000,555.723
804.000000,600.797
805.000000,666.144
806.000000,710.279
807.000000,733.754
808.000000,764.786
809.000000,780.018
810.000000,737.323
811.000000,695.681
812.000000,734.246
813.000000,765.245
814.000000,748.698
815.000000,742.115
816.000000,715.469
817.000000,672.538
818.000000,644.227
819.000000,682.017
820.000000,725.457
821.000000,751.35
822.000000,804.653
823.000000,847.378
824.000000,861.822
825.000000,865.526
826.000000,927.567
827.000000,1017.557
828.000000,1093.196
829.000000,1156.402
830.000000,1196.386
831.000000,1147.57
832.000000,1053.637
833.000000,1016.818
834.000000,993.514
835.000000,975.774
836.000000,961.645
837.000000,931.965
838.000000,881.221
839.000000,833.307
840.000000,836.367
841.000000,826.811
842.000000,798.501
843.000000,818.067
844.000000,839.28
845.000000,809.861
846.000000,780.221
847.000000,786.24
848.000000,792.642
849.000000,801.887
850.000000,819.98
851.000000,905.549
852.000000,980.877
853.000000,997.63
854.000000,989.6
855.000000,931.384
856.000000,892.1
857.000000,896.702
858.000000,942.45
859.000000,1036.018
860.000000,1168.965
861.000000,1331.629
862.000000,1521.091
863.000000,1694.938
864.000000,1824.77
865.000000,1953.792
866.000000,2127.135
867.000000,2207.561
868.000000,2085.162
869.000000,1892.645
870.000000,1760.937
871.000000,1655.165
872.000000,1535.912
873.000000,1434.974
874.000000,1386.023
875.000000,1384.28
876.000000,1353.294
877.000000,1274.018
878.000000,1220.481
879.000000,1175.999
880.000000,1159.218
881.000000,1171.323
882.000000,1244.269
883.000000,1302.692
884.000000,1297.416
885.000000,1222.697
886.000000,1169.733
887.000000,1180.481
888.000000,1200.279
889.000000,1185.427
890.000000,1210.781
891.000000,1248.945
892.000000,1248.421
893.000000,1249.124
894.000000,1238.903
895.000000,1186.235
896.000000,1108.652
897.000000,1046.972
898.000000,995.902
899.000000,948.492
900.000000,915.281
901.000000,895.855
902.000000,890.716
903.000000,916.06
904.000000,935.592
905.000000,898.05
906.000000,847.225
907.000000,820.909
908.000000,830.6
909.000000,874.82
910.000000,924.295
911.000000,922.859
912.000000,971.539
913.000000,985.888
914.000000,944.321
915.000000,949.267
916.000000,890.096
917.000000,780.559
918.000000,706.068
919.000000,688.647
920.000000,695.032
921.000000,705.342
922.000000,709.013
923.000000,682.064
924.000000,651.397
925.000000,583.705
926.000000,559.907
927.000000,546.355
928.000000,524.376
929.000000,572.477
930.000000,566.926
931.000000,545.094
932.000000,554.78
933.000000,555.167
934.000000,535.703
935.000000,488.553
936.000000,462.741
937.000000,474.101
938.000000,457.096
939.000000,460.026
940.000000,470.841
941.000000,434.728
942.000000,416.328
943.000000,424.233
944.000000,438.145
945.000000,448.599
946.000000,442.325
947.000000,424.196
948.000000,422.677
949.000000,414.861
950.000000,406.859
951.000000,412.625
952.000000,406.146
953.000000,397.607
954.000000,388.954
955.000000,384.769
956.000000,369.936
957.000000,366.883
958.000000,372.908
959.000000,383.369
960.000000,386.357
961.000000,377.686
962.000000,351.56
963.000000,330.775
964.000000,319.572
965.000000,314.154
966.000000,313.381
967.000000,316.133
968.000000,318.008
969.000000,312.592
970.000000,318.246
971.000000,322.399
972.000000,328.029
973.000000,336.18
974.000000,343.728
975.000000,346.679
976.000000,349.513
977.000000,349.841
978.000000,344.573
979.000000,333.669
980.000000,330.796
981.000000,341.779
982.000000,364.39
983.000000,392.313
984.000000,410.927
985.000000,416.573
986.000000,413.279
987.000000,417.506
988.000000,421.662
989.000000,424.708
990.000000,426.054
991.000000,418.444
992.000000,418.292
993.000000,421.136
994.000000,412.052
995.000000,418.58
996.000000,423.363
997.000000,420.643
998.000000,417.813
999.000000,418.875
1000.000000,427.071
1001.000000,438.379
1002.000000,451.049
1003.000000,461.279
1004.000000,472.299
1005.000000,503.899
1006.000000,630.461
1007.000000,768.751
1008.000000,767.409
1009.000000,717.284
1010.000000,682.481
1011.000000,672.712
1012.000000,663.86
1013.000000,654.123
1014.000000,686.53
1015.000000,666.735
1016.000000,624.388
1017.000000,617.467
1018.000000,586.468
1019.000000,547.163
1020.000000,495.418
1021.000000,462.021
1022.000000,454.801
1023.000000,447.656
1024.000000,443.298
1025.000000,440.45
1026.000000,438.931
1027.000000,437.601
1028.000000,436.1
1029.000000,434.771
1030.000000,430.654
1031.000000,427.627
1032.000000,426.281
1033.000000,424.774
1034.000000,424.753
1035.000000,423.451
1036.000000,421.943
1037.000000,420.621
1038.000000,420.411
1039.000000,423.198
1040.000000,426.032
1041.000000,426.26
1042.000000,419.565
1043.000000,413.517
1044.000000,422.491
1045.000000,442.212
1046.000000,454.249
1047.000000,451.927
1048.000000,443.512
1049.000000,437.658
1050.000000,434.791
1051.000000,434.576
1052.000000,436.059
1053.000000,434.771
1054.000000,431.961
1055.000000,429.131
1056.000000,431.518
1057.000000,442.55
1058.000000,442.262
1059.000000,424.196
1060.000000,408.385
1061.000000,402.197
1062.000000,402.099
1063.000000,405.963
1064.000000,414.395
1065.000000,421.613
1066.000000,423.408
1067.000000,424.544
1068.000000,480.929
1069.000000,564.641
1070.000000,568.244
1071.000000,516.46
1072.000000,475.064
1073.000000,448.573
1074.000000,428.023
1075.000000,502.972
1076.000000,527.495
1077.000000,469.942
1078.000000,484.065
1079.000000,462.869
1080.000000,440.512
1081.000000,440.412
1082.000000,444.173
1083.000000,471.185
1084.000000,519.274
1085.000000,507.005
1086.000000,448.716
1087.000000,441.14
1088.000000,452.917
1089.000000,450.434
1090.000000,447.443
1091.000000,452.665
1092.000000,456.024
1093.000000,451.786
1094.000000,441.039
1095.000000,429.247
1096.000000,427.606
1097.000000,430.191
1098.000000,434.511
1099.000000,438.674
1100.000000,440.393
1101.000000,437.621
1102.000000,433.482
1103.000000,429.151
1104.000000,428.91
1105.000000,433.004
1106.000000,426.889
1107.000000,421.615
1108.000000,435.302
1109.000000,461.478
1110.000000,485.15
