$ QGT_LWG_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LWG_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER GRANITE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41932, 41941, 41958, 42194, 42296 that are  3, 4, 2, 3, 21 days long
"JDAY","POW","SPB1.RSW","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
217.000000,169.672,232.397,62.452,300.933,62.52,302.909,60.659,119.399,61.593,17.387
218.000000,155.343,213.34,57.3,275.794,57.379,260.804,55.738,131.367,57.326,15.918
219.000000,141.071,193.918,52.107,250.88,52.153,244.837,50.652,90.154,51.88,10.458
220.000000,136.713,187.991,50.586,242.36,50.496,237.486,49.018,91.895,51.062,12.072
221.000000,284,180.668,45.973,207.888,48.625,141.92,47.171,116.315,48.014,9.63
222.000000,448.152,183.083,39.451,208.029,31.392,98.949,47.776,57.291,47.725,9.531
223.000000,554.575,226.779,0,230.448,0,17.797,59.177,60.914,41.869,17.053
224.000000,490.253,201.217,31.585,219.28,13.322,28.582,52.016,54.685,36.531,13.887
225.000000,456.003,186.76,20.8,205.745,27.61,29.809,45.736,49.349,48.531,14.358
226.000000,501.865,205.182,0,213.116,0,1.477,54.924,56.683,23.646,12.819
227.000000,232.722,201.628,34.379,242.895,38.552,148.389,53.829,55.98,45.356,10.862
228.000000,147.764,202.672,46.513,255.84,52.156,177.861,54.07,56.07,51.394,10.954
229.000000,207.236,177.189,30.233,211.726,33.876,160.511,44.662,74.469,43.862,14.96
230.000000,514.678,211.37,0,214.774,0,0,43.684,50.945,46.052,10.885
231.000000,364.983,199.293,14.633,219.713,16.597,64.501,46.593,47.057,44.192,10.741
232.000000,437.13,201.896,0,208.124,0,0,41.541,41.451,48.443,12.975
233.000000,469.763,179.793,0,186.515,0,0,36.989,36.802,42.761,9.707
234.000000,471.612,194.081,0,201.621,0,0,40.041,39.836,46.28,8.349
235.000000,535.906,181.634,0,189.008,0,0,37.504,37.158,43.773,13.407
236.000000,537.77,191.488,0,199.901,0,0,39.5,38.973,44.584,10.672
237.000000,557.303,187.818,0,195.929,0,0,38.775,38.17,44.415,10.481
238.000000,525.93,196.27,0,205.183,0,0,40.496,44.824,46.426,16.795
239.000000,512.265,207.928,0,216.578,0,0,42.857,47.584,48.521,17.524
240.000000,446.572,221.678,0,231.272,0,0,45.624,50.478,47.776,9.957
241.000000,435.41,186.371,0,193.899,0,0,38.447,42.59,40.087,14.004
242.000000,490.622,188.045,0,197.733,0,0,38.681,43.657,39.022,9.676
243.000000,496.145,185.691,0,192.276,0,2.415,38.093,42.733,39.551,13.725
244.000000,998.958,0.729,0,0.303,0,0,0.075,0.083,0.069,14.085
245.000000,1050.158,0,0,0,0,0,0,0,0,11.226
246.000000,1004.593,0,0,0,0,2.33,0,0,0,10.362
247.000000,955.329,0,0,0,0,0,0,0,0,15.319
248.000000,1049.36,0,0,0,0,0,0,0,0,11.875
249.000000,995.522,0,0,0,0,0,0,0,0,10.915
250.000000,1044.269,0,0,0,0,0,0,0,0,14.754
251.000000,1004.274,0,0,0,0,0,0,0,0,12.769
252.000000,1102.837,0,0,0,0,0,0,0,0,9.138
253.000000,1209.445,0,0,0,0,0,0,0,0,10.896
254.000000,1184.145,0,0,0,0,0,0,0,0,13.615
255.000000,1202.236,0,0,0,0,0,0,0,0,12.762
256.000000,1159.719,0,0,0,0,0,0,0,0,11.232
257.000000,1098.294,0,0,0,0,0,0,0,0,15.911
258.000000,1134.106,0,0,0,0,0,0,0,0,9.736
259.000000,1110.429,0,0,0,0,0,0,0,0,9.204
260.000000,1048.461,0,0,0,0,0,0,0,0,10.062
261.000000,1066.937,0,0,0,0,0,0,0,0,10.997
262.000000,1065.982,0,0,0,0,0,0,0,0,14.318
263.000000,1101.747,0,0,0,0,0,0,0,0,20.407
264.000000,1024.604,0,0,0,0,0,0,0,0,15.081
265.000000,1007.22,0,0,0,0,0,0,0,0,9.697
266.000000,933.718,0,0,0,0,0,0,0,0,9.865
267.000000,962.799,0,0,0,0,0,0,0,0,14.541
268.000000,897.39,0,0,0,0,0,0,0,0,15.197
269.000000,880.623,0,0,0,0,0,0,0,0,12.222
270.000000,879.782,0,0,0,0,0,0,0,0,8.853
271.000000,951.973,0,0,0,0,0,0,0,0,8.828
272.000000,911.477,0,0,0,0,0,0,0,0,7.702
273.000000,850.961,0,0,0,0,0,0,0,0,12.305
274.000000,869.623,0,0,0,0,0,0,0,0,18.798
275.000000,938.307,0,0,0,0,0,0,0,0,15.933
276.000000,845.171,0,0,0,0,0,0,0,0,10.611
277.000000,932.286,0,0,0,0,0,0,0,0,13.62
278.000000,869.326,0,0,0,0,0,0,0,0,16.511
279.000000,858.856,0,0,0,0,0,0,0,0,7.862
280.000000,855.653,0,0,0,0,0,0,0,0,14.245
281.000000,883.347,0,0,0,0,0,0,0,0,12.215
282.000000,968.985,0,0,0,0,0,0,0,0,8.387
283.000000,939.62,0,0,0,0,0,0,0,0,11.247
284.000000,809.565,0,0,0,0,0,0,0,0,11.602
285.000000,788.468,0,0,0,0,0,0,0,0,13.149
286.000000,778.111,0,0,0,0,0,0,0,0,11.477
287.000000,724.256,0,0,0,0,0,0,0,0,15.652
288.000000,738.772,0,0,0,0,0,0,0,0,7.96
289.000000,731.834,0,0,0,0,0,0,0,0,9.909
290.000000,740.521,0,0,0,0,0,0,0,0,8.928
291.000000,774.522,0,0,0,0,0,0,0,0,13.687
292.000000,854.921,0,0,0,0,0,0,0,0,18.762
293.000000,758.77,7.876,0,0,0,0,0,0,0,12.157
294.000000,664.783,0,0,0,0,0,0,0,0,9.301
295.000000,706.769,0,0,0,0,0,0,0,0,12.233
296.000000,760.149,0,0,0,0,0,0,0,0,10.211
297.000000,732.606,0,0,0,0,0,0,0,0,10.247
298.000000,691.137,0,0,0,0,0,0,0,0,10.242
299.000000,688.41,0,0,0,0,0,0,0,0,12.647
300.000000,769.292,0,0,0,0,0,0,0,0,8.908
301.000000,748.478,0,0,0,0,0,0,0,0,15.326
302.000000,728.74,0,0,0,0,0,0,0,0,10.726
303.000000,657.333,0,0,0,0,0,0,0,0,8.172
304.000000,636.544,0,0,0,0,0,0,0,0,9.685
305.000000,705.626,0,0,0,0,0,0,0,0,13.056
306.000000,695.894,0,0,0,0,0,0,0,0,9.475
307.000000,729.991,0,0,0,0,0,0,0,0,11.459
308.000000,692.57,0,0,0,0,0,0,0,0,11.02
309.000000,680.485,0,0,0,0,0,0,0,0,7.606
310.000000,658.242,0,0,0,0,0,0,0,0,7.892
311.000000,687.302,0,0,0,0,0,0,0,0,12.282
312.000000,747.023,0,0,0,0,0,0,0,0,8.329
313.000000,595.716,0,0,0,0,0,0,0,0,8.679
314.000000,656.181,0,0,0,0,0,0,0,0,10.944
315.000000,748.745,0,0,0,0,0,0,0,0,8.92
316.000000,676.416,0,0,0,0,0,0,0,0,13.738
317.000000,665.222,0,0,0,0,0,0,0,0,12.028
