$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31
"JDAY","ELEV"
"41731.00",291.846
"41732.00",291.998
"41733.00",292.151
"41734.00",292.12
"41735.00",291.816
"41736.00",291.816
"41737.00",291.998
"41738.00",291.816
"41739.00",291.937
"41740.00",292.029
"41741.00",291.937
"41742.00",292.059
"41743.00",292.12
"41744.00",292.395
"41745.00",292.029
"41746.00",292.059
"41747.00",292.09
"41748.00",292.029
"41749.00",292.12
"41750.00",291.785
"41751.00",292.181
"41752.00",292.242
"41753.00",292.273
"41754.00",291.998
"41755.00",292.12
"41756.00",292.212
"41757.00",291.998
"41758.00",291.937
"41759.00",291.846
"41760.00",292.059
"41761.00",291.937
"41762.00",291.846
"41763.00",291.816
"41764.00",291.572
"41765.00",291.724
"41766.00",291.968
"41767.00",292.059
"41768.00",291.907
"41769.00",291.694
"41770.00",291.877
"41771.00",291.907
"41772.00",291.663
"41773.00",291.663
"41774.00",291.541
"41775.00",291.816
"41776.00",291.816
"41777.00",292.242
"41778.00",292.242
"41779.00",291.937
"41780.00",291.785
"41781.00",291.663
"41782.00",291.907
"41783.00",292.12
"41784.00",292.12
"41785.00",291.907
"41786.00",291.694
"41787.00",291.785
"41788.00",291.937
"41789.00",291.877
"41790.00",291.663
"41791.00",291.724
"41792.00",292.029
"41793.00",291.785
"41794.00",291.937
"41795.00",291.937
"41796.00",291.816
"41797.00",291.724
"41798.00",291.877
"41799.00",291.907
"41800.00",291.998
"41801.00",292.151
"41802.00",291.937
"41803.00",291.846
"41804.00",291.785
"41805.00",291.724
"41806.00",291.846
"41807.00",291.877
"41808.00",291.968
"41809.00",291.907
"41810.00",291.937
"41811.00",291.846
"41812.00",292.212
"41813.00",291.998
"41814.00",291.907
"41815.00",291.48
"41816.00",291.846
"41817.00",291.755
"41818.00",291.694
"41819.00",291.877
"41820.00",292.242
"41821.00",292.181
"41822.00",292.059
"41823.00",291.907
"41824.00",291.846
"41825.00",292.059
"41826.00",291.846
"41827.00",291.694
"41828.00",291.785
"41829.00",291.755
"41830.00",291.846
"41831.00",291.785
"41832.00",292.12
"41833.00",292.181
"41834.00",291.998
"41835.00",292.12
"41836.00",291.937
"41837.00",291.694
