$ QGT_CHJ_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_CHJ_2011_2015_daily_ave.csv ; all outlets scaled to total flow from CHIEF JOSEPH_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41604 that are  2 days long
"JDAY","POW","SPB","MISC"
882.000000,4867.583,0,0
883.000000,4520.628,0,0
884.000000,3457.414,0,0
885.000000,4417.051,0,0
886.000000,4306.056,0,0
887.000000,4781,0,0
888.000000,4354.228,0,0
889.000000,4283.257,0,0
890.000000,4037.994,0,0
891.000000,3732.71,0,0
892.000000,3464.017,0,0
893.000000,3781.046,0,0
894.000000,3749.936,0,0
895.000000,4454.208,0,0
896.000000,4429.058,0,0
897.000000,4122.104,0,0
898.000000,4136.63,0,0
899.000000,3828.078,0,0
900.000000,4310.985,0,0
901.000000,4024.063,0,0
902.000000,4072.138,0,0
903.000000,4419.216,0,0
904.000000,5081.983,246.756,0
