$ GRAND COULEE_OUTFLOW.npt based on $//GRAND COULEE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
546.000000,8014.251
547.000000,7928.961
548.000000,7806.173
549.000000,7927.476
550.000000,8260.064
551.000000,7535.096
552.000000,7681.098
553.000000,7510.047
554.000000,7101.597
555.000000,7182.271
556.000000,6983.136
557.000000,6860.971
558.000000,7058.233
559.000000,7071.07
560.000000,7111.39
561.000000,7368.835
562.000000,7884.471
563.000000,7544.509
564.000000,7170.287
565.000000,7228.201
566.000000,6859.603
567.000000,6732.54
568.000000,7113.274
569.000000,7365.617
570.000000,7311.592
571.000000,7197.793
572.000000,7304.134
573.000000,6852.605
574.000000,6759.625
575.000000,6449.675
576.000000,6296.079
577.000000,5900.863
578.000000,5684.431
579.000000,5787.014
580.000000,5427.49
581.000000,5270.095
582.000000,5066.388
583.000000,4787.223
584.000000,4641.688
585.000000,4773.296
586.000000,4945.309
587.000000,4845.423
588.000000,4922.863
589.000000,5147.568
590.000000,5094.137
591.000000,4724.666
592.000000,4976.813
593.000000,4374.807
594.000000,4262.265
595.000000,3951.383
596.000000,4070.033
597.000000,4220.414
598.000000,4137.036
599.000000,4335.491
600.000000,4093.156
601.000000,3989.132
602.000000,4286.318
603.000000,4084.275
604.000000,3771.866
605.000000,3441.434
606.000000,3586.533
607.000000,2929.438
608.000000,3409.252
609.000000,3574.189
610.000000,4060.598
611.000000,3877.923
612.000000,2387.181
613.000000,2113.244
614.000000,3633.588
615.000000,1872.057
616.000000,2690.283
617.000000,2311.887
618.000000,2758.195
619.000000,2391.816
620.000000,2193.809
621.000000,1889.628
622.000000,2449.434
623.000000,2609.431
624.000000,2554.42
625.000000,2763.764
626.000000,2071.662
627.000000,2105.501
628.000000,2193.52
629.000000,2594.591
630.000000,2239.596
631.000000,2523.023
632.000000,2449.18
633.000000,2009.385
634.000000,1892.786
635.000000,2127.185
636.000000,2111.44
637.000000,2132.308
638.000000,2344.599
639.000000,1988.732
640.000000,1115.69
641.000000,1543.471
642.000000,2168.016
643.000000,2270.393
644.000000,2107.83
645.000000,2234.739
646.000000,2104.804
647.000000,2004.236
648.000000,1752.272
649.000000,2038.886
650.000000,1996.795
651.000000,2061.389
652.000000,2074.114
653.000000,1960.082
654.000000,1609.225
655.000000,1656.229
656.000000,1615.094
657.000000,1497.225
658.000000,1508.942
659.000000,1870.479
660.000000,1944.089
661.000000,1641.661
662.000000,1452.338
663.000000,2137.093
664.000000,2812.223
665.000000,2699.877
666.000000,2662.311
667.000000,2658.868
668.000000,1767.953
669.000000,1651.781
670.000000,1833.336
671.000000,2183.576
672.000000,2341.146
673.000000,2258.428
674.000000,2292.645
675.000000,1977.313
676.000000,1591.882
677.000000,1985.826
678.000000,2319.556
679.000000,2155.816
680.000000,2114.212
681.000000,2547.432
682.000000,2831.848
683.000000,2526.171
684.000000,2384.629
685.000000,2443.145
686.000000,2629.108
687.000000,2838.603
688.000000,2931.536
689.000000,2944.085
690.000000,2911.312
691.000000,2514.03
692.000000,2196.357
693.000000,1845.289
694.000000,2021.268
695.000000,2026.909
696.000000,2207.352
697.000000,2732.222
698.000000,2372.461
699.000000,2508.557
700.000000,3057.577
701.000000,3481.876
702.000000,3096.685
703.000000,3482.213
704.000000,3171.554
705.000000,2985.775
706.000000,2676.088
707.000000,3174.141
708.000000,3713.675
709.000000,3536.007
710.000000,3647.289
711.000000,3601.667
712.000000,3617.775
713.000000,3818.232
714.000000,3877.165
715.000000,4181.873
716.000000,3994.938
717.000000,4178.91
718.000000,4110.887
719.000000,4052.379
720.000000,3913.326
721.000000,3661.041
722.000000,3605.135
723.000000,3739.454
724.000000,3078.894
725.000000,2928.494
726.000000,2986.568
727.000000,2816.338
728.000000,3275.814
729.000000,3439.149
730.000000,3948.53
731.000000,4188.122
732.000000,3925.267
733.000000,3893.721
734.000000,3708.694
735.000000,3566.865
736.000000,4282.941
737.000000,4324.557
738.000000,4478.337
739.000000,4344.391
740.000000,4088.223
741.000000,3474.213
742.000000,3416.235
743.000000,3802.964
744.000000,3912.386
745.000000,3641.444
746.000000,3786.875
747.000000,4048.157
748.000000,4087.979
749.000000,4198.513
750.000000,4203.376
751.000000,4157.517
752.000000,3888.574
753.000000,3879.094
754.000000,4275.581
755.000000,4373.314
756.000000,4104.986
757.000000,4105.995
758.000000,3692.122
759.000000,3198.545
760.000000,2632.641
761.000000,2853.642
762.000000,3371.443
763.000000,2907.19
764.000000,2627.808
765.000000,2601.875
766.000000,2345.113
767.000000,1947.449
768.000000,2003.256
769.000000,2623.593
770.000000,2996.464
771.000000,3039.346
772.000000,3082.068
773.000000,2334.561
774.000000,2168.76
775.000000,2467.861
776.000000,2545.542
777.000000,2493.311
778.000000,3022.208
779.000000,2854.127
780.000000,2363.824
781.000000,2482.493
782.000000,2736.37
783.000000,3202.037
784.000000,3123.587
785.000000,2924.367
786.000000,2577.088
787.000000,2093.373
788.000000,1656.722
789.000000,1982.482
790.000000,2605.289
791.000000,2782.282
792.000000,2371.865
793.000000,1511.498
794.000000,1158.991
795.000000,1212.566
796.000000,1705.763
797.000000,2390.819
798.000000,2370.09
799.000000,2186.221
800.000000,2541.685
801.000000,2059.915
802.000000,1301.957
803.000000,1864.738
804.000000,2245.949
805.000000,2164.72
806.000000,2378.97
807.000000,2125.711
808.000000,1894.353
809.000000,1659.027
810.000000,1795.08
811.000000,2206.191
812.000000,2038.519
813.000000,1797.292
814.000000,1798.523
815.000000,1884.631
816.000000,1640.356
817.000000,1737.456
818.000000,2406.273
819.000000,2903.917
820.000000,3084.254
821.000000,2907.27
822.000000,2277.598
823.000000,1884.946
824.000000,1881.14
825.000000,2894.318
826.000000,3555.222
827.000000,3814.198
828.000000,3781.884
829.000000,3609.011
830.000000,3143.032
831.000000,3159.857
832.000000,4270.907
833.000000,4592.792
834.000000,4669.983
835.000000,4893.557
836.000000,4675.765
837.000000,4613.836
838.000000,4787.172
839.000000,5039.105
840.000000,4567.618
841.000000,4561.866
842.000000,4378.388
843.000000,3749.407
844.000000,3578.584
845.000000,4283.348
846.000000,4438.864
847.000000,4364.843
848.000000,4120.755
849.000000,4167.871
850.000000,3749.627
851.000000,3195.114
852.000000,3697.489
853.000000,3963.84
854.000000,4191.977
855.000000,4004.636
856.000000,3931.904
857.000000,3699.287
858.000000,3232.062
859.000000,4160.547
860.000000,4430.487
861.000000,4669.04
862.000000,4891.161
863.000000,5355.399
864.000000,4891.862
865.000000,4134.256
866.000000,4227.392
867.000000,4108.934
868.000000,4036.923
869.000000,4330.787
870.000000,4532.154
871.000000,4488.417
872.000000,4852.657
873.000000,4998.829
874.000000,5011.132
875.000000,5724.196
876.000000,4776.187
877.000000,4912.033
878.000000,5062.663
879.000000,5205.6
880.000000,5245.096
881.000000,5182.259
882.000000,4910.023
883.000000,3535.923
884.000000,3490.1
885.000000,4236.78
886.000000,4370.157
887.000000,4506.857
888.000000,4337.654
889.000000,4605.347
890.000000,4320.231
891.000000,4011.665
892.000000,3573.462
893.000000,3215.723
894.000000,3665.726
895.000000,4072.961
896.000000,4596.401
897.000000,4340.477
898.000000,4085.082
899.000000,4213.99
900.000000,3971.275
901.000000,4154.984
902.000000,4473.895
903.000000,4214.837
904.000000,4611.167
905.000000,4810.256
906.000000,5216.014
907.000000,5181.47
908.000000,5113.089
909.000000,4929.865
910.000000,4800.908
911.000000,5397.523
912.000000,5981.491
913.000000,6456.008
914.000000,5950.054
915.000000,5586.448
916.000000,5900.373
917.000000,5806.826
918.000000,5405.951
919.000000,5123.51
920.000000,5442.993
921.000000,5239.47
922.000000,4762.733
923.000000,4240.029
924.000000,4397.528
925.000000,4616.94
926.000000,4548.808
927.000000,4517.388
928.000000,4650.931
929.000000,4373.313
930.000000,4235.208
931.000000,4241.503
932.000000,4189.899
933.000000,4242.409
934.000000,3845.981
935.000000,3439.517
936.000000,3741.802
937.000000,4056.425
938.000000,4002.387
939.000000,3985.44
940.000000,4086.499
941.000000,3729.651
942.000000,3422.106
943.000000,3804.427
944.000000,4067.958
945.000000,4212.612
946.000000,3794.68
947.000000,3851.457
948.000000,3585.706
949.000000,3526.556
950.000000,3661.192
951.000000,3659.479
952.000000,3741.423
953.000000,3648.993
954.000000,3282.38
955.000000,3007.063
956.000000,3094.776
957.000000,3024.988
958.000000,3333.526
