$Grand Coulee Dam Outflow Temperature,
 ,
JDAY,TWO
40.208340,2.47
40.250000,2.48
40.291670,2.5
40.333340,2.53
40.375000,2.56
40.416670,2.6
40.458340,2.64
40.500000,2.64
40.541670,2.67
40.583340,2.7
40.625000,2.72
40.666670,2.75
40.708340,2.77
40.750000,2.76
40.791670,2.79
40.833340,2.78
40.875000,2.82
40.916670,2.81
40.958340,2.81
41.000000,2.81
41.041670,2.81
41.083340,2.8
41.125000,2.79
41.166670,2.8
41.208340,2.78
41.250000,2.79
41.291670,2.79
41.333340,2.8
41.375000,2.8
41.416670,2.8
41.458340,2.82
41.500000,2.83
41.541670,2.82
41.583340,2.81
41.625000,2.81
41.666670,2.79
41.708340,2.76
41.750000,2.76
41.791670,2.75
41.833340,2.75
41.875000,2.75
41.916670,2.75
41.958340,2.74
42.000000,2.72
42.041670,2.71
42.083340,2.68
42.125000,2.67
42.166670,2.66
42.208340,2.65
42.250000,2.65
42.291670,2.64
42.333340,2.62
42.375000,2.61
42.416670,2.59
42.458340,2.59
42.500000,2.58
42.541670,2.57
42.583340,2.55
42.625000,2.54
42.666670,2.53
42.708340,2.49
42.750000,2.46
42.791670,2.46
42.833340,2.45
42.875000,2.43
42.916670,2.4
42.958340,2.34
43.000000,2.3
43.041670,2.26
43.083340,2.19
43.125000,2.1
43.166670,2.13
43.208340,2.1
43.250000,2.08
43.291670,2.06
43.333340,2.03
43.375000,1.97
43.416670,1.99
43.458340,2
43.500000,2.01
43.541670,2.1
43.583340,2.12
43.625000,2.13
43.666670,2.12
43.708340,2.04
43.750000,2.07
43.791670,2.1
43.833340,2.16
43.875000,2.24
43.916670,2.27
43.958340,2.28
44.000000,2.33
44.041670,2.42
44.083340,2.45
44.125000,2.46
44.166670,2.49
44.208340,2.51
44.250000,2.53
44.291670,2.53
44.333340,2.51
44.375000,2.54
44.416670,2.5
44.458340,2.51
44.500000,2.48
44.541670,2.45
44.583340,2.41
44.625000,2.36
44.666670,2.32
44.708340,2.28
44.750000,2.23
44.791670,2.2
44.833340,2.21
44.875000,2.2
44.916670,2.18
44.958340,2.21
45.000000,2.18
45.041670,2.19
45.083340,2.2
45.125000,2.2
45.166670,2.2
45.208340,2.16
45.250000,2.17
45.291670,2.21
45.333340,2.23
45.375000,2.27
45.416670,2.28
45.458340,2.33
45.500000,2.36
45.541670,2.37
45.583340,2.41
45.625000,2.43
45.666670,2.42
45.708340,2.36
45.750000,2.3
45.791670,2.3
45.833340,2.34
45.875000,2.36
45.916670,2.39
45.958340,2.36
46.000000,2.37
46.041670,2.34
46.083340,2.31
46.125000,2.31
46.166670,2.27
46.208340,2.22
46.250000,2.2
46.291670,2.2
46.333340,2.22
46.375000,2.25
46.416670,2.26
46.458340,2.29
46.500000,2.3
46.541670,2.33
46.583340,2.33
46.625000,2.34
46.666670,2.35
46.708340,2.35
46.750000,2.37
46.791670,2.38
46.833340,2.38
46.875000,2.4
46.916670,2.4
46.958340,2.36
47.000000,2.4
47.041670,2.39
47.083340,2.35
47.125000,2.3
47.166670,2.28
47.208340,2.17
47.250000,2.12
47.291670,2.11
47.333340,2.15
47.375000,2.18
47.416670,2.2
47.458340,2.23
47.500000,2.25
47.541670,2.28
47.583340,2.3
47.625000,2.31
47.666670,2.28
47.708340,2.27
47.750000,2.29
47.791670,2.29
47.833340,2.33
47.875000,2.34
47.916670,2.35
47.958340,2.34
48.000000,2.37
48.041670,2.38
48.083340,2.36
48.125000,2.35
48.166670,2.32
48.208340,2.29
48.250000,2.24
48.291670,2.22
48.333340,2.21
48.375000,2.23
48.416670,2.23
48.458340,2.27
48.500000,2.27
48.541670,2.27
48.583340,2.28
48.625000,2.29
48.666670,2.22
48.708340,2.19
48.750000,2.2
48.791670,2.23
48.833340,2.25
48.875000,2.26
48.916670,2.26
48.958340,2.24
49.000000,2.26
49.041670,2.25
49.083340,2.23
49.125000,2.24
49.166670,2.25
49.208340,2.22
49.250000,2.23
