$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42132,291.968
42133,292.09
42134,292.12
42135,291.877
42136,291.755
42137,292.059
42138,291.907
42139,292.029
42140,291.724
42141,291.602
42142,291.755
42143,291.846
42144,292.09
42145,291.907
42146,291.877
42147,291.785
42148,291.663
42149,291.694
42150,291.968
42151,291.846
42152,291.541
42153,291.785
42154,292.212
42155,291.755
42156,291.877
42157,291.663
42158,292.151
42159,292.181
42160,292.151
42161,291.968
42162,292.029
42163,291.846
42164,291.541
42165,292.09
42166,291.785
42167,291.48
42168,291.45
42169,291.785
42170,291.877
42171,291.816
42172,291.846
42173,291.816
42174,291.633
42175,291.755
42176,291.907
42177,291.694
42178,291.755
42179,291.877
42180,291.755
42181,291.663
42182,291.541
42183,291.724
42184,291.755
42185,291.663
42186,291.755
42187,291.785
42188,291.877
42189,291.633
42190,291.846
42191,291.724
42192,291.663
42193,291.633
42194,291.633
42195,291.358
42196,291.511
42197,291.511
42198,291.572
42199,291.663
42200,291.45
42201,291.846
42202,291.45
42203,291.48
42204,291.511
42205,291.541
42206,291.358
42207,291.267
42208,291.358
42209,291.511
42210,291.785
42211,291.755
42212,291.419
42213,291.267
42214,291.297
42215,291.45
42216,291.572
42217,291.48
42218,291.633
42219,291.694
42220,291.358
42221,291.358
42222,291.694
42223,291.572
42224,291.267
42225,291.297
42226,291.236
42227,291.358
42228,291.297
42229,291.389
42230,291.937
42231,291.785
42232,291.663
42233,291.511
42234,292.029
42235,291.816
42236,291.511
42237,291.785
42238,291.816
42239,291.694
42240,291.328
42241,291.145
42242,291.572
42243,291.419
42244,291.663
42245,291.389
42246,291.45
42247,291.602
42248,291.511
42249,291.877
42250,291.877
42251,291.816
42252,291.572
42253,291.816
42254,291.663
42255,291.816
42256,292.059
42257,291.755
42258,291.816
42259,291.816
42260,291.724
42261,291.572
42262,291.724
42263,291.297
42264,291.694
42265,291.877
42266,291.846
42267,291.937
42268,291.724
42269,291.602
42270,291.541
42271,291.48
42272,291.755
42273,291.511
42274,291.633
42275,291.541
42276,291.45
42277,291.724
42278,291.511
42279,291.541
42280,291.633
42281,291.541
42282,291.663
42283,291.755
42284,291.48
42285,291.724
42286,291.45
42287,291.541
42288,291.755
42289,291.755
42290,291.633
42291,291.816
42292,291.694
42293,291.755
42294,291.907
42295,292.12
42296,291.937
42297,291.45
42298,291.267
42299,291.358
42300,291.511
42301,291.419
42302,291.45
42303,291.511
42304,291.389
42305,291.755
42306,291.358
42307,291.328
42308,291.633
42309,291.511
42310,291.267
42311,291.355
42312,291.329
42313,291.386
42314,291.476
42315,291.451
42316,291.333
42317,291.562
42318,291.28
42319,291.442
42320,291.391
42321,291.915
42322,291.937
42323,291.762
42324,291.667
42325,291.342
42326,291.386
42327,291.476
42328,291.86
42329,291.789
42330,291.551
42331,291.746
42332,291.667
42333,291.634
42334,291.545
42335,291.892
42336,291.819
42337,291.816
42338,291.757
42339,291.579
42340,291.572
42341,291.864
42342,291.818
42343,291.67
42344,291.897
42345,291.615
42346,291.485
42347,291.656
42348,291.576
42349,291.63
42350,291.633
42351,291.662
42352,291.809
42353,291.728
42354,291.812
42355,291.728
42356,291.695
42357,291.606
42358,291.748
42359,291.725
42360,291.636
42361,291.896
42362,291.907
42363,291.498
42364,292.006
42365,292.175
42366,291.831
42367,291.903
42368,291.878
42369,291.76
42370,291.55
