$ CSV Bathymetry file from Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3778,15.1928,8,52.61,41.489,39.559,42.8215,38.038,25.952,44.1583,31.9575,31.6936,69.7809,52.2468,68.6497,48.1166,52.493,55.9545,95.9537,71.0417,86.0425,95.1737,112.4375,84.7862,124.5125,126.41,128.1384,145.9425,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,30.7325,18.2125,17.1875,30.35,25.3438,11.8125,38.767,24.3125,21.1806,55.7177,47.1278,60.3948,44.8189,48.8324,53.1531,94.7834,70.44,85.5225,93.3929,108.5587,83.2548,123.871,122.9601,126.7905,139.1162,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,6.3625,36.0014,16.8625,4.2361,36.6556,42.9056,56.4069,44.6278,45.5968,51.0827,94.5358,69.6933,84.8859,92.5846,106.748,82.6178,123.699,121.7315,126.5828,138.8555,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,28.11,8.445,0,12.91,31.395,39.855,39.225,40.83,47.82,92.055,68.9467,84.2492,91.7763,103.11,82.14,123.57,120.81,126.4271,100.8,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.595,5,0,0,16.245,12.895,29.715,31.755,40.965,18.615,30.2858,11.8296,89.46,94.17,82.14,123.57,120.81,118.0386,58.575,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,23.19,34.215,16.635,27.8171,11.1477,69.4821,83.84,61.762,95.3304,96.7304,99.48,52.755,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,13.965,27.735,14.655,25.3485,10.4659,40.6643,69.52,53.45,83.369,85.1873,89.43,46.935,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.105,21.09,12.675,22.88,9.7841,16.925,55.2,45.138,71.4075,73.6442,78.0268,41.115,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,10.695,20.4115,9.1023,13.625,40.88,36.826,59.446,62.1012,65.7825,35.295,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,8.715,17.9428,8.4204,10.325,26.56,28.514,47.4847,50.5581,53.5382,29.475,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.735,15.4743,7.7386,7.025,12.24,20.202,35.5232,39.015,41.2939,23.655,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.125,13.0057,7.0568,5,2.5,11.89,23.5617,27.4719,29.0496,17.835,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.5372,6.375,2.5,0,5.328,11.6003,15.9289,16.8054,12.015,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,8.25,5.6932,0,0,0,2.5,6.1357,6.311,3.825,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3333,5.0909,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8333,5,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8333,2.5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
