$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
707.000000,1170.148
708.000000,1187.645
709.000000,1156.227
710.000000,1063.666
711.000000,949.287
712.000000,807.082
713.000000,1028.253
714.000000,897.843
715.000000,845.555
716.000000,1056.173
717.000000,753.228
718.000000,613.476
719.000000,753.143
720.000000,831.65
721.000000,696.611
722.000000,645.953
723.000000,696.36
724.000000,914.215
725.000000,713.224
726.000000,714.205
727.000000,681.18
728.000000,731.879
729.000000,763.929
730.000000,823.202
731.000000,838.772
732.000000,684.918
733.000000,884.604
734.000000,658.553
735.000000,730.587
736.000000,843.246
737.000000,708.523
738.000000,630.761
739.000000,607.722
740.000000,554.351
741.000000,752.376
742.000000,803.476
743.000000,764.414
744.000000,789.831
745.000000,971.758
746.000000,608.233
747.000000,726.94
748.000000,948.419
749.000000,895.841
750.000000,712.697
751.000000,813.073
752.000000,757.154
753.000000,442.026
754.000000,667.533
755.000000,701.467
756.000000,671.35
757.000000,702.391
758.000000,536.644
759.000000,650.732
760.000000,630.112
761.000000,816.305
762.000000,718.655
763.000000,754.034
764.000000,809.997
765.000000,953.334
766.000000,938.539
767.000000,749.791
768.000000,888.842
769.000000,899.355
770.000000,875.179
771.000000,922.699
772.000000,881.715
773.000000,887.239
774.000000,877.171
775.000000,803.86
776.000000,741.104
777.000000,882.596
778.000000,919.181
779.000000,787.366
780.000000,846.119
781.000000,906.426
782.000000,803.241
783.000000,896.174
784.000000,843.215
785.000000,743.383
786.000000,719.647
787.000000,689.236
788.000000,695.875
789.000000,789.365
790.000000,768.801
791.000000,855.621
792.000000,618.921
793.000000,721.196
794.000000,930.931
795.000000,899.183
796.000000,1052.672
797.000000,985.475
798.000000,1016.889
799.000000,788.412
800.000000,813.189
801.000000,913.818
802.000000,688.244
803.000000,771.805
804.000000,889.989
805.000000,962.932
806.000000,1050.948
807.000000,1115.744
808.000000,1192.289
809.000000,1083.066
810.000000,1189.566
811.000000,1067.621
812.000000,1244.268
813.000000,1093.305
814.000000,1029.554
815.000000,1076.512
816.000000,858.59
817.000000,938.111
818.000000,922.549
819.000000,866.815
820.000000,692.888
821.000000,1067.401
822.000000,1160.331
