$ QGT_IHR_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_IHR_2011_2015_daily_ave.csv ; all outlets scaled to total flow from ICE HARBOR_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 42038, 42296, 42367 that are  6, 15, 2 days long
"JDAY","POW","SPB1","SPB2.RSW","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","SPB9","SPB10","MISC"
179.000000,2400.468,0,227.895,303.09,306.95,301.758,300.986,300.839,278.339,259.239,100.18,20.328
180.000000,2382.003,0,224.049,312.949,195.205,314.456,306.905,300.62,261.525,290.548,98.534,21.83
181.000000,2323.717,0,220.707,345.749,280.989,343.844,336.563,318.426,296.206,314.767,97.06,19.584
182.000000,2196.108,0,207.012,343.423,340.571,329.197,324.382,323.257,315.502,307.008,91.082,23.389
183.000000,2355.907,0,229.624,191.257,298.529,298.322,274.84,274.165,260.055,253.509,100.982,24.323
184.000000,2382.869,0,252.113,250.071,327.707,325.089,308.45,308.676,288.374,281.89,110.88,24.402
185.000000,2044.149,0,226.853,201.214,295.07,292.578,273.357,274.02,225.92,248.195,99.73,27.428
186.000000,1963.584,0,225.14,289.992,123.241,290.021,280.321,291.727,275.336,283.313,99.068,22.528
187.000000,1988.998,0,222.911,285.149,69.741,285.183,265.449,278.836,266.438,273.612,97.192,24.933
188.000000,1996.73,0,228.086,290.331,43.773,289.389,197.967,288.426,162.09,256.275,99.048,23.796
189.000000,2168.547,0,248.204,302.433,0,304.024,136.57,320.171,170.941,231.955,107.793,25.577
190.000000,1830.891,0,239.87,145.003,220.554,164.621,273.674,275.394,187.563,204.601,104.236,22.992
191.000000,1461.42,0,240.692,152.427,310.263,179.831,280.056,274.258,202.569,194.611,104.607,25.145
192.000000,1640.777,0,239.894,286.973,76.143,285.024,118.27,128.485,127.523,152.542,91.091,19.329
193.000000,1723.629,0,246.114,295.42,0,227.594,3.188,145.116,85.985,108.48,89.147,23.301
194.000000,1253.802,0,240.883,147.534,260.156,136.237,225.042,219.351,157.48,159.342,104.673,23.24
195.000000,840.813,0,211.685,133.933,283.543,128.94,252.314,250.113,175.712,167.431,91.963,20.143
196.000000,815.084,0,209.483,123.698,273.407,123.731,247.451,247.448,174.052,167.821,91.021,20.613
197.000000,819.039,0,236.695,150.909,310.699,156.905,271.532,271.556,197.973,195.161,102.859,22.914
198.000000,755.039,0,223.73,126.746,293.276,132.483,243.923,242.263,164.573,165.412,97.201,21.064
199.000000,801.61,0,232.096,87.303,296.134,138.811,253.32,251.471,168.524,171.898,100.802,22.311
200.000000,722.456,0,218.85,85.541,282.327,128.755,238.905,237.545,153.619,154.277,95.047,25.044
201.000000,730.735,0,249.801,0,321.976,148.673,271.695,271.212,139.472,139.475,108.545,21.916
202.000000,723.713,0,233.131,0,300.706,138.853,254.516,253.068,168.708,168.087,101.256,26.575
203.000000,566.247,0,209.696,0,270.256,124.584,227.581,227.715,126.903,136.736,91.137,20.33
204.000000,553.498,0,227.049,37.147,292.847,132.139,248.566,247.671,166.231,166.05,98.634,29.035
205.000000,561.924,0,227.777,12.613,296.859,134.135,249.597,249.039,131.202,138.328,98.942,27.489
206.000000,436.989,0,247.989,0,322.176,127.975,277.275,269.921,99.637,106.994,107.754,24.292
207.000000,465.188,0,240.891,0,313.232,123.642,265.313,262.151,94.911,93.972,104.621,25.105
208.000000,354.391,0,239.418,0,311.146,57.695,264.963,260.58,103.863,103.447,104.021,24.581
209.000000,366.026,0,206.425,11.71,268.421,43.589,228.239,224.657,100.529,100.168,89.645,26.449
210.000000,341.036,0,225.674,0,293.338,24.372,246.052,245.62,102.782,100.456,98.026,21.634
211.000000,301.987,0,237.693,0,290.486,0,256.989,213.411,105.328,105.843,103.278,24.979
212.000000,317.462,0,240.827,0,295.851,79.294,261.616,181.453,91.001,107.207,104.612,31.352
