$ QGT_JDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_JDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from JOHN DAY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41754, 41974, 42024, 42055, 42172, 42192, 42223, 42265, 42285, 42296, 42321, 42328 that are  1009, 2, 2, 3, 3, 3, 4, 3, 3, 3, 24, 6, 4 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","MISC"
119.000000,5148.098,0,128.959,113.19,72.289,65.518,54.114,86.79,83.752,83.938,93.427,83.585,88.818,90.333,95.37,103.64,114.449,108.394,368.367,368.367,114.437,0
120.000000,4463.759,0,149.647,115.891,88.943,95.571,84.343,115.666,95.915,114.173,92.773,91.493,92.003,91.775,100.854,114.476,124.169,141.077,388.154,388.154,132.322,0
121.000000,3902.134,0,148.884,123.354,94.107,109.329,90.293,115.889,107.284,110.104,104.159,101.018,105.408,103.997,110.466,113.964,131.378,137.058,313.752,313.752,115.597,0
122.000000,4729.398,0,145.031,119.138,89.683,104.283,82.895,106.265,97.891,103.518,101.015,90.566,95.403,96.409,97.069,110.028,127.519,134.181,328.254,328.254,115.963,0
123.000000,4568.197,0,137.858,126.964,92.018,114.427,86.203,111.905,106.184,112.288,102.196,96.285,104.722,102.623,107.58,112.24,135.287,137.75,325.266,325.266,117.507,0
124.000000,4500.911,0,169.134,139.854,107.393,124.184,119.904,133.259,127.103,131.507,120.883,119.408,124.185,122.638,129.921,140.493,156.927,156.769,322.698,322.698,128.742,0
125.000000,4444.25,0,161.971,140.418,109.003,123.864,112.508,132.243,119.671,131.915,117.901,112.349,122.543,117.247,125.644,134.303,153.665,161.233,337.486,337.486,127.001,0
126.000000,4748.677,0,121.912,122.116,88.943,102.412,82.477,103.114,95.755,101.384,96.555,98.318,101.657,97.413,101.22,106.991,126.71,129.615,311.793,311.793,110.628,0
127.000000,5011.968,0,122.172,107.376,70.149,84.31,78.6,94.467,90.231,88.66,89.509,84.118,86.112,88.243,96.515,95.191,112.098,114.489,326.684,326.684,112.463,0
128.000000,4566.533,0,151.65,111.42,88.862,101.284,100.213,119.736,112.68,112.973,100.653,92.121,97.344,97.737,109.986,117.694,132.109,138.439,323.886,323.886,115.358,0
129.000000,4223.266,0,145.583,130.517,107.056,116.387,106.076,123.007,114.508,120.982,104.568,107.022,112.168,112.53,120.354,126.115,149.891,156.638,332.272,332.272,125.815,0
130.000000,4996.372,0,137.975,130.236,81.801,71.56,61.849,100.293,96.438,91.544,105.442,104.235,107.717,109.12,114.158,118.927,122.187,136.605,405.288,405.288,125.889,0
131.000000,5904.673,0,146.225,122.051,69.123,72.095,68.235,100.781,96.667,97.375,101.409,91.722,92.751,108.445,110.98,117.475,123.551,126.922,439.943,439.943,133.546,0
132.000000,4788.204,0,157.376,129.476,103.554,104.851,103.296,127.96,118.803,120.606,108.445,106.299,111.179,116.729,123.118,128.421,146.947,152.658,348.406,348.406,132.539,0
133.000000,4936.393,0,182.971,158.482,122.691,145.146,133.278,148.229,136.987,146.099,128.345,127.316,136.425,137.848,142.496,153.384,169.111,177.418,350.542,350.542,144.687,0
134.000000,6037.095,0,181.346,148.203,104.86,125.931,116.941,140.227,124.886,137.003,125.828,114.324,130.507,128.096,133.934,141.821,162.413,177.815,407.093,407.093,144.778,0
135.000000,6766.026,0,188.255,138.994,105.461,124.555,114.313,143.597,126.13,140.756,119.414,108.597,115.324,118.314,125.47,137.189,161.342,170.011,426.639,426.639,156.107,0
136.000000,6260.753,0,241.036,222.894,178.436,190.675,191.861,207.1,188.054,195.27,177.378,185.422,189.077,187.446,199.81,206.086,236.832,245.029,457.878,457.878,196.616,0
137.000000,7169.379,0,239.314,229.119,182.669,190.429,183.613,208.312,195.791,211.255,176.246,189.227,191.165,204.262,207.04,209.556,247.127,270.557,517.621,517.621,225.889,0
138.000000,8080.513,0,225.165,208.536,166.81,177.666,172.589,205.213,186.019,205.661,178.125,175.018,186.335,187.602,196.817,200.636,229.109,254.812,475.445,475.445,198.536,0
139.000000,8388.567,0,241.796,238.522,189.239,214.799,192.454,208.841,204.975,219.842,204.133,186.411,205.322,200.553,221.774,225.176,262.448,262.096,498.439,498.439,214.883,0
140.000000,7478.062,0,268.082,272.988,215.383,240.348,240.085,249.784,230.465,239.723,230.662,220.026,242.24,229.532,245.986,241.726,282.782,279.672,492.704,492.704,229.847,0
141.000000,7746.279,0,270.921,278.661,204.343,231.974,234.802,249.476,234.907,241.927,230.597,226.617,244.944,238.897,262.037,264.669,288.773,284.149,487.396,487.396,227.345,0
142.000000,8158.062,0,241.047,237.318,190.636,223.185,204.36,213.012,198.199,223.868,198.947,189.6,206.926,204.894,216.052,215.355,256.274,271.281,509.452,509.452,211.348,0
143.000000,8525.538,0,243.742,247.474,207.633,221.725,202.348,236.59,224.554,233.435,214.613,210.415,222.604,216.947,231.536,247.069,260.668,285.328,511.358,511.358,215.055,0
144.000000,8126.901,0,276.284,294.45,230.455,261.185,244.231,265.514,260.643,265.851,258.496,236.419,258.721,258.165,263.407,275.499,298.632,307.798,480.218,480.218,222.302,0
