$JDA Elev-Tailwater CBT-REV [m => ft NAVD88],,
CY 2011-2015,,12/31/2010
JDAY,ElevFT,
41347,163.7762512,
41348,164.0551226,
41349,163.9763824,
41350,163.6450176,
41351,164.2847814,
41352,164.353679,
41353,163.8746764,
41354,164.6456738,
41355,164.4455426,
41356,164.2355688,
41357,164.0846502,
41358,164.1043352,
41359,164.1043352,
41360,164.2650964,
41361,163.8057788,
41362,164.3438365,
41363,164.845805,
41364,164.6456738,
41365,164.2257263,
41366,164.39633,
41367,164.7933116,
41368,165.0262512,
41369,165.4363562,
41370,165.8661463,
41371,166.4140466,
41372,165.7939678,
41373,166.4238891,
41374,166.1745452,
41375,167.224414,
41376,166.8339941,
41377,165.7644402,
41378,166.5255951,
41379,166.6535479,
41380,166.5452802,
41381,165.7644402,
41382,166.2532854,
41383,165.3346502,
41384,166.0531542,
41385,165.6857001,
41386,165.9153589,
41387,165.0459363,
41388,165.0557788,
41389,165.134519,
41390,165.6233641,
41391,165.7545977,
41392,165.8234954,
41393,165.7841253,
41394,165.6955426,
41395,165.7053851,
41396,165.7349127,
41397,166.2139153,
41398,165.6857001,
41399,165.2755951,
41400,165.4954114,
41401,165.5938366,
41402,166.1647027,
41403,166.7257264,
41404,167.9035479,
41405,168.4448865,
41406,168.1660151,
41407,167.4540728,
41408,168.1857002,
41409,167.9363563,
41410,167.9560414,
41411,167.0734954,
41412,167.6837316,
41413,167.6640466,
41414,167.2440991,
41415,166.5452802,
41416,167.0931804,
41417,167.4147028,
41418,166.6633904,
41419,166.6961988,
41420,167.0538104,
41421,166.9947552,
41422,167.0636529,
41423,166.8733642,
41424,166.6961988,
41425,166.2860938,
41426,165.9350439,
41427,165.7053851,
41428,166.2959363,
41429,165.9448864,
41430,165.8234954,
41431,166.4140466,
41432,166.1450177,
41433,166.2860938,
41434,165.8136528,
41435,165.9350439,
41436,165.7152276,
41437,166.1745452,
41438,166.1548602,
41439,166.0662775,
41440,166.0531542,
41441,165.1246764,
41442,165.25591,
41443,165.4954114,
41444,165.564309,
41445,165.5249389,
41446,165.4461988,
41447,166.5157526,
41448,166.3156214,
41449,166.1450177,
41450,166.2434429,
41451,166.4435741,
41452,166.5354376,
41453,166.5354376,
41454,167.1948865,
41455,166.2237578,
41456,167.1752014,
41457,167.0045978,
41458,166.8339941,
41459,166.9849127,
41460,166.5748077,
41461,166.3943615,
41462,166.0039416,
41463,166.0958051,
41464,165.4461988,
41465,165.4133904,
41466,165.3444927,
41467,165.2132591,
41468,165.1640465,
41469,165.2952801,
41470,165.5544665,
41471,165.0459363,
