$Concentration file for segment 317

JDAY,      N2,      DO,
    19.300,   19.9965,   11.9646,
    19.350,   19.9955,   11.9635,
    19.400,   20.0039,   11.9736,
    19.450,   20.0133,   11.9848,
    19.500,   20.0163,   11.9885,
    19.550,   20.0121,   11.9837,
    19.600,   20.0084,   11.9793,
    19.650,   20.0053,   11.9758,
    19.700,   20.0024,   11.9723,
    19.750,   19.9996,   11.9691,
    19.800,   19.9973,   11.9663,
    19.850,   19.9954,   11.9641,
    19.900,   19.9939,   11.9625,
    19.950,   19.9930,   11.9611,
    20.000,   19.9923,   11.9603,
    20.050,   19.9917,   11.9596,
    20.100,   19.9911,   11.9591,
    20.150,   19.9907,   11.9588,
    20.200,   19.9903,   11.9586,
    20.250,   19.9900,   11.9585,
    20.300,   19.9896,   11.9583,
    20.350,   19.9892,   11.9581,
    20.400,   19.9890,   11.9579,
    20.450,   19.9887,   11.9579,
    20.500,   19.9886,   11.9580,
    20.550,   19.9884,   11.9582,
    20.600,   19.9883,   11.9586,
    20.650,   19.9887,   11.9595,
    20.700,   19.9937,   11.9655,
    20.750,   20.0031,   11.9769,
    20.800,   20.0109,   11.9863,
    20.850,   20.0175,   11.9943,
    20.900,   20.0232,   12.0011,
    20.950,   20.0252,   12.0035,
    21.000,   20.0206,   11.9981,
    21.050,   20.0164,   11.9932,
    21.100,   20.0136,   11.9900,
    21.150,   20.0109,   11.9869,
    21.200,   20.0070,   11.9826,
    21.250,   20.0059,   11.9816,
    21.300,   20.0123,   11.9894,
    21.350,   20.0189,   11.9975,
    21.400,   20.0243,   12.0044,
    21.450,   20.0291,   12.0106,
    21.500,   20.0326,   12.0152,
    21.550,   20.0356,   12.0192,
    21.600,   20.0388,   12.0234,
    21.650,   20.0420,   12.0274,
    21.700,   20.0434,   12.0294,
    21.750,   20.0433,   12.0296,
    21.800,   20.0425,   12.0290,
    21.850,   20.0429,   12.0297,
    21.900,   20.0448,   12.0321,
    21.950,   20.0493,   12.0377,
    22.000,   20.0572,   12.0474,
    22.050,   20.0636,   12.0553,
    22.100,   20.0607,   12.0519,
    22.150,   20.0541,   12.0443,
    22.200,   20.0481,   12.0372,
    22.250,   20.0398,   12.0276,
    22.300,   20.0313,   12.0178,
    22.350,   20.0253,   12.0107,
    22.400,   20.0270,   12.0130,
    22.450,   20.0225,   12.0078,
    22.500,   20.0177,   12.0022,
    22.550,   20.0141,   11.9981,
    22.600,   20.0113,   11.9948,
    22.650,   20.0093,   11.9927,
    22.700,   20.0080,   11.9912,
    22.750,   20.0069,   11.9902,
    22.800,   20.0057,   11.9889,
    22.850,   20.0047,   11.9879,
    22.900,   20.0038,   11.9870,
    22.950,   20.0026,   11.9855,
    23.000,   20.0010,   11.9840,
    23.050,   19.9996,   11.9823,
    23.100,   19.9989,   11.9814,
    23.150,   19.9979,   11.9805,
    23.200,   19.9971,   11.9798,
    23.250,   19.9966,   11.9792,
    23.300,   19.9968,   11.9790,
    23.350,   19.9963,   11.9784,
    23.400,   19.9954,   11.9774,
    23.450,   19.9946,   11.9767,
    23.500,   19.9940,   11.9761,
    23.550,   19.9935,   11.9758,
    23.600,   19.9932,   11.9756,
    23.650,   19.9930,   11.9755,
    23.700,   19.9928,   11.9754,
    23.750,   19.9926,   11.9754,
    23.800,   19.9925,   11.9754,
    23.850,   19.9925,   11.9755,
    23.900,   19.9925,   11.9756,
    23.950,   19.9925,   11.9758,
    24.000,   19.9925,   11.9754,
    24.050,   19.9925,   11.9755,
    24.100,   19.9926,   11.9758,
    24.150,   19.9926,   11.9761,
    24.200,   19.9927,   11.9766,
    24.250,   19.9928,   11.9769,
    24.300,   19.9928,   11.9774,
    24.350,   19.9939,   11.9793,
    24.400,   19.9956,   11.9819,
    24.450,   19.9970,   11.9841,
    24.500,   19.9982,   11.9860,
    24.550,   19.9992,   11.9877,
    24.600,   20.0002,   11.9895,
    24.650,   20.0009,   11.9908,
    24.700,   20.0018,   11.9925,
    24.750,   20.0068,   11.9989,
    24.800,   20.0179,   12.0125,
    24.850,   20.0186,   12.0135,
    24.900,   20.0156,   12.0099,
    24.950,   20.0121,   12.0058,
    25.000,   20.0093,   12.0026,
    25.050,   20.0076,   12.0007,
    25.100,   20.0060,   11.9988,
    25.150,   20.0046,   11.9974,
    25.200,   20.0033,   11.9959,
    25.250,   20.0019,   11.9944,
    25.300,   20.0012,   11.9936,
    25.350,   20.0010,   11.9934,
    25.400,   20.0015,   11.9943,
    25.450,   20.0023,   11.9956,
    25.500,   20.0068,   12.0014,
    25.550,   20.0145,   12.0111,
    25.600,   20.0208,   12.0190,
    25.650,   20.0260,   12.0256,
    25.700,   20.0331,   12.0348,
    25.750,   20.0390,   12.0421,
    25.800,   20.0426,   12.0466,
    25.850,   20.0303,   12.0314,
    25.900,   20.0229,   12.0225,
    25.950,   20.0177,   12.0161,
    26.000,   20.0139,   12.0116,
    26.050,   20.0106,   12.0077,
    26.100,   20.0079,   12.0045,
    26.150,   20.0058,   12.0020,
    26.200,   20.0043,   12.0001,
    26.250,   20.0043,   12.0001,
    26.300,   20.0086,   12.0056,
    26.350,   20.0151,   12.0139,
    26.400,   20.0206,   12.0209,
    26.450,   20.0284,   12.0308,
    26.500,   20.0338,   12.0376,
    26.550,   20.0371,   12.0420,
    26.600,   20.0396,   12.0453,
    26.650,   20.0415,   12.0481,
    26.700,   20.0433,   12.0504,
    26.750,   20.0444,   12.0517,
    26.800,   20.0446,   12.0519,
    26.850,   20.0447,   12.0521,
    26.900,   20.0448,   12.0524,
    26.950,   20.0460,   12.0541,
    27.000,   20.0453,   12.0533,
    27.050,   20.0377,   12.0440,
    27.100,   20.0280,   12.0320,
    27.150,   20.0200,   12.0221,
    27.200,   20.0154,   12.0165,
    27.250,   20.0154,   12.0166,
    27.300,   20.0211,   12.0240,
    27.350,   20.0273,   12.0320,
    27.400,   20.0281,   12.0332,
    27.450,   20.0224,   12.0261,
    27.500,   20.0196,   12.0227,
    27.550,   20.0193,   12.0225,
    27.600,   20.0200,   12.0234,
    27.650,   20.0220,   12.0262,
    27.700,   20.0269,   12.0323,
    27.750,   20.0349,   12.0419,
    27.800,   20.0452,   12.0540,
    27.850,   20.0566,   12.0674,
    27.900,   20.0669,   12.0791,
    27.950,   20.0734,   12.0860,
    28.000,   20.0791,   12.0921,
    28.050,   20.0838,   12.0971,
    28.100,   20.0884,   12.1021,
    28.150,   20.0943,   12.1087,
    28.200,   20.0996,   12.1146,
    28.250,   20.1060,   12.1216,
    28.300,   20.1180,   12.1359,
    28.350,   20.1333,   12.1545,
    28.400,   20.1463,   12.1702,
    28.450,   20.1519,   12.1762,
    28.500,   20.1534,   12.1769,
    28.550,   20.1592,   12.1828,
    28.600,   20.1653,   12.1891,
    28.650,   20.1715,   12.1954,
    28.700,   20.1783,   12.2028,
    28.750,   20.1866,   12.2119,
    28.800,   20.1897,   12.2152,
    28.850,   20.1893,   12.2142,
    28.900,   20.1907,   12.2154,
    28.950,   20.1919,   12.2162,
    29.000,   20.1933,   12.2174,
    29.050,   20.1958,   12.2200,
    29.100,   20.1997,   12.2241,
    29.150,   20.2104,   12.2359,
    29.201,   20.2160,   12.2418,
    29.250,   20.2230,   12.2492,
    29.300,   20.2418,   12.2702,
    29.350,   20.2466,   12.2747,
    29.400,   20.2489,   12.2763,
    29.450,   20.2519,   12.2785,
    29.500,   20.2584,   12.2847,
    29.550,   20.2638,   12.2897,
    29.600,   20.2687,   12.2939,
    29.650,   20.2797,   12.3051,
    29.700,   20.2924,   12.3182,
    29.750,   20.2965,   12.3216,
    29.800,   20.2947,   12.3185,
    29.850,   20.2885,   12.3106,
    29.900,   20.2843,   12.3050,
    29.950,   20.2788,   12.2983,
    30.000,   20.2652,   12.2828,
    30.050,   20.2511,   12.2670,
    30.100,   20.2528,   12.2685,
    30.150,   20.2575,   12.2734,
    30.200,   20.2426,   12.2567,
    30.250,   20.2489,   12.2632,
    30.300,   20.2542,   12.2685,
    30.350,   20.2480,   12.2613,
    30.400,   20.2439,   12.2563,
    30.450,   20.2297,   12.2406,
    30.500,   20.2174,   12.2269,
    30.550,   20.2076,   12.2161,
    30.600,   20.2051,   12.2131,
    30.650,   20.2060,   12.2137,
    30.700,   20.2195,   12.2279,
    30.750,   20.2190,   12.2273,
    30.800,   20.2161,   12.2241,
    30.850,   20.2068,   12.2135,
    30.900,   20.1954,   12.2006,
    30.950,   20.1896,   12.1940,
    31.000,   20.1852,   12.1888,
    31.050,   20.1965,   12.2007,
    31.100,   20.2006,   12.2049,
    31.150,   20.2129,   12.2177,
    31.200,   20.2237,   12.2291,
    31.250,   20.2385,   12.2446,
    31.300,   20.2560,   12.2629,
    31.350,   20.2669,   12.2740,
    31.400,   20.2807,   12.2881,
    31.450,   20.2963,   12.3040,
    31.500,   20.3079,   12.3155,
    31.550,   20.3189,   12.3265,
    31.600,   20.3252,   12.3325,
    31.650,   20.3229,   12.3295,
    31.700,   20.3248,   12.3310,
    31.750,   20.3199,   12.3259,
    31.800,   20.3131,   12.3192,
    31.850,   20.3037,   12.3095,
    31.900,   20.2784,   12.2820,
    31.950,   20.2629,   12.2651,
    32.000,   20.2514,   12.2525,
    32.050,   20.2517,   12.2523,
    32.100,   20.2568,   12.2572,
    32.150,   20.2688,   12.2694,
    32.200,   20.2723,   12.2725,
    32.250,   20.2654,   12.2650,
    32.300,   20.2566,   12.2566,
    32.350,   20.2531,   12.2540,
    32.400,   20.2499,   12.2526,
    32.450,   20.2525,   12.2570,
    32.500,   20.2525,   12.2584,
    32.550,   20.2547,   12.2616,
    32.600,   20.2586,   12.2668,
    32.650,   20.2679,   12.2775,
    32.700,   20.2829,   12.2943,
    32.750,   20.2928,   12.3044,
    32.800,   20.2850,   12.2929,
    32.850,   20.2767,   12.2803,
    32.900,   20.2741,   12.2749,
    32.950,   20.2710,   12.2699,
    33.000,   20.2791,   12.2773,
    33.050,   20.2917,   12.2897,
    33.100,   20.2973,   12.2951,
    33.150,   20.3098,   12.3077,
    33.200,   20.3240,   12.3221,
    33.250,   20.3492,   12.3479,
    33.300,   20.3525,   12.3511,
    33.350,   20.3560,   12.3551,
    33.400,   20.3605,   12.3621,
    33.450,   20.3637,   12.3668,
    33.500,   20.3696,   12.3720,
    33.550,   20.3668,   12.3682,
    33.600,   20.3694,   12.3705,
    33.650,   20.3749,   12.3763,
    33.700,   20.3965,   12.4004,
    33.750,   20.4113,   12.4204,
    33.800,   20.4194,   12.4324,
    33.850,   20.4077,   12.4224,
    33.900,   20.3963,   12.4118,
    33.950,   20.3809,   12.3969,
    34.000,   20.3708,   12.3847,
    34.050,   20.3659,   12.3773,
    34.100,   20.3673,   12.3771,
    34.150,   20.3825,   12.3918,
    34.200,   20.3975,   12.4062,
    34.250,   20.4081,   12.4162,
    34.300,   20.4057,   12.4136,
    34.350,   20.4104,   12.4211,
    34.400,   20.4137,   12.4267,
    34.450,   20.4104,   12.4231,
    34.500,   20.4159,   12.4268,
    34.550,   20.4311,   12.4411,
    34.600,   20.4508,   12.4603,
    34.650,   20.4617,   12.4704,
    34.700,   20.4759,   12.4840,
    34.750,   20.4921,   12.4995,
    34.800,   20.4910,   12.4973,
    34.850,   20.4615,   12.4655,
    34.900,   20.4250,   12.4265,
    34.950,   20.3983,   12.3982,
    35.000,   20.3748,   12.3736,
    35.050,   20.4305,   12.4316,
    35.100,   20.4122,   12.4121,
    35.150,   20.3974,   12.3966,
    35.200,   20.4278,   12.4282,
    35.250,   20.4747,   12.4766,
    35.300,   20.5041,   12.5065,
    35.350,   20.4970,   12.4984,
    35.400,   20.4934,   12.4938,
    35.450,   20.4796,   12.4789,
    35.500,   20.4919,   12.4911,
    35.550,   20.4941,   12.4928,
    35.600,   20.5076,   12.5062,
    35.650,   20.5016,   12.4994,
    35.700,   20.5394,   12.5375,
