$Lake Roosevelt Model year 2011-2015,,,
Constituent input file for Columbia River (usbc of branch 1),,,
jday,N2,DO,
786,20.22,12.56,
787,20.38,12.67,
788,20.26,12.59,
789,20.29,12.61,
790,20.23,12.59,
791,20.22,12.59,
792,20.35,12.68,
793,20.37,12.68,
794,20.34,12.62,
795,20.53,12.74,
796,20.55,12.76,
797,20.37,12.66,
798,20.45,12.73,
799,20.3,12.61,
800,20.26,12.58,
801,20.33,12.62,
802,20.36,12.63,
803,20.32,12.65,
804,20.28,12.64,
805,20.35,12.66,
806,20.34,12.64,
807,20.37,12.64,
808,20.33,12.6,
809,20.28,12.57,
810,20.54,12.74,
811,20.35,12.63,
812,20.31,12.57,
813,20.19,12.5,
814,20.19,12.5,
815,20.25,12.54,
816,20.42,12.64,
817,20.44,12.66,
818,20.39,12.65,
819,20.29,12.6,
820,20.33,12.61,
821,20.36,12.6,
822,20.29,12.55,
823,20.29,12.54,
824,20.27,12.51,
825,20.25,12.5,
826,20.45,12.67,
827,20.87,12.9,
828,21.62,13.31,
829,21.55,13.3,
830,21.99,13.55,
831,22.03,13.57,
832,21.64,13.34,
833,21.58,13.28,
834,21.31,13.16,
835,21.25,13.08,
836,21.15,13.05,
837,20.96,12.9,
838,21.01,12.93,
839,20.73,12.78,
840,20.69,12.79,
841,20.25,12.53,
842,20.25,12.47,
843,20.5,12.59,
844,20.56,12.62,
845,20.73,12.73,
846,20.58,12.64,
847,20.35,12.49,
848,20.39,12.51,
849,20.31,12.47,
850,20.3,12.43,
851,20,12.23,
852,19.91,12.16,
853,20.25,12.38,
854,20.2,12.37,
855,19.97,12.23,
856,20.02,12.25,
857,20.1,12.31,
858,20.34,12.46,
859,20.46,12.54,
860,20.66,12.66,
861,21.13,12.91,
862,21.29,12.98,
863,20.93,12.8,
864,21.12,12.91,
865,21.39,13.02,
866,21.53,13.09,
867,21.69,13.22,
868,21.65,13.21,
869,21.85,13.36,
870,21.71,13.3,
871,21.68,13.25,
872,21.58,13.18,
873,21.36,13.05,
874,22.03,13.44,
875,22.05,13.45,
876,22,13.43,
877,21.94,13.41,
878,21.83,13.36,
879,21.4,13.11,
880,21.52,13.18,
881,21.26,13.02,
882,21.07,12.88,
883,21.09,12.88,
884,21.11,12.89,
885,21.11,12.89,
886,20.84,12.73,
887,20.67,12.62,
888,20.36,12.43,
889,20.32,12.37,
890,20.06,12.16,
891,19.93,12.12,
892,19.83,12.03,
893,19.51,11.83,
894,19.03,11.53,
895,18.91,11.44,
896,18.83,11.42,
897,18.83,11.44,
898,18.88,11.46,
899,18.83,11.45,
900,18.77,11.41,
901,18.93,11.53,
902,19.32,11.79,
903,19.57,11.92,
904,19.69,12.01,
905,20.06,12.24,
906,20,12.21,
907,19.77,12.08,
908,19.79,12.08,
909,19.53,11.91,
910,19.52,11.95,
911,19.37,11.85,
912,19.42,11.88,
913,18.87,11.53,
914,18.81,11.51,
915,18.69,11.4,
916,18.63,11.31,
917,18.88,11.44,
918,18.78,11.43,
919,18.8,11.4,
920,18.63,11.3,
921,18.37,11.18,
922,18.5,11.24,
923,18.45,11.18,
924,18.19,10.99,
925,17.98,10.86,
926,18.12,10.96,
927,17.87,10.82,
928,17.23,10.44,
929,16.89,10.25,
930,16.88,10.29,
931,17,10.34,
932,16.9,10.27,
933,16.84,10.18,
934,16.69,10.12,
935,16.72,10.14,
936,16.49,9.986,
937,16.45,9.959,
938,16.56,10.01,
939,16.63,10.04,
940,16.24,9.805,
941,16.05,9.693,
942,15.95,9.635,
943,16.04,9.694,
944,16.14,9.767,
945,16.27,9.887,
946,16.45,10.01,
947,16.26,9.9,
948,16.2,9.864,
949,16.09,9.77,
950,15.97,9.705,
951,15.73,9.526,
952,15.6,9.432,
953,15.65,9.484,
954,15.73,9.532,
955,15.83,9.59,
956,15.77,9.545,
957,16.03,9.679,
958,15.81,9.564,
959,15.83,9.577,
960,15.7,9.495,
961,16.11,9.732,
962,16.01,9.669,
963,15.97,9.634,
964,15.95,9.596,
965,15.87,9.554,
966,15.71,9.474,
967,15.77,9.573,
968,15.66,9.464,
969,15.58,9.445,
970,15.92,9.647,
971,16.22,9.833,
972,15.84,9.599,
973,15.64,9.471,
974,15.75,9.511,
975,15.77,9.503,
976,15.67,9.458,
977,15.64,9.484,
978,15.79,9.582,
979,15.77,9.569,
980,15.57,9.451,
981,15.67,9.511,
982,15.9,9.654,
983,15.87,9.651,
984,15.84,9.63,
985,15.79,9.564,
986,15.75,9.546,
987,15.82,9.585,
988,15.85,9.614,
989,15.99,9.698,
990,15.98,9.718,
991,16.08,9.756,
992,16.1,9.78,
993,16.08,9.721,
994,16.4,9.922,
995,16.56,10.03,
996,16.34,9.897,
997,16.03,9.714,
998,16.21,9.814,
999,16.32,9.882,
1000,16.25,9.855,
1001,16.28,9.842,
1002,16.33,9.885,
1003,16.11,9.804,
1004,16.03,9.725,
1005,16.52,10.02,
1006,16.51,9.993,
1007,16.59,10.05,
1008,16.48,9.98,
1009,16.62,10.06,
1010,16.71,10.13,
1011,16.89,10.24,
1012,16.96,10.3,
1013,17.06,10.35,
1014,17.11,10.39,
1015,17.13,10.38,
1016,17.09,10.36,
1017,17.05,10.34,
1018,17.03,10.33,
1019,17.2,10.43,
1020,17.34,10.54,
1021,17.35,10.54,
1022,17.36,10.54,
1023,17.58,10.68,
1024,17.63,10.72,
1025,17.54,10.68,
1026,17.51,10.66,
1027,17.47,10.65,
1028,17.49,10.67,
1029,17.53,10.68,
1030,17.54,10.68,
1031,17.63,10.74,
1032,17.98,10.92,
1033,18.14,11.02,
1034,18.11,11,
1035,18.14,11.04,
1036,18.15,11.06,
1037,18.49,11.29,
1038,18.2,11.11,
1039,18.52,11.3,
1040,18.24,11.13,
1041,17.98,10.99,
1042,18.2,11.13,
1043,18.33,11.24,
1044,18.27,11.19,
1045,18.29,11.22,
1046,18.34,11.25,
1047,18.22,11.16,
1048,18.15,11.13,
1049,18.48,11.35,
1050,18.63,11.41,
1051,18.78,11.52,
1052,18.64,11.42,
1053,18.54,11.38,
1054,18.79,11.56,
1055,18.51,11.32,
1056,18.67,11.43,
1057,18.7,11.47,
1058,18.69,11.46,
1059,18.83,11.56,
1060,18.69,11.47,
1061,18.81,11.55,
1062,18.86,11.58,
1063,18.97,11.67,
1064,18.95,11.65,
1065,18.97,11.68,
1066,19.21,11.83,
1067,19.4,11.96,
1068,19.34,11.92,
1069,19.29,11.87,
1070,19.39,11.93,
1071,19.29,11.87,
1072,19.51,12.02,
1073,19.41,11.96,
1074,19.69,12.17,
1075,19.58,12.09,
1076,19.77,12.23,
1077,19.75,12.23,
1078,19.57,12.11,
1079,19.73,12.22,
1080,20.02,12.44,
1081,19.79,12.29,
1082,20.01,12.43,
1083,19.94,12.36,
1084,20.22,12.55,
1085,20.21,12.52,
1086,20.16,12.51,
1087,20.35,12.66,
1088,20.47,12.76,
1089,20.15,12.57,
1090,20.2,12.59,
1091,20.25,12.62,
1092,20.28,12.62,
1093,19.96,12.41,
1094,20.24,12.6,
1095,20.47,12.77,
1096,20.21,12.58,
1097,20.03,12.46,
1098,20.3,12.63,
1099,20.38,12.69,
1100,20.2,12.54,
1101,20.2,12.56,
1102,20.47,12.75,
1103,20.44,12.71,
1104,20.41,12.7,
1105,20.47,12.75,
1106,20.55,12.82,
1107,20.67,12.89,
1108,20.5,12.79,
1109,20.28,12.65,
1110,20.31,12.68,
1111,20.07,12.5,
1112,20.06,12.49,
1113,20.22,12.58,
1114,20.18,12.55,
1115,20.29,12.63,
1116,20.34,12.67,
1117,20.43,12.72,
1118,20.31,12.64,
1119,20.18,12.56,
1120,20.19,12.57,
1121,20.27,12.62,
1122,20.3,12.63,
1123,20.3,12.62,
1124,20.28,12.62,
1125,20.49,12.74,
1126,20.44,12.72,
1127,20.37,12.68,
1128,20.35,12.65,
1129,20.51,12.75,
1130,20.61,12.84,
1131,20.54,12.8,
1132,20.42,12.71,
1133,20.9,13.05,
1134,20.96,13.09,
1135,20.89,13.06,
1136,20.89,13.07,
1137,20.99,13.16,
1138,21.09,13.24,
1139,21.5,13.56,
1140,20.98,13.15,
1141,21.2,13.28,
1142,21.32,13.38,
1143,21.4,13.45,
1144,21.54,13.53,
1145,21.51,13.53,
1146,21.43,13.46,
