SEGMENT#, BRANCH#, XC, YC, UTMZONE
224, 13,   416579.17457,  5336418.40320, 11
223, 13,   417564.16108,  5336558.00939, 11
222, 13,   418461.75069,  5336965.10478, 11
221, 13,   419250.52728,  5337578.28522, 11
220, 13,   419933.32626,  5338303.91089, 11
219, 13,   420334.66702,  5339190.68879, 11
218, 13,   420474.15838,  5340180.53758, 11
217, 13,   420482.54506,  5341178.05257, 11
216, 13,   420301.32410,  5342156.23825, 11
215, 13,   420036.19161,  5343121.03853, 11
214, 13,   419909.08966,  5344107.15003, 11
213, 13,   419992.08495,  5345099.90127, 11
212, 13,   420392.44475,  5345984.51172, 11
211, 13,   421171.43066,  5346553.43244, 11
210, 13,   422114.56021,  5346887.89738, 11
209, 13,   422996.53573,  5347336.79479, 11
208, 13,   423647.90480,  5348064.64855, 11
207, 13,   423986.72076,  5348992.83902, 11
206, 13,   424049.63378,  5349983.71458, 11
205, 13,   424006.43256,  5350983.46143, 11
204, 13,   423958.23871,  5351982.86734, 11
203, 13,   423966.62538,  5352980.38233, 11
202, 13,   424096.26982,  5353972.02296, 11
201, 13,   424285.25710,  5354954.69479, 11
200, 13,   424715.78246,  5355823.65521, 11
199, 13,   425449.05180,  5356494.26733, 11
198, 13,   426211.60665,  5357137.59717, 11
197, 13,   426885.64452,  5357875.79187, 11
196, 13,   427452.85188,  5358696.04567, 11
195, 13,   427873.11034,  5359600.43679, 11
317, 14,   364133.49063,  5309439.21597, 11
316, 14,   364696.27271,  5308669.92246, 11
315, 14,   365584.59917,  5308247.14476, 11
314, 14,   366566.22163,  5308169.23368, 11
313, 14,   367550.12307,  5308338.93374, 11
312, 14,   368524.41558,  5308567.87637, 11
311, 14,   369494.90963,  5308811.34321, 11
310, 14,   370453.57678,  5309098.25336, 11
309, 14,   371417.21148,  5309365.77342, 11
308, 14,   372392.67309,  5309589.85016, 11
307, 14,   373372.32288,  5309794.35371, 11
306, 14,   374318.73048,  5309681.00109, 11
305, 14,   374964.77778,  5309010.18674, 11
304, 14,   375280.35917,  5308062.94413, 11
303, 14,   375586.65183,  5307111.97433, 11
302, 14,   376120.87696,  5306290.48074, 11
301, 14,   376907.88170,  5305686.95951, 11
300, 14,   377797.41988,  5305230.39032, 11
299, 14,   378738.65967,  5304903.56513, 11
298, 14,   379696.77556,  5304618.48196, 11
297, 14,   380590.23632,  5304182.24961, 11
296, 14,   381468.88076,  5303708.83607, 11
