Derived constituent file for segment 317

JDAY,     %DO,  TDG(%),
    38.450,   95.5514,   97.8429,
    38.500,   95.5550,   97.8723,
    38.550,   95.5581,   97.9208,
    38.600,   95.5564,   97.9240,
    38.650,   95.5524,   97.9185,
    38.700,   95.5491,   97.8757,
    38.750,   95.5508,   97.9108,
    38.800,   95.5497,   97.8908,
    38.850,   95.5441,   97.9202,
    38.900,   95.5388,   97.9449,
    38.950,   95.5279,   97.9606,
    39.000,   95.5184,   97.9671,
    39.050,   95.5028,   97.8963,
    39.100,   95.4938,   97.8610,
    39.150,   95.4844,   97.7685,
    39.200,   95.4772,   97.6928,
    39.250,   95.4771,   97.6622,
    39.300,   95.4800,   97.6524,
    39.350,   95.4861,   97.6731,
    39.400,   95.4877,   97.6926,
    39.450,   95.4916,   97.7203,
