$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,     %DO,  TDG(%),
    19.600,   96.4864,   99.1606,
    19.650,   96.4736,   99.1941,
    19.700,   96.4569,   99.1713,
    19.750,   96.4388,   99.1654,
    19.800,   96.4231,   99.1470,
    19.850,   96.4101,   99.1360,
    19.900,   96.3996,   99.1302,
    19.950,   96.3910,   99.1328,
    20.000,   96.3835,   99.1277,
    20.050,   96.3767,   99.1143,
    20.100,   96.3704,   99.1454,
    20.150,   96.3651,   99.1398,
    20.200,   96.3606,   99.1552,
    20.250,   96.3563,   99.1526,
    20.300,   96.3520,   99.1507,
    20.350,   96.3479,   99.1702,
    20.400,   96.3437,   99.1923,
    20.450,   96.3426,   99.2186,
    20.500,   96.3452,   99.2195,
    20.550,   96.3479,   99.2196,
    20.600,   96.3504,   99.2040,
    20.650,   96.3552,   99.2291,
    20.700,   96.3798,   99.2315,
    20.750,   96.4239,   99.2230,
    20.800,   96.4591,   99.2281,
    20.850,   96.4883,   99.2244,
    20.900,   96.5098,   99.2309,
    20.950,   96.5101,   99.2187,
    21.000,   96.4865,   99.1802,
    21.050,   96.4643,   99.1781,
    21.100,   96.4455,   99.1681,
    21.150,   96.4288,   99.1571,
    21.200,   96.4142,   99.1475,
    21.250,   96.4036,   99.1411,
    21.300,   96.4245,   99.1738,
    21.350,   96.4541,   99.1917,
    21.400,   96.4782,   99.1932,
    21.450,   96.5003,   99.2112,
    21.500,   96.5196,   99.2292,
    21.550,   96.5360,   99.2344,
    21.600,   96.5488,   99.2300,
    21.650,   96.5614,   99.2352,
    21.700,   96.5697,   99.2548,
    21.750,   96.5630,   99.2462,
    21.800,   96.5521,   99.2326,
    21.850,   96.5461,   99.1913,
    21.900,   96.5473,   99.2165,
    21.950,   96.5591,   99.2007,
    22.000,   96.5809,   99.1994,
    22.050,   96.6043,   99.1962,
    22.100,   96.5861,   99.1731,
    22.150,   96.5513,   99.1443,
    22.200,   96.5186,   99.1268,
    22.250,   96.4894,   99.1359,
    22.300,   96.4505,   99.1123,
    22.350,   96.4072,   99.0955,
    22.400,   96.4076,   99.1151,
    22.450,   96.3834,   99.1152,
    22.500,   96.3628,   99.1059,
    22.550,   96.3500,   99.1010,
    22.600,   96.3394,   99.1204,
    22.650,   96.3300,   99.1244,
    22.700,   96.3212,   99.1391,
    22.750,   96.3109,   99.1100,
    22.800,   96.2990,   99.0766,
    22.850,   96.2870,   99.1000,
    22.900,   96.2748,   99.0763,
    22.950,   96.2593,   99.0403,
    23.000,   96.2472,   99.0680,
    23.050,   96.2358,   99.0630,
    23.100,   96.2260,   99.0399,
    23.150,   96.2184,   99.0360,
    23.200,   96.2108,   99.0482,
    23.250,   96.2024,   99.0453,
    23.300,   96.1924,   99.0274,
    23.350,   96.1812,   99.0193,
    23.400,   96.1709,   99.0201,
    23.450,   96.1680,   99.0105,
    23.500,   96.1719,   99.0461,
    23.550,   96.1781,   99.0660,
    23.600,   96.1813,   99.0755,
    23.650,   96.1839,   99.0810,
    23.700,   96.1830,   99.0756,
    23.750,   96.1770,   99.0546,
    23.800,   96.1691,   99.0242,
    23.850,   96.1609,   99.0344,
    23.900,   96.1539,   99.0155,
    23.950,   96.1476,   99.0116,
    24.000,   96.1419,   98.9867,
    24.050,   96.1360,   98.9800,
    24.100,   96.1307,   98.9465,
    24.150,   96.1255,   98.9336,
    24.200,   96.1207,   98.9332,
    24.250,   96.1150,   98.9071,
    24.300,   96.1089,   98.8949,
    24.350,   96.1081,   98.9074,
    24.400,   96.1126,   98.9090,
    24.450,   96.1173,   98.9336,
