$Branch 1 water balance flow
 
JDAY,QDT,
 499.000,   3.448,
 500.000,   4.431,
 501.000,   7.981,
 502.000,   7.981,
 503.000,  12.114,
 504.000,  10.566,
 505.000,   2.161,
 506.000,   2.161,
 507.000,  -1.972,
 508.000,  10.809,
 509.000,  12.217,
 510.000,   4.550,
 511.000,   5.146,
 512.000,  -5.736,
 513.000,  -5.736,
 514.000,  10.838,
 515.000,  10.242,
 516.000,   7.273,
 517.000,   7.273,
 518.000,   0.985,
 519.000,   0.985,
 520.000,  11.718,
 521.000,  16.174,
 522.000,  13.556,
 523.000,  11.563,
 524.000,  -4.365,
 525.000, -10.677,
 526.000,  -8.418,
 527.000,  -8.307,
 528.000,  -5.017,
 529.000,  -6.673,
 530.000,  -8.932,
 531.000,  -7.050,
 532.000,  -5.466,
 533.000,  -1.954,
 534.000,  -1.954,
 535.000,  -4.587,
 536.000,  -5.446,
 537.000, -17.745,
 538.000, -22.351,
 539.000, -19.718,
 540.000, -24.133,
 541.000, -15.543,
 542.000, -35.591,
 543.000, -35.591,
 544.000, -32.469,
 545.000, -37.271,
 546.000, -16.201,
 547.000, -16.201,
 548.000, -18.753,
 549.000, -19.813,
 550.000, -27.830,
 551.000, -29.629,
 552.000, -31.958,
 553.000, -23.653,
 554.000, -14.448,
 555.000, -21.511,
 556.000, -18.012,
 557.000, -21.058,
 558.000, -19.506,
 559.000, -24.342,
 560.000, -24.685,
 561.000, -20.628,
 562.000, -27.748,
 563.000, -14.050,
 564.000, -14.024,
 565.000, -19.185,
 566.000, -16.114,
 567.000, -26.014,
 568.000, -23.815,
 569.000, -29.841,
 570.000, -27.318,
 571.000, -22.999,
 572.000, -23.219,
 573.000, -12.394,
 574.000, -19.061,
 575.000, -16.919,
 576.000, -22.995,
 577.000, -30.885,
 578.000, -25.710,
 579.000, -27.730,
 580.000, -21.427,
 581.000, -19.846,
 582.000, -21.524,
 583.000, -20.749,
 584.000, -22.348,
 585.000, -16.500,
 586.000, -13.924,
 587.000, -11.282,
 588.000,  -9.784,
 589.000,  -8.706,
 590.000, -10.756,
 591.000,  -9.059,
 592.000,  -5.773,
 593.000,  -6.370,
 594.000,  -8.806,
 595.000, -12.530,
 596.000, -13.341,
 597.000, -12.744,
 598.000, -14.354,
 599.000, -18.564,
 600.000, -19.323,
 601.000, -15.769,
 602.000,  -6.709,
 603.000,   2.179,
 604.000,   3.269,
 605.000,  -3.331,
 606.000,  -6.755,
 607.000, -13.465,
 608.000, -12.570,
 609.000,   3.506,
 610.000,   6.930,
 611.000,  10.696,
 612.000,  -7.107,
 613.000, -20.136,
 614.000, -15.367,
 615.000, -13.034,
 616.000,   4.769,
 617.000,   4.769,
 618.000,  -4.250,
 619.000,  -9.696,
 620.000,  -9.696,
 621.000, -19.285,
 622.000, -15.034,
 623.000, -14.640,
 624.000, -12.981,
 625.000,  -3.392,
 626.000, -16.394,
 627.000, -16.174,
 628.000, -19.008,
 629.000, -20.790,
 630.000,  -7.788,
 631.000,  -0.999,
 632.000,  -0.094,
 633.000,   1.689,
 634.000,  -3.894,
 635.000, -15.200,
 636.000, -14.930,
 637.000,  -9.196,
 638.000,  -3.614,
 639.000,  -3.804,
 640.000,  -3.804,
 641.000,  -9.538,
 642.000,  -6.761,
 643.000,   2.996,
 644.000,   2.996,
 645.000,   6.352,
 646.000,   4.683,
 647.000,   4.464,
 648.000,   5.289,
 649.000,   1.933,
 650.000,   0.824,
 651.000,   3.593,
 652.000,   2.769,
 653.000,   1.186,
 654.000,   2.189,
 655.000,  -0.579,
 656.000,   0.999,
 657.000,   6.990,
 658.000,  13.486,
 659.000,  13.486,
 660.000,   9.849,
 661.000,   5.441,
 662.000, -13.896,
 663.000, -13.896,
 664.000, -11.838,
 665.000, -11.838,
 666.000,   4.789,
 667.000,   4.789,
 668.000,  -0.218,
 669.000,  -0.218,
 670.000,  -5.007,
 671.000,  -7.366,
 672.000,  -2.359,
 673.000,  -2.359,
 674.000,  -4.951,
 675.000,  -7.580,
 676.000,  -7.580,
 677.000,  -9.635,
 678.000, -12.058,
 679.000, -11.556,
 680.000,  -7.968,
 681.000,  -5.913,
 682.000,   1.137,
 683.000,   5.624,
 684.000,  -1.547,
 685.000, -10.476,
 686.000, -12.512,
 687.000, -12.512,
 688.000,  -5.827,
 689.000,   8.551,
 690.000,   8.551,
 691.000,   8.551,
 692.000,   5.932,
 693.000,  -0.741,
 694.000,  -0.741,
 695.000,  -0.741,
 696.000,  -5.227,
 697.000,  -6.349,
 698.000,  -6.349,
 699.000,  -6.349,
 700.000,  -5.924,
 701.000,  -1.515,
 702.000,   4.447,
 703.000,   7.648,
 704.000,  11.225,
 705.000,   9.163,
 706.000,  -3.121,
 707.000,  -8.013,
 708.000, -10.451,
 709.000, -11.636,
 710.000,  -8.320,
 711.000, -11.826,
 712.000, -13.505,
 713.000, -12.321,
 714.000, -11.166,
 715.000,  -5.969,
 716.000,  -1.852,
 717.000,  -1.852,
 718.000,   1.962,
 719.000,   1.834,
 720.000,   1.834,
 721.000,   1.834,
 722.000,  -0.128,
 723.000,   4.938,
 724.000,   4.468,
 725.000,  -4.863,
 726.000,  -4.863,
 727.000, -11.035,
 728.000, -10.565,
 729.000, -12.895,
 730.000, -13.097,
 731.000, -18.386,
 732.000, -27.504,
 733.000, -26.334,
 734.000, -29.047,
 735.000, -21.109,
 736.000,  -8.126,
 737.000,   6.125,
 738.000,   9.041,
 739.000,  13.089,
 740.000,   8.529,
 741.000,   4.769,
 742.000,  -0.913,
 743.000,  -6.377,
 744.000,  -9.600,
 745.000,  -9.600,
 746.000,  -3.917,
 747.000,  -8.284,
 748.000,  -6.078,
 749.000,  -8.500,
 750.000,  -8.099,
 751.000,  -4.378,
 752.000,  -2.666,
 753.000,  -3.352,
 754.000,  -3.753,
 755.000,   2.706,
 756.000,   7.697,
 757.000,  16.007,
 758.000,  16.007,
 759.000,  10.314,
 760.000,   9.319,
 761.000,   8.891,
 762.000,   7.860,
 763.000,   8.011,
 764.000,   8.005,
 765.000,   3.230,
 766.000,   0.623,
 767.000,  -5.853,
 768.000, -11.896,
 769.000, -14.908,
 770.000, -11.271,
 771.000,  -7.756,
 772.000,  -6.700,
 773.000,  -5.293,
 774.000,  -5.463,
 775.000, -13.893,
 776.000, -38.020,
 777.000, -60.450,
