$Grand Coulee Dam Outflow Constituents
 
JDAY,      N2,      DO,
    30.950, 20.19    , 12.19    ,
    31.000, 20.19    , 12.19    ,
    31.050, 20.20    , 12.20    ,
    31.100, 20.20    , 12.20    ,
    31.150, 20.21    , 12.22    ,
    31.200, 20.22    , 12.23    ,
    31.250, 20.24    , 12.24    ,
    31.300, 20.26    , 12.26    ,
    31.350, 20.27    , 12.27    ,
    31.400, 20.28    , 12.29    ,
    31.450, 20.30    , 12.30    ,
    31.500, 20.31    , 12.32    ,
    31.550, 20.32    , 12.33    ,
    31.600, 20.33    , 12.33    ,
    31.650, 20.32    , 12.33    ,
    31.700, 20.32    , 12.33    ,
    31.750, 20.32    , 12.33    ,
    31.800, 20.31    , 12.32    ,
    31.850, 20.30    , 12.31    ,
    31.900, 20.28    , 12.28    ,
    31.950, 20.26    , 12.27    ,
    32.000, 20.25    , 12.25    ,
    32.050, 20.25    , 12.25    ,
    32.100, 20.26    , 12.26    ,
    32.150, 20.27    , 12.27    ,
    32.200, 20.27    , 12.27    ,
    32.250, 20.27    , 12.27    ,
    32.300, 20.26    , 12.26    ,
    32.350, 20.25    , 12.25    ,
    32.400, 20.25    , 12.25    ,
    32.450, 20.25    , 12.26    ,
    32.500, 20.25    , 12.26    ,
    32.550, 20.25    , 12.26    ,
    32.600, 20.26    , 12.27    ,
    32.650, 20.27    , 12.28    ,
    32.700, 20.28    , 12.29    ,
    32.750, 20.29    , 12.30    ,
    32.800, 20.29    , 12.29    ,
    32.850, 20.28    , 12.28    ,
    32.900, 20.27    , 12.27    ,
    32.950, 20.27    , 12.27    ,
    33.000, 20.28    , 12.28    ,
    33.050, 20.29    , 12.29    ,
    33.100, 20.30    , 12.30    ,
    33.150, 20.31    , 12.31    ,
    33.200, 20.32    , 12.32    ,
    33.250, 20.35    , 12.35    ,
    33.300, 20.35    , 12.35    ,
    33.350, 20.36    , 12.36    ,
    33.400, 20.36    , 12.36    ,
    33.450, 20.36    , 12.37    ,
    33.500, 20.37    , 12.37    ,
    33.550, 20.37    , 12.37    ,
    33.600, 20.37    , 12.37    ,
    33.650, 20.37    , 12.38    ,
    33.700, 20.40    , 12.40    ,
    33.750, 20.41    , 12.42    ,
    33.800, 20.42    , 12.43    ,
    33.850, 20.41    , 12.42    ,
    33.900, 20.40    , 12.41    ,
    33.950, 20.38    , 12.40    ,
    34.000, 20.37    , 12.38    ,
    34.050, 20.37    , 12.38    ,
