$USGS 12434590 - SANPOIL RIVER ABOVE JACK CREEK AT KELLER WA  1/1/2012-12/31/2015,,
,,
JDAY,QIN,
421.927083333336,1.51778154706114,
421.9375,1.54893004895978,
421.947916666664,1.54893004895978,
421.958333333336,1.54893004895978,
421.96875,1.54893004895978,
421.979166666664,1.54893004895978,
421.989583333336,1.58007855085842,
422,1.58007855085842,
422.010416666664,1.58007855085842,
422.020833333336,1.58007855085842,
422.03125,1.54893004895978,
422.041666666664,1.58007855085842,
422.052083333336,1.58007855085842,
422.0625,1.58007855085842,
422.072916666664,1.54893004895978,
422.083333333336,1.58007855085842,
422.09375,1.54893004895978,
422.104166666664,1.54893004895978,
422.114583333336,1.54893004895978,
422.125,1.54893004895978,
422.135416666664,1.54893004895978,
422.145833333336,1.54893004895978,
422.15625,1.54893004895978,
422.166666666664,1.54893004895978,
422.177083333336,1.51778154706114,
422.1875,1.51778154706114,
422.197916666664,1.51778154706114,
422.208333333336,1.51778154706114,
422.21875,1.54893004895978,
422.229166666664,1.51778154706114,
422.239583333336,1.51778154706114,
422.25,1.51778154706114,
422.260416666664,1.4866330451625,
422.270833333336,1.51778154706114,
422.28125,1.4866330451625,
422.291666666664,1.51778154706114,
422.302083333336,1.51778154706114,
422.3125,1.51778154706114,
422.322916666664,1.51778154706114,
422.333333333336,1.51778154706114,
422.34375,1.51778154706114,
422.354166666664,1.51778154706114,
422.364583333336,1.4866330451625,
422.375,1.4866330451625,
422.385416666664,1.4866330451625,
422.395833333336,1.51778154706114,
422.40625,1.51778154706114,
422.416666666664,1.51778154706114,
422.427083333336,1.51778154706114,
422.4375,1.51778154706114,
422.447916666664,1.51778154706114,
422.458333333336,1.51778154706114,
422.46875,1.51778154706114,
422.479166666664,1.4866330451625,
422.489583333336,1.4866330451625,
422.5,1.51778154706114,
422.510416666664,1.4866330451625,
422.520833333336,1.51778154706114,
422.53125,1.51778154706114,
422.541666666664,1.4866330451625,
422.552083333336,1.4866330451625,
422.5625,1.4866330451625,
422.572916666664,1.4866330451625,
422.583333333336,1.4866330451625,
422.59375,1.45548454326385,
422.604166666664,1.45548454326385,
422.614583333336,1.4866330451625,
422.625,1.4866330451625,
422.635416666664,1.45548454326385,
422.645833333336,1.4866330451625,
422.65625,1.45548454326385,
422.666666666664,1.45548454326385,
422.677083333336,1.45548454326385,
422.6875,1.45548454326385,
422.697916666664,1.45548454326385,
422.708333333336,1.45548454326385,
422.71875,1.45548454326385,
422.729166666664,1.45548454326385,
422.739583333336,1.45548454326385,
422.75,1.45548454326385,
422.760416666664,1.427167723356,
422.770833333336,1.45548454326385,
422.78125,1.45548454326385,
422.791666666664,1.45548454326385,
422.802083333336,1.427167723356,
422.8125,1.427167723356,
422.822916666664,1.427167723356,
422.833333333336,1.427167723356,
422.84375,1.427167723356,
422.854166666664,1.427167723356,
422.864583333336,1.45548454326385,
422.875,1.427167723356,
422.885416666664,1.427167723356,
422.895833333336,1.427167723356,
422.90625,1.427167723356,
422.916666666664,1.427167723356,
422.927083333336,1.427167723356,
422.9375,1.427167723356,
422.947916666664,1.427167723356,
422.958333333336,1.427167723356,
422.96875,1.427167723356,
422.979166666664,1.427167723356,
422.989583333336,1.427167723356,
426,1.39885090344814,
426.010416666664,1.39885090344814,
426.020833333336,1.39885090344814,
426.03125,1.39885090344814,
426.041666666664,1.39885090344814,
426.052083333336,1.39885090344814,
426.0625,1.427167723356,
426.072916666664,1.39885090344814,
426.083333333336,1.427167723356,
426.09375,1.39885090344814,
426.104166666664,1.39885090344814,
426.114583333336,1.39885090344814,
426.125,1.39885090344814,
426.135416666664,1.39885090344814,
426.145833333336,1.39885090344814,
426.15625,1.39885090344814,
426.166666666664,1.39885090344814,
426.177083333336,1.39885090344814,
426.1875,1.427167723356,
426.197916666664,1.39885090344814,
426.208333333336,1.39885090344814,
426.21875,1.39885090344814,
426.229166666664,1.39885090344814,
426.239583333336,1.39885090344814,
426.25,1.39885090344814,
426.260416666664,1.39885090344814,
426.270833333336,1.39885090344814,
426.28125,1.39885090344814,
426.291666666664,1.39885090344814,
426.302083333336,1.3677024015495,
426.3125,1.3677024015495,
426.322916666664,1.3677024015495,
426.333333333336,1.3677024015495,
426.34375,1.3677024015495,
426.354166666664,1.3677024015495,
426.364583333336,1.3677024015495,
426.375,1.3677024015495,
426.385416666664,1.3677024015495,
426.395833333336,1.3677024015495,
426.40625,1.3677024015495,
426.416666666664,1.3677024015495,
426.427083333336,1.3677024015495,
426.4375,1.3677024015495,
426.447916666664,1.3677024015495,
426.458333333336,1.3677024015495,
426.46875,1.3677024015495,
426.479166666664,1.3677024015495,
426.489583333336,1.3677024015495,
426.5,1.3677024015495,
426.510416666664,1.3677024015495,
426.520833333336,1.3677024015495,
426.53125,1.3677024015495,
426.541666666664,1.3677024015495,
426.552083333336,1.3677024015495,
426.5625,1.3677024015495,
426.572916666664,1.3677024015495,
426.583333333336,1.33938558164164,
426.59375,1.3677024015495,
426.604166666664,1.3677024015495,
426.614583333336,1.3677024015495,
426.625,1.3677024015495,
426.635416666664,1.3677024015495,
426.645833333336,1.3677024015495,
426.65625,1.3677024015495,
426.666666666664,1.3677024015495,
426.677083333336,1.33938558164164,
426.6875,1.3677024015495,
426.697916666664,1.3677024015495,
426.708333333336,1.33938558164164,
426.71875,1.3677024015495,
426.729166666664,1.3677024015495,
426.739583333336,1.3677024015495,
426.75,1.3677024015495,
426.760416666664,1.3677024015495,
426.770833333336,1.33938558164164,
426.78125,1.3677024015495,
426.791666666664,1.33938558164164,
426.802083333336,1.3677024015495,
426.8125,1.3677024015495,
426.822916666664,1.33938558164164,
426.833333333336,1.33938558164164,
426.84375,1.33938558164164,
426.854166666664,1.33938558164164,
426.864583333336,1.33938558164164,
426.875,1.33938558164164,
426.885416666664,1.3677024015495,
426.895833333336,1.33938558164164,
426.90625,1.33938558164164,
426.916666666664,1.33938558164164,
426.927083333336,1.33938558164164,
426.9375,1.33938558164164,
426.947916666664,1.33938558164164,
426.958333333336,1.33938558164164,
426.96875,1.33938558164164,
426.979166666664,1.33938558164164,
426.989583333336,1.33938558164164,
427,1.33938558164164,
427.010416666664,1.33938558164164,
427.020833333336,1.33938558164164,
427.03125,1.33938558164164,
427.041666666664,1.33938558164164,
427.052083333336,1.33938558164164,
427.0625,1.33938558164164,
427.072916666664,1.33938558164164,
427.083333333336,1.33938558164164,
427.09375,1.33938558164164,
427.104166666664,1.33938558164164,
427.114583333336,1.33938558164164,
427.125,1.33938558164164,
427.135416666664,1.33938558164164,
427.145833333336,1.33938558164164,
427.15625,1.33938558164164,
427.166666666664,1.33938558164164,
427.177083333336,1.33938558164164,
427.1875,1.33938558164164,
427.197916666664,1.31106876173378,
427.208333333336,1.33938558164164,
427.21875,1.33938558164164,
427.229166666664,1.33938558164164,
427.239583333336,1.31106876173378,
427.25,1.33938558164164,
427.260416666664,1.33938558164164,
427.270833333336,1.31106876173378,
427.28125,1.33938558164164,
427.291666666664,1.33938558164164,
427.302083333336,1.33938558164164,
427.3125,1.33938558164164,
427.322916666664,1.33938558164164,
427.333333333336,1.31106876173378,
427.34375,1.33938558164164,
427.354166666664,1.31106876173378,
427.364583333336,1.31106876173378,
427.375,1.31106876173378,
427.385416666664,1.31106876173378,
427.395833333336,1.31106876173378,
427.40625,1.31106876173378,
427.416666666664,1.31106876173378,
427.427083333336,1.31106876173378,
427.4375,1.31106876173378,
427.447916666664,1.31106876173378,
427.458333333336,1.31106876173378,
427.46875,1.31106876173378,
427.479166666664,1.31106876173378,
427.489583333336,1.33938558164164,
427.5,1.33938558164164,
427.510416666664,1.31106876173378,
427.520833333336,1.31106876173378,
427.53125,1.31106876173378,
427.541666666664,1.31106876173378,
427.552083333336,1.33938558164164,
427.5625,1.33938558164164,
427.572916666664,1.33938558164164,
427.583333333336,1.31106876173378,
427.59375,1.33938558164164,
427.604166666664,1.31106876173378,
427.614583333336,1.31106876173378,
427.625,1.31106876173378,
427.635416666664,1.31106876173378,
427.645833333336,1.31106876173378,
427.65625,1.31106876173378,
427.666666666664,1.31106876173378,
427.677083333336,1.31106876173378,
427.6875,1.31106876173378,
427.697916666664,1.31106876173378,
427.708333333336,1.31106876173378,
427.71875,1.33938558164164,
427.729166666664,1.31106876173378,
427.739583333336,1.31106876173378,
427.75,1.31106876173378,
427.760416666664,1.31106876173378,
427.770833333336,1.31106876173378,
427.78125,1.31106876173378,
427.791666666664,1.31106876173378,
427.802083333336,1.31106876173378,
427.8125,1.31106876173378,
427.822916666664,1.31106876173378,
427.833333333336,1.31106876173378,
427.84375,1.31106876173378,
427.854166666664,1.31106876173378,
427.864583333336,1.31106876173378,
427.875,1.31106876173378,
427.885416666664,1.31106876173378,
427.895833333336,1.31106876173378,
427.90625,1.31106876173378,
427.916666666664,1.31106876173378,
427.927083333336,1.31106876173378,
427.9375,1.31106876173378,
427.947916666664,1.31106876173378,
427.958333333336,1.31106876173378,
427.96875,1.31106876173378,
427.979166666664,1.31106876173378,
427.989583333336,1.28558362381671,
428,1.31106876173378,
428.010416666664,1.31106876173378,
428.020833333336,1.31106876173378,
428.03125,1.31106876173378,
428.041666666664,1.31106876173378,
428.052083333336,1.31106876173378,
428.0625,1.31106876173378,
428.072916666664,1.31106876173378,
428.083333333336,1.31106876173378,
428.09375,1.28558362381671,
