$Grand Coulee Dam Flows
 
JDAY,QWO,
    29.100,   3054.88,
    29.150,   3084.38,
    29.201,   3048.78,
    29.250,   3206.36,
    29.300,   4035.77,
    29.350,   4649.93,
    29.400,   4823.71,
    29.450,   5013.74,
    29.500,   5040.40,
    29.550,   4698.81,
    29.600,   4348.32,
    29.650,   4284.01,
    29.700,   4508.92,
    29.750,   4918.29,
    29.800,   4825.10,
    29.850,   4184.47,
    29.900,   3862.40,
    29.950,   3577.52,
    30.000,   3032.23,
    30.050,   2360.68,
    30.100,   2691.33,
    30.150,   2685.68,
    30.200,   2707.59,
    30.250,   2816.83,
    30.300,   3621.01,
    30.350,   3996.78,
    30.400,   4273.95,
    30.450,   4287.69,
    30.500,   4002.65,
    30.550,   3616.56,
    30.600,   3478.74,
    30.650,   3295.45,
    30.700,   4556.47,
    30.750,   4898.74,
    30.800,   4839.23,
    30.850,   4179.83,
    30.900,   3323.18,
    30.950,   2763.16,
    31.000,   2292.73,
    31.050,   2297.97,
    31.100,   2386.91,
    31.150,   2640.65,
    31.200,   3115.56,
    31.250,   3497.03,
    31.300,   4443.57,
    31.350,   4676.67,
    31.400,   4869.87,
    31.450,   4939.77,
    31.500,   4879.66,
    31.550,   4762.94,
    31.600,   4558.51,
    31.650,   4475.77,
    31.700,   4801.46,
    31.750,   4963.78,
    31.800,   4886.79,
    31.850,   4587.46,
    31.900,   3579.04,
    31.950,   2754.95,
    32.000,   2574.45,
    32.050,   2567.23,
    32.100,   2744.32,
    32.150,   3115.55,
    32.200,   4169.20,
    32.250,   5341.12,
    32.300,   5383.76,
    32.350,   5134.02,
    32.400,   4698.44,
    32.450,   4416.87,
    32.500,   4132.62,
    32.550,   3897.87,
    32.600,   3522.15,
    32.650,   3148.90,
    32.700,   3496.60,
    32.750,   4357.16,
    32.800,   4714.16,
    32.850,   4656.90,
    32.900,   4226.04,
    32.950,   3874.63,
    33.000,   3447.81,
    33.050,   3287.96,
    33.100,   3168.04,
    33.150,   3210.25,
    33.200,   3412.80,
    33.250,   4780.99,
    33.300,   5223.47,
    33.350,   5361.06,
    33.400,   5159.79,
    33.450,   4772.03,
    33.500,   4133.81,
    33.550,   3784.85,
    33.600,   3385.50,
    33.650,   3236.16,
    33.700,   3649.46,
    33.750,   4086.21,
    33.800,   4541.35,
    33.850,   4537.02,
    33.900,   4333.12,
    33.950,   3524.65,
    34.000,   2952.47,
    34.050,   2730.37,
    34.100,   2798.87,
    34.150,   3136.44,
    34.200,   3731.75,
    34.250,   4422.31,
    34.300,   4919.73,
    34.350,   4898.13,
    34.400,   4484.15,
    34.450,   3919.72,
    34.500,   3097.01,
    34.550,   3247.56,
    34.600,   3531.64,
    34.650,   3490.96,
    34.700,   3601.70,
    34.750,   4493.28,
    34.800,   4556.36,
    34.850,   3806.44,
    34.900,   3059.45,
    34.950,   2391.03,
    35.000,   1741.59,
    35.050,   2111.41,
    35.100,   2168.79,
    35.150,   1953.34,
    35.200,   2185.33,
    35.250,   3016.44,
    35.300,   4245.39,
    35.350,   4118.78,
    35.400,   3788.28,
    35.450,   3337.98,
    35.500,   2958.19,
    35.550,   2688.69,
    35.600,   2640.99,
    35.650,   2491.71,
    35.700,   2867.50,
    35.750,   3249.30,
    35.800,   2981.85,
    35.850,   2287.75,
    35.900,   1698.27,
    35.950,   1109.82,
    36.000,    991.13,
    36.050,   1180.99,
    36.100,   1207.46,
    36.150,   1419.96,
    36.200,   1394.52,
    36.250,   1695.00,
    36.300,   2335.16,
    36.350,   2978.40,
    36.400,   3204.22,
    36.450,   3468.24,
    36.500,   3516.94,
    36.550,   3012.24,
    36.600,   2771.39,
    36.650,   2739.01,
    36.700,   3347.02,
    36.750,   4266.21,
    36.800,   4251.44,
    36.850,   3730.31,
    36.900,   3158.72,
    36.950,   2795.12,
