$LGS.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
41222,542.172887,
41223,542.152887,
41224,542.282887,
41225,542.352887,
41226,542.292887,
41227,542.252887,
41228,542.052887,
41229,541.852887,
41230,541.642887,
41231,541.562887,
41232,541.552887,
41233,541.772887,
41234,541.282887,
41235,541.502887,
41236,541.992887,
41237,542.062887,
41238,542.072887,
41239,542.222887,
41240,542.222887,
41241,542.162887,
41242,541.942887,
41243,541.702887,
41244,541.572887,
41245,541.622887,
41246,541.562887,
41247,541.522887,
41248,541.722887,
41249,541.662887,
41250,541.512887,
41251,541.432887,
41252,541.532887,
41253,541.602887,
41254,541.752887,
41255,541.722887,
41256,541.662887,
41257,541.612887,
41258,541.222887,
41259,541.392887,
41260,541.712887,
41261,541.912887,
41262,541.962887,
41263,541.922887,
41264,541.972887,
41265,542.182887,
41266,541.992887,
41267,542.132887,
41268,542.332887,
41269,542.212887,
41270,542.192887,
41271,542.172887,
41272,542.022887,
41273,541.862887,
41274,541.912887,
41275,541.892887,
41276,541.672887,
41277,541.912887,
41278,541.492887,
41279,541.222887,
41280,541.412887,
41281,541.432887,
41282,541.742887,
41283,541.972887,
41284,542.232887,
41285,542.222887,
41286,542.162887,
41287,542.092887,
41288,542.272887,
41289,542.172887,
41290,541.952887,
41291,541.692887,
41292,541.692887,
41293,541.602887,
41294,541.562887,
41295,541.792887,
41296,541.762887,
41297,541.632887,
41298,541.572887,
41299,541.442887,
41300,541.602887,
41301,541.922887,
41302,542.012887,
41303,542.072887,
41304,542.132887,
41305,542.122887,
41306,542.162887,
41307,542.222887,
41308,542.172887,
41309,542.382887,
41310,542.342887,
41311,542.282887,
41312,542.262887,
41313,542.292887,
41314,542.212887,
41315,542.162887,
41316,542.142887,
41317,542.232887,
41318,542.272887,
41319,542.212887,
41320,542.142887,
41321,542.202887,
41322,542.022887,
41323,541.892887,
41324,542.052887,
41325,541.972887,
41326,541.892887,
41327,541.872887,
41328,541.962887,
41329,541.942887,
41330,542.102887,
41331,542.062887,
41332,542.122887,
41333,542.192887,
41334,542.182887,
41335,542.262887,
41336,542.212887,
41337,542.282887,
41338,542.152887,
41339,542.072887,
41340,542.182887,
41341,542.292887,
41342,542.182887,
41343,542.192887,
41344,542.202887,
41345,542.302887,
41346,542.142887,
41347,542.072887,
41348,542.032887,
41349,541.962887,
41350,541.862887,
41351,541.782887,
41352,541.902887,
41353,541.462887,
41354,541.162887,
41355,541.392887,
41356,541.452887,
41357,541.262887,
41358,541.262887,
41359,541.372887,
41360,541.382887,
41361,541.652887,
41362,542.272887,
41363,542.122887,
41364,542.122887,
41365,541.982887,
41366,541.182887,
41367,540.792887,
41368,540.942887,
41369,540.772887,
41370,540.672887,
41371,540.642887,
41372,540.652887,
41373,540.712887,
41374,540.692887,
41375,540.662887,
41376,540.742887,
41377,540.642887,
41378,540.742887,
41379,540.742887,
41380,540.662887,
41381,540.802887,
41382,540.832887,
41383,540.742887,
41384,540.772887,
41385,540.802887,
41386,540.732887,
41387,540.722887,
41388,540.672887,
41389,540.702887,
41390,540.752887,
41391,540.672887,
41392,540.702887,
41393,540.792887,
41394,540.682887,
41395,540.642887,
41396,540.682887,
41397,540.742887,
41398,540.752887,
41399,540.752887,
41400,540.722887,
41401,540.752887,
41402,540.762887,
41403,540.702887,
41404,540.732887,
41405,540.632887,
41406,540.652887,
41407,540.662887,
41408,540.722887,
41409,540.632887,
41410,540.592887,
41411,540.632887,
41412,540.602887,
41413,540.582887,
41414,540.652887,
41415,540.752887,
41416,540.612887,
41417,540.712887,
41418,540.772887,
41419,540.722887,
41420,540.752887,
41421,540.592887,
41422,540.662887,
41423,540.742887,
41424,540.712887,
41425,540.612887,
41426,540.682887,
41427,540.602887,
41428,540.662887,
41429,540.742887,
41430,540.742887,
41431,540.672887,
41432,540.712887,
41433,540.712887,
41434,540.702887,
41435,540.642887,
41436,540.652887,
41437,540.582887,
41438,540.702887,
41439,540.682887,
41440,540.732887,
41441,540.682887,
41442,540.652887,
41443,540.652887,
41444,540.602887,
41445,540.642887,
41446,540.732887,
41447,540.732887,
41448,540.692887,
41449,540.682887,
41450,540.742887,
41451,540.642887,
41452,540.742887,
41453,540.722887,
41454,540.772887,
41455,540.702887,
41456,540.682887,
41457,540.642887,
41458,540.712887,
41459,540.662887,
41460,540.682887,
41461,540.602887,
41462,540.712887,
41463,540.642887,
41464,540.722887,
41465,540.692887,
41466,540.622887,
41467,541.172887,
41468,540.852887,
41469,540.872887,
41470,540.892887,
41471,540.852887,
41472,540.822887,
41473,540.832887,
41474,540.882887,
41475,540.942887,
41476,540.922887,
41477,540.902887,
41478,540.882887,
41479,540.912887,
41480,541.002887,
41481,540.972887,
41482,540.842887,
41483,540.962887,
41484,541.002887,
41485,540.912887,
41486,540.902887,
41487,540.932887,
41488,541.022887,
41489,541.032887,
41490,540.892887,
41491,540.982887,
41492,541.012887,
41493,540.822887,
41494,540.912887,
41495,540.942887,
41496,540.982887,
41497,540.992887,
41498,541.012887,
41499,541.072887,
41500,540.982887,
41501,540.952887,
41502,540.982887,
41503,541.012887,
41504,541.092887,
41505,541.012887,
41506,541.072887,
41507,540.982887,
41508,541.032887,
41509,541.222887,
41510,541.122887,
41511,541.032887,
41512,541.162887,
41513,541.172887,
41514,541.112887,
41515,541.082887,
41516,541.052887,
41517,541.082887,
41518,541.182887,
41519,541.462887,
41520,541.992887,
41521,542.252887,
41522,542.212887,
41523,542.042887,
41524,542.052887,
41525,542.162887,
41526,542.252887,
41527,542.182887,
41528,542.022887,
41529,541.862887,
41530,541.832887,
41531,541.492887,
41532,541.442887,
41533,541.902887,
41534,541.882887,
41535,541.832887,
41536,542.152887,
41537,541.942887,
41538,541.352887,
41539,541.582887,
41540,541.962887,
41541,542.252887,
41542,542.292887,
41543,542.252887,
41544,542.182887,
41545,542.152887,
41546,542.032887,
41547,541.902887,
41548,542.012887,
41549,542.072887,
41550,542.212887,
41551,542.112887,
41552,542.152887,
41553,542.192887,
41554,542.212887,
41555,542.242887,
41556,542.182887,
41557,542.152887,
41558,542.122887,
41559,541.982887,
41560,542.102887,
41561,542.102887,
41562,542.022887,
41563,541.852887,
41564,541.802887,
41565,541.792887,
41566,541.982887,
41567,542.212887,
41568,542.232887,
41569,542.142887,
41570,542.022887,
41571,542.032887,
41572,541.922887,
41573,541.872887,
41574,541.852887,
41575,541.792887,
41576,541.802887,
41577,541.832887,
41578,541.802887,
41579,541.982887,
41580,542.202887,
41581,542.282887,
41582,542.212887,
41583,542.152887,
41584,542.052887,
41585,541.942887,
41586,542.012887,
41587,541.842887,
41588,542.142887,
41589,542.232887,
41590,542.162887,
41591,542.102887,
41592,542.172887,
41593,542.132887,
41594,541.932887,
41595,542.112887,
41596,542.192887,
41597,542.112887,
41598,542.072887,
41599,541.972887,
41600,541.812887,
41601,541.692887,
41602,541.732887,
41603,542.032887,
41604,542.122887,
41605,542.042887,
41606,542.082887,
41607,542.222887,
41608,542.252887,
41609,542.232887,
41610,542.232887,
41611,542.352887,
41612,542.362887,
41613,542.282887,
41614,542.032887,
41615,541.792887,
41616,541.572887,
41617,541.422887,
41618,541.222887,
41619,541.162887,
41620,541.192887,
41621,541.312887,
41622,541.602887,
41623,542.042887,
41624,542.212887,
41625,542.132887,
41626,542.152887,
41627,542.142887,
41628,542.172887,
41629,542.172887,
41630,542.122887,
41631,542.162887,
41632,542.222887,
41633,542.262887,
41634,542.302887,
41635,542.302887,
41636,542.282887,
41637,542.292887,
41638,542.252887,
41639,542.132887,
