$ LITTLE GOOSE-POOLELEV.npt based on $//LITTLE GOOSE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41576,194.847
41577,194.853
41578,194.874
41579,194.856
41580,194.975
41581,195.13
41582,195.173
41583,195.14
41584,195.098
41585,195.029
41586,194.947
41587,194.894
41588,194.881
41589,195.079
41590,195.154
41591,195.105
41592,195.065
41593,195.107
41594,195.068
41595,194.949
41596,195.064
41597,195.119
41598,195.068
41599,195.043
41600,194.971
41601,194.863
41602,194.777
41603,194.803
41604,195.005
41605,195.073
41606,195.023
41607,195.044
41608,195.138
41609,195.163
41610,195.155
41611,195.163
41612,195.231
41613,195.239
41614,195.187
41615,195.012
41616,194.862
41617,194.698
41618,194.598
41619,194.45
41620,194.409
41621,194.419
41622,194.502
41623,194.701
41624,195.007
41625,195.134
41626,195.087
41627,195.09
41628,195.084
41629,195.102
41630,195.108
41631,195.068
41632,195.098
41633,195.14
41634,195.168
41635,195.184
41636,195.197
41637,195.191
41638,195.191
41639,195.168
41640,195.091
41641,195.149
41642,195.169
41643,195.196
41644,195.15
41645,195.104
41646,195.158
41647,195.163
41648,195.058
41649,194.896
41650,194.857
41651,194.829
41652,194.852
41653,195.101
41654,195.109
41655,195.135
41656,195.121
41657,195.135
41658,195.104
41659,195.108
41660,195.123
41661,195.138
41662,195.157
41663,195.076
41664,195.084
41665,195.055
41666,195.019
41667,194.95
41668,195.049
41669,195.013
41670,194.996
41671,195.046
41672,195.118
41673,195.13
41674,195.086
41675,195.093
41676,195.073
41677,195.098
41678,195.059
41679,195.036
41680,195.088
41681,195.087
41682,195.099
41683,195.032
41684,195.024
41685,195.093
41686,195.117
41687,195.077
41688,195.128
41689,195.194
41690,195.074
41691,195.066
41692,195.13
41693,195.256
41694,195.191
41695,195.062
41696,195.054
41697,195.048
41698,195.048
41699,195.056
41700,194.995
41701,195.063
41702,194.952
41703,194.935
41704,195.142
41705,195.087
41706,195.064
41707,194.914
41708,194.788
41709,194.816
41710,194.971
41711,194.782
41712,194.398
41713,194.377
41714,194.502
41715,194.587
41716,194.734
41717,194.834
41718,194.789
41719,194.542
41720,194.624
41721,194.7
41722,194.648
41723,194.563
41724,194.481
41725,194.91
41726,194.965
41727,194.935
41728,194.581
41729,194.459
41730,194.341
41731,194.548
41732,194.453
41733,194.164
41734,194.112
41735,194.057
41736,194.097
41737,194.094
41738,194.115
41739,194.085
41740,194.081
41741,194.094
41742,194.042
41743,194.066
41744,194.033
41745,194.091
41746,194.075
41747,194.066
41748,194.066
41749,194.094
41750,194.048
41751,194.075
41752,194.088
41753,194.042
41754,194.036
41755,194.063
41756,194.036
41757,194.1
41758,194.627
41759,194.533
41760,194.438
41761,194.033
41762,194.06
41763,194.078
41764,194.075
41765,194.045
41766,194.066
41767,194.036
41768,194.039
41769,194.011
41770,194.027
41771,194.063
41772,194.051
41773,194.048
41774,194.036
41775,194.042
41776,194.054
41777,194.033
41778,194.02
41779,194.042
41780,193.975
41781,194.072
41782,194.005
41783,194.048
41784,194.042
41785,194.075
41786,194.027
41787,194.042
41788,194.057
41789,194.097
41790,194.097
41791,194.048
41792,194.078
41793,194.088
41794,194.054
41795,194.039
41796,194.048
41797,194.036
41798,194.109
41799,194.103
41800,194.039
41801,194.048
41802,194.081
41803,194.02
41804,194.112
41805,194.072
41806,194.051
41807,194.017
41808,194.051
41809,194.024
41810,194.078
41811,194.008
41812,194.088
41813,194.121
41814,194.063
41815,194.03
41816,194.106
41817,194.033
41818,194.075
41819,194.033
41820,194.066
41821,194.051
41822,194.027
41823,194.054
41824,194.048
41825,194.045
41826,194.017
41827,194.069
41828,194.085
41829,194.088
41830,194.051
41831,194.039
41832,194.02
41833,194.085
41834,194.066
41835,194.06
41836,194.078
41837,194.13
41838,194.085
41839,194.243
41840,194.219
41841,194.219
41842,194.249
41843,194.225
41844,194.231
41845,194.261
41846,194.237
41847,194.365
41848,194.374
41849,194.377
41850,194.435
41851,194.398
41852,194.341
41853,194.371
41854,194.386
41855,194.395
41856,194.344
41857,194.395
41858,194.362
41859,194.423
41860,194.42
41861,194.462
41862,194.328
41863,194.353
41864,194.395
41865,194.401
41866,194.368
41867,194.426
41868,194.322
41869,194.392
41870,194.411
41871,194.359
41872,194.344
41873,194.389
41874,194.429
41875,194.398
41876,194.389
41877,194.432
41878,194.377
41879,194.371
41880,194.414
41881,194.386
41882,194.423
41883,194.423
41884,194.408
41885,194.45
41886,194.462
41887,194.654
41888,194.898
41889,195.066
41890,195.215
41891,195.237
41892,195.194
41893,195.078
41894,195.145
41895,195.093
41896,194.926
41897,194.676
41898,194.392
41899,194.213
41900,194.377
41901,194.609
41902,194.654
41903,194.63
41904,194.715
41905,194.932
41906,195.145
41907,195.008
41908,194.548
41909,194.377
41910,194.539
41911,194.557
41912,194.648
41913,194.752
41914,194.804
41915,194.947
41916,194.968
41917,195.093
41918,195.081
41919,195.051
41920,194.996
41921,194.901
41922,194.816
41923,194.731
41924,194.658
41925,194.77
41926,195.081
41927,195.054
41928,195.014
41929,195.017
41930,195.026
41931,195.09
41932,195.051
41933,195.054
41934,194.993
41935,194.978
41936,195.045
41937,195.029
41938,195.005
41939,195.011
41940,195.09
41941,195.099
41942,195.081
41943,195.048
41944,195.008
41945,195.017
41946,194.981
41947,194.998
41948,194.978
41949,194.943
41950,194.929
41951,194.885
41952,194.985
41953,194.841
41954,194.928
41955,195.022
41956,194.994
41957,194.896
41958,194.851
41959,194.739
41960,194.596
41961,194.52
41962,194.535
41963,194.544
41964,194.504
41965,194.482
41966,194.522
41967,194.529
41968,194.871
41969,195.094
41970,194.881
41971,194.848
41972,194.955
41973,195.091
41974,195.058
41975,194.937
41976,194.847
41977,194.77
41978,194.697
41979,194.717
41980,194.645
41981,194.636
41982,194.753
41983,194.732
41984,194.742
41985,194.825
41986,194.808
41987,194.83
41988,194.919
41989,195.004
41990,194.906
41991,194.837
41992,194.904
41993,194.91
41994,194.864
41995,194.838
41996,194.758
41997,194.808
41998,194.886
41999,195.07
