$ QGT_LGS_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LGS_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LITTLE GOOSE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40565, 40952, 41182, 41731, 41865, 42153, 42296 that are  2, 2, 2, 2, 7, 3, 34 days long
"JDAY","POW","SPB1TSW1","SPB1TSW2","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
196.000000,1505.654,280.765,46.088,46.088,46.088,46.088,46.088,46.088,91.98,280.765,17.644
197.000000,1554.041,298.346,53.687,51.513,51.852,39.271,51.852,51.513,96.896,298.346,18.726
198.000000,1461.53,287.493,47.192,47.192,47.192,15.732,47.192,47.192,94.186,287.493,13.263
199.000000,1406.906,288.322,47.33,47.33,47.33,0,47.33,33.684,94.457,288.322,15.757
200.000000,1385.699,285.184,46.807,46.807,46.807,0,46.807,30.891,93.426,285.184,18.142
201.000000,1340.943,309.362,50.785,8.114,50.785,4.056,50.785,0,101.354,309.362,17.796
202.000000,1306.274,280.577,46.054,44.515,46.054,0,46.054,15.368,91.918,280.577,17.524
203.000000,1172.478,278.99,45.793,3.501,45.793,0,39.897,0,91.399,278.99,15.981
204.000000,1191.948,280.405,46.031,8.635,46.031,0,44.114,0,91.865,280.405,13.781
205.000000,1165.711,274.351,45.037,11.567,45.037,11.567,32.039,0,89.883,274.351,13.97
206.000000,1108.716,300.782,49.376,0,22.64,0,4.282,0,98.542,300.782,17.44
207.000000,1126.609,163.934,33.222,50.045,35.649,32.474,35.649,32.131,98.945,163.934,18.955
208.000000,1047.336,199.297,51.581,6.268,51.581,0,41.38,0,102.943,199.297,21.115
209.000000,961.272,171.557,44.403,16.206,44.403,0,34.996,16.206,88.618,171.557,15.258
210.000000,992.008,185.601,48.019,13.521,48.019,0,26.029,7.846,95.844,185.601,15.691
211.000000,920.474,190.294,49.239,0,37.451,0,22.24,0,98.271,190.294,16.511
212.000000,925.829,186.564,48.296,0,48.296,0,24.181,0,96.381,186.564,14.738
213.000000,481.804,189.458,98.623,65.05,78.832,58.104,62.701,57.364,97.876,189.458,19.192
214.000000,461.984,161.861,103.515,72.451,92.815,72.016,72.673,62.18,103.981,161.861,13.171
215.000000,874.108,172.76,44.724,0,44.724,0,29.851,0,89.254,172.76,10.84
216.000000,907.065,176.528,45.686,2.06,43.787,0,32.382,0,91.178,176.528,17.595
217.000000,826.79,215.545,55.775,0,0,0,0,0,89.528,215.545,18.073
218.000000,780.326,190.185,49.24,0,16.248,0,0,0,83.962,190.185,13.703
219.000000,691.468,171.619,44.406,0,0,0,0,0,88.627,171.619,12.389
220.000000,652.219,159.943,41.379,0,0,0,0,0,82.59,159.943,9.962
221.000000,685.642,165.723,61.369,3.557,2.32,2.32,2.32,2.32,85.591,165.723,16.482
222.000000,739.208,166.281,43.02,0,23.165,0,10.769,0,78.422,166.281,10.746
223.000000,710.871,204.506,52.91,0,0,0,0,0,52.91,204.506,19.658
224.000000,695.003,179.621,46.501,0,0,0,0,0,73.363,179.621,16.087
225.000000,651.064,171.668,44.445,0,0,0,0,0,66.749,171.668,12.671
226.000000,604.721,172.408,44.645,0,0,0,0,0,46.343,172.408,13.2
227.000000,618.453,175.404,45.42,0.63,0.63,0,0,0,47.617,175.404,12.406
228.000000,627.749,165.825,42.93,0,0,0,0,0,65.056,165.825,15.169
229.000000,596.434,160.095,41.569,0,0,0,0,0,56.905,160.095,14.065
230.000000,650.838,188.371,48.744,0,0,0,0,0,48.744,188.371,12.124
231.000000,615.369,179.372,46.431,0,0,0,0,0,46.431,179.372,16.756
232.000000,587.746,171.012,44.261,0,0,0,0,0,44.261,171.012,11.707
233.000000,563.267,158.541,41.032,0,0,0,0,0,47.287,158.541,9.667
