$ LOWER GRANITE_OUTFLOW.npt based on $//LOWER GRANITE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
856.000000,1575.495
857.000000,1564.256
858.000000,1687.479
859.000000,1896.41
860.000000,2230.899
861.000000,2505.179
862.000000,2925.709
863.000000,3133.816
864.000000,3229.385
865.000000,3491.201
866.000000,3796.846
867.000000,3792.951
868.000000,3326.211
869.000000,2950.171
870.000000,2677.059
871.000000,2582.438
872.000000,2371.259
873.000000,2221.906
874.000000,2212.332
875.000000,2146.95
876.000000,2054.708
877.000000,1906.464
878.000000,1866.123
879.000000,1728.267
880.000000,1779.583
881.000000,1811.367
882.000000,1934.356
883.000000,1996.243
884.000000,1993.127
885.000000,1890.168
886.000000,1754.811
887.000000,1765.88
888.000000,1774.52
889.000000,1776.452
890.000000,1841.193
891.000000,1959.28
892.000000,2055.345
893.000000,2047.231
894.000000,1991.188
895.000000,1851.631
896.000000,1710.865
897.000000,1639.525
898.000000,1534.359
899.000000,1404.678
900.000000,1251.842
901.000000,1276.786
902.000000,1397.447
903.000000,1474.998
904.000000,1482.683
905.000000,1460.345
906.000000,1242.085
907.000000,1150.359
908.000000,1186.192
909.000000,1245.813
910.000000,1317.77
911.000000,1274.297
912.000000,1296.082
913.000000,1296.874
914.000000,1282.341
915.000000,1328.481
916.000000,1298.854
917.000000,1262.225
918.000000,1167.948
919.000000,1148.93
920.000000,1060.184
921.000000,1054.629
922.000000,1055.457
923.000000,1011.857
924.000000,970.804
925.000000,933.127
926.000000,957.163
927.000000,872.547
928.000000,829.31
929.000000,896.299
930.000000,879.611
931.000000,873.921
932.000000,860.014
933.000000,821.451
934.000000,843.181
935.000000,749.74
936.000000,745.052
937.000000,755.489
938.000000,775.169
939.000000,809.592
940.000000,741.474
941.000000,687.918
942.000000,740.196
943.000000,706.516
944.000000,655.522
945.000000,720.983
946.000000,704.635
947.000000,679.018
948.000000,717.217
949.000000,691.062
950.000000,684.975
951.000000,685.57
952.000000,693.265
953.000000,663.281
954.000000,687.4
955.000000,662.991
956.000000,619.601
957.000000,619.496
958.000000,620.676
959.000000,624.262
960.000000,603.557
961.000000,606.111
962.000000,593.064
963.000000,561.736
964.000000,535.483
965.000000,564.55
966.000000,543.828
967.000000,534.207
968.000000,549.091
969.000000,537.845
970.000000,631.542
971.000000,631.492
972.000000,611.523
973.000000,627.631
974.000000,627.704
975.000000,612.305
976.000000,617.249
977.000000,597.506
978.000000,641.746
979.000000,598.846
980.000000,539.042
981.000000,531.418
982.000000,692.516
983.000000,653.968
984.000000,676.215
985.000000,656.29
986.000000,661.108
987.000000,636.015
988.000000,674.869
989.000000,528.561
990.000000,579.18
991.000000,680.51
992.000000,588.017
993.000000,544.669
994.000000,555.933
995.000000,522.445
996.000000,515.014
997.000000,542.063
998.000000,510.474
999.000000,537.836
1000.000000,535.906
1001.000000,505.001
1002.000000,508.642
1003.000000,557.16
1004.000000,610.626
1005.000000,658.643
1006.000000,846.177
1007.000000,1012.221
1008.000000,852.595
1009.000000,842.061
1010.000000,793.36
1011.000000,814.153
1012.000000,749.975
1013.000000,734.684
1014.000000,808.609
1015.000000,744.222
1016.000000,720.965
1017.000000,726.132
1018.000000,726.932
1019.000000,685.052
1020.000000,627.268
1021.000000,574.58
1022.000000,648.746
1023.000000,676.386
1024.000000,605.542
1025.000000,535.5
1026.000000,679.182
1027.000000,574.262
1028.000000,546.225
1029.000000,516.621
1030.000000,429.429
1031.000000,408.62
1032.000000,469.041
1033.000000,461.095
1034.000000,430.664
1035.000000,534.403
1036.000000,540.606
1037.000000,544.717
1038.000000,544.779
1039.000000,542.726
1040.000000,486.781
1041.000000,535.654
1042.000000,597.597
1043.000000,577.91
1044.000000,568.047
1045.000000,531.114
1046.000000,574.84
1047.000000,565.971
1048.000000,586.815
1049.000000,583.391
1050.000000,606.284
1051.000000,605.678
1052.000000,549.669
1053.000000,596.067
1054.000000,523.947
1055.000000,507.951
1056.000000,619.23
1057.000000,649.832
1058.000000,571.605
1059.000000,518.805
1060.000000,498.03
1061.000000,527.635
1062.000000,562.907
1063.000000,502.998
1064.000000,485.57
1065.000000,555.824
1066.000000,549.108
1067.000000,580.694
1068.000000,759.278
1069.000000,919.932
1070.000000,804.645
1071.000000,659.712
1072.000000,655.586
1073.000000,568.071
1074.000000,473.161
1075.000000,637.5
1076.000000,633.882
1077.000000,548.202
1078.000000,589.62
1079.000000,517.942
1080.000000,546.55
1081.000000,574.77
1082.000000,558.976
1083.000000,595.999
1084.000000,660.477
1085.000000,582.107
1086.000000,542.494
1087.000000,572.844
1088.000000,525.44
1089.000000,526.109
1090.000000,538.089
1091.000000,562.871
1092.000000,580.332
1093.000000,569.573
1094.000000,559.562
1095.000000,503.268
1096.000000,529.558
1097.000000,553.438
1098.000000,567.836
1099.000000,531.257
1100.000000,525.631
1101.000000,569.175
1102.000000,587.912
1103.000000,521.501
1104.000000,551.706
1105.000000,568.029
1106.000000,549.577
1107.000000,570.172
1108.000000,545.564
1109.000000,586.604
1110.000000,656.28
1111.000000,682.908
1112.000000,665.457
1113.000000,590.144
1114.000000,609.008
1115.000000,605.825
1116.000000,613.666
1117.000000,575.496
1118.000000,553.388
1119.000000,565.715
1120.000000,503.248
1121.000000,559.382
1122.000000,563.518
1123.000000,532.601
1124.000000,487.404
1125.000000,558.666
1126.000000,524.859
1127.000000,536.293
1128.000000,535.592
1129.000000,579.116
1130.000000,561.214
1131.000000,530.918
1132.000000,574.805
1133.000000,549.285
1134.000000,488.901
1135.000000,671.002
1136.000000,609.07
1137.000000,558.937
1138.000000,592.432
1139.000000,566.195
1140.000000,649.515
1141.000000,771.393
1142.000000,879.679
1143.000000,1035.844
1144.000000,1051.85
1145.000000,1039.556
1146.000000,994.139
1147.000000,1035.828
1148.000000,993.985
1149.000000,887.612
1150.000000,839.039
1151.000000,847.043
1152.000000,834.147
1153.000000,882.316
1154.000000,858.81
1155.000000,899.82
1156.000000,974.479
1157.000000,1112.723
1158.000000,1147.664
1159.000000,1284.747
1160.000000,1603.445
1161.000000,2040.774
1162.000000,2485.068
1163.000000,2987.526
1164.000000,2739.248
1165.000000,2673.006
1166.000000,3360.436
1167.000000,3663.592
1168.000000,3245.853
1169.000000,2687.719
1170.000000,2249.951
1171.000000,2209.477
1172.000000,2157.729
1173.000000,2140.276
1174.000000,2052.466
1175.000000,2090.406
1176.000000,1983.612
1177.000000,1774.444
1178.000000,1860.73
1179.000000,1549.607
1180.000000,1560.068
1181.000000,1483.161
1182.000000,1581.546
1183.000000,1716.58
1184.000000,1931.537
1185.000000,2179.13
1186.000000,2480.107
1187.000000,2403.908
1188.000000,2112.281
1189.000000,1933.349
1190.000000,1783.985
1191.000000,1844.214
1192.000000,1927.907
1193.000000,1990.982
1194.000000,2018.091
1195.000000,1999.895
1196.000000,2109.563
1197.000000,2249.009
1198.000000,2342.658
1199.000000,2392.137
1200.000000,2336.021
1201.000000,2345.079
1202.000000,2225.976
1203.000000,2062.386
1204.000000,1967.137
1205.000000,2091.558
1206.000000,2195.027
1207.000000,2053.277
1208.000000,2082.086
1209.000000,2131.245
1210.000000,2184.449
1211.000000,2179.397
1212.000000,2328.458
1213.000000,2347.807
1214.000000,2287.349
1215.000000,2131.073
1216.000000,2000.579
1217.000000,1842.897
1218.000000,1920.227
1219.000000,2047.155
1220.000000,2304.265
1221.000000,2651.437
1222.000000,2896.001
1223.000000,2910.9
1224.000000,2714.933
1225.000000,2531.067
1226.000000,2400.745
1227.000000,2463.985
1228.000000,2346.185
1229.000000,2221.791
1230.000000,2061.015
1231.000000,1951.273
1232.000000,2063.52
1233.000000,2368.268
1234.000000,2880.903
1235.000000,3211.264
1236.000000,3431.467
1237.000000,3467.518
1238.000000,3169.997
1239.000000,3120.269
1240.000000,3468.855
1241.000000,3981.631
1242.000000,4145.244
1243.000000,4140.646
1244.000000,4031.563
1245.000000,3984.766
1246.000000,3873.01
1247.000000,3749.159
1248.000000,3603.976
1249.000000,3470.688
1250.000000,3438.102
1251.000000,3363.866
1252.000000,3304.786
1253.000000,3282.015
1254.000000,3294.664
1255.000000,3128.152
1256.000000,2962.769
1257.000000,2934.358
1258.000000,2817.103
1259.000000,2741.555
1260.000000,2682.247
1261.000000,2538.481
1262.000000,2410.089
1263.000000,2184.223
1264.000000,1957.564
1265.000000,1976.631
1266.000000,2104.754
1267.000000,1963.606
1268.000000,1900.055
1269.000000,1820.993
1270.000000,1874.75
1271.000000,1943.55
1272.000000,1935.123
1273.000000,1867.813
1274.000000,1833.921
1275.000000,1908.556
1276.000000,1883.614
1277.000000,2029.772
1278.000000,2111.651
1279.000000,1951.414
1280.000000,1890.753
1281.000000,1845.456
1282.000000,1817.826
1283.000000,1709.822
1284.000000,1615.962
1285.000000,1565.698
1286.000000,1548.773
1287.000000,1571.661
1288.000000,1492.881
1289.000000,1454.028
1290.000000,1420.583
1291.000000,1409.011
1292.000000,1342.828
1293.000000,1300.188
1294.000000,1131.352
1295.000000,1139.901
1296.000000,1076.747
1297.000000,1100.953
1298.000000,1066.167
1299.000000,1081.094
1300.000000,1032.951
1301.000000,978.654
1302.000000,959.365
1303.000000,924.684
1304.000000,888.862
1305.000000,916.86
1306.000000,985.709
1307.000000,976.718
1308.000000,1028.655
1309.000000,963.288
1310.000000,940.32
1311.000000,896.106
1312.000000,906
1313.000000,854.052
1314.000000,808.264
1315.000000,751.478
1316.000000,749.117
1317.000000,754.231
1318.000000,749.802
1319.000000,748.977
1320.000000,787.937
1321.000000,832.442
1322.000000,793.957
1323.000000,809.929
1324.000000,787.029
1325.000000,815.293
1326.000000,745.122
1327.000000,670.585
1328.000000,647.205
1329.000000,633.833
1330.000000,645.12
1331.000000,634.7
1332.000000,623.938
1333.000000,619.834
1334.000000,653.494
1335.000000,725.234
1336.000000,687.478
1337.000000,666.73
1338.000000,661.172
1339.000000,680.185
1340.000000,659.773
1341.000000,680.459
1342.000000,665.562
1343.000000,749.081
1344.000000,720.606
1345.000000,716.502
1346.000000,696.838
1347.000000,665.098
1348.000000,691.978
1349.000000,673.459
1350.000000,709.933
1351.000000,718.073
1352.000000,621.439
1353.000000,689.946
1354.000000,632.258
1355.000000,680.773
1356.000000,628.481
1357.000000,615.004
1358.000000,609.401
1359.000000,583.608
1360.000000,613.169
1361.000000,606.243
1362.000000,568.966
1363.000000,561.464
1364.000000,496.11
1365.000000,488.839
1366.000000,451.64
1367.000000,456.93
1368.000000,456.947
1369.000000,499.427
1370.000000,508.5
1371.000000,482.864
1372.000000,542.893
1373.000000,510.424
1374.000000,536.613
1375.000000,525.063
1376.000000,516.87
1377.000000,541.768
1378.000000,574.799
1379.000000,502.264
1380.000000,538.789
1381.000000,607.152
1382.000000,540.658
1383.000000,558.839
1384.000000,518.624
