$ Bathymetry: Little Goose.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
DLX,0,1277.7,1722,1423.3,1664.5,2516.1,1920.8,2601.9,2951,2435,2966.9,2781,3042.3,2660.1,1029.9,1080.7,1859.5,1487.8,2543.7,1550,2229,2097,2592.6,2567.3,2638.1,2249.6,1665.8,1526.9,1320.1,0,,,,,,,,
ELWS,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,,,,,,,,
PHIO,3.142,2.27,2.767,2.81,2.1,0.75,1.05,1.7,1.32,1.8,2.471,1.7,1.5,0.9,0.591,0.211,0.276,0.249,0.95,1.376,1.8,1,0.1,1.25,1.85,1.442,1.48,1.69,1.305,3.142,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.778,32.711,67.04,91.556,91.556,153.724,159.662,304.587,224.587,357.227,483.04,443.2,448.907,351.484,365.724,0,,37,7334749.076,72382383.25,58681.441,165.375,542.57,0.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.778,32.711,67.04,91.556,91.556,153.724,159.662,304.587,224.587,357.227,483.04,443.2,448.907,351.484,365.724,0,,38,7334749.076,65047634.18,52735.054,164.375,539.289,0.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.689,21.956,67.04,85.778,85.778,146.862,149.831,302.293,222.293,338.613,473.92,435.2,427.253,347.342,358.062,0,,39,7105844.818,57712885.1,46788.667,163.375,536.008,0.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.689,21.956,67.04,85.778,85.778,146.862,149.831,302.293,222.293,338.613,473.92,435.2,427.253,347.342,358.062,0,,40,7105844.818,50607040.28,41027.856,162.375,532.728,0.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,11.2,67.04,84.333,84.333,140.147,142.373,296.72,216.72,318.96,450.44,416.4,380.44,320.507,344.747,0,,41,6735672.267,43501195.47,35267.046,161.375,529.447,0.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,9.8,58.66,73.792,73.792,122.628,124.577,259.63,189.63,279.09,394.135,364.35,332.885,280.443,301.653,0,,42,5893713.233,36765523.2,29806.339,160.375,526.166,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.528,72.528,116.752,118.051,254.753,184.753,261.893,373.59,347.9,291.923,256.962,290.002,0,,43,5451742.652,30871809.97,25028.221,159.375,522.885,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.528,72.528,116.752,118.051,254.753,184.753,261.893,373.59,347.9,291.923,256.962,290.002,0,,44,5451742.652,25420067.31,20608.415,158.375,519.604,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.264,71.264,110.876,111.526,249.877,179.877,244.697,353.045,331.45,250.962,233.481,278.351,0,,45,5145301.661,19968324.66,16188.608,157.375,516.323,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.264,71.264,110.876,111.526,249.877,179.877,244.697,353.045,331.45,250.962,233.481,278.351,0,,46,5145301.661,14823023,12017.238,156.375,513.043,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,105,105,245,175,227.5,332.5,315,210,210,266.7,0,,47,4838860.67,9677721.34,7845.868,155.375,509.762,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,105,105,245,175,227.5,332.5,315,210,210,266.7,0,,48,4838860.67,4838860.67,3922.934,154.375,506.481,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,0,0,0,153.375,503.2,1
